county,precinct,office,district,seats,party,candidate,votes
Newton,Beaver 1,Registered Voters,,,,,490
Newton,Beaver 1,Ballots Cast,,,,,314
Newton,Beaver 1,Straight Party,,,REP,Republican Party,92
Newton,Beaver 1,Straight Party,,,DEM,Democratic Party,24
Newton,Beaver 1,Straight Party,,,LBT,Libertarian Party,2
Newton,Beaver 1,Straight Party,,,WTP,We The People Party,2
Newton,Beaver 1,Straight Party,,,,Total Votes Cast,120
Newton,Beaver 1,Straight Party,,,,Under Votes,192
Newton,Beaver 1,Straight Party,,,,Over Votes,2
Newton,Beaver 1,Public Question-Const Amendment,,,,Yes,112
Newton,Beaver 1,Public Question-Const Amendment,,,,No,106
Newton,Beaver 1,Public Question-Const Amendment,,,,Total Votes Cast,218
Newton,Beaver 1,Public Question-Const Amendment,,,,Under Votes,95
Newton,Beaver 1,Public Question-Const Amendment,,,,Over Votes,1
Newton,Beaver 1,President,,1,REP,Donald J. TRUMP / JD VANCE,238
Newton,Beaver 1,President,,1,DEM,Kamala D. HARRIS / Tim WALZ,67
Newton,Beaver 1,President,,1,LBT,Chase OLIVER / Mike ter MAAT,2
Newton,Beaver 1,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANANAN,4
Newton,Beaver 1,President,,1,,Write-In,0
Newton,Beaver 1,President,,1,,Total Votes Cast,311
Newton,Beaver 1,President,,1,,Under Votes,1
Newton,Beaver 1,President,,1,,Over Votes,0
Newton,Beaver 1,President,,1,,Invalid Votes,2
Newton,Beaver 1,Governor,,1,REP,Mike BRAUN / Micah BECKWITH,222
Newton,Beaver 1,Governor,,1,DEM,Jennifer G. McCORMICK /Terry GOODIN,71
Newton,Beaver 1,Governor,,1,LBT,Donald RAINWATER / Tonya HUDSON,13
Newton,Beaver 1,Governor,,1,,Write-In,0
Newton,Beaver 1,Governor,,1,,Total Votes Cast,306
Newton,Beaver 1,Governor,,1,,Under Votes,6
Newton,Beaver 1,Governor,,1,,Over Votes,0
Newton,Beaver 1,Governor,,1,,Invalid Votes,2
Newton,Beaver 1,Attorney General,,1,REP,Todd ROKITA,234
Newton,Beaver 1,Attorney General,,1,DEM,Destiny WELLS,63
Newton,Beaver 1,Attorney General,,1,,Total Votes Cast,297
Newton,Beaver 1,Attorney General,,1,,Under Votes,14
Newton,Beaver 1,Attorney General,,1,,Over Votes,1
Newton,Beaver 1,Attorney General,,1,,Invalid Votes,2
Newton,Beaver 1,U.S. Senate,,1,REP,Jim BANKS,226
Newton,Beaver 1,U.S. Senate,,1,DEM,Valerie McCRAY,61
Newton,Beaver 1,U.S. Senate,,1,LBT,Andrew HORNING,8
Newton,Beaver 1,U.S. Senate,,1,,Write-In,0
Newton,Beaver 1,U.S. Senate,,1,,Total Votes Cast,295
Newton,Beaver 1,U.S. Senate,,1,,Under Votes,17
Newton,Beaver 1,U.S. Senate,,1,,Over Votes,0
Newton,Beaver 1,U.S. Senate,,1,,Invalid Votes,2
Newton,Beaver 1,U.S. House,4,1,REP,Jim BAIRD,235
Newton,Beaver 1,U.S. House,4,1,DEM,Derrick HOLDER,57
Newton,Beaver 1,U.S. House,4,1,LBT,Ashley GROFF,11
Newton,Beaver 1,U.S. House,4,1,,Total Votes Cast,303
Newton,Beaver 1,U.S. House,4,1,,Under Votes,9
Newton,Beaver 1,U.S. House,4,1,,Over Votes,0
Newton,Beaver 1,U.S. House,4,1,,Invalid Votes,2
Newton,Beaver 1,State House,11,1,REP,Michael A. AYLESWORTH,242
Newton,Beaver 1,State House,11,1,,Total Votes Cast,242
Newton,Beaver 1,State House,11,1,,Under Votes,70
Newton,Beaver 1,State House,11,1,,Over Votes,0
Newton,Beaver 1,State House,11,1,,Invalid Votes,2
Newton,Beaver 1,"Circuit Court Judge, 79th Circuit",,1,REP,Jeryl F. LEACH,233
Newton,Beaver 1,"Circuit Court Judge, 79th Circuit",,1,,Total Votes Cast,233
Newton,Beaver 1,"Circuit Court Judge, 79th Circuit",,1,,Under Votes,79
Newton,Beaver 1,"Circuit Court Judge, 79th Circuit",,1,,Over Votes,0
Newton,Beaver 1,"Circuit Court Judge, 79th Circuit",,1,,Invalid Votes,2
Newton,Beaver 1,Superior Court Judge,,1,REP,Patrick K. RYAN,252
Newton,Beaver 1,Superior Court Judge,,1,,Total Votes Cast,252
Newton,Beaver 1,Superior Court Judge,,1,,Under Votes,60
Newton,Beaver 1,Superior Court Judge,,1,,Over Votes,0
Newton,Beaver 1,Superior Court Judge,,1,,Invalid Votes,2
Newton,Beaver 1,Circuit Court Clerk,,1,REP,Jessica D FIRKINS,241
Newton,Beaver 1,Circuit Court Clerk,,1,,Total Votes Cast,241
Newton,Beaver 1,Circuit Court Clerk,,1,,Under Votes,71
Newton,Beaver 1,Circuit Court Clerk,,1,,Over Votes,0
Newton,Beaver 1,Circuit Court Clerk,,1,,Invalid Votes,2
Newton,Beaver 1,County Treasurer,,1,REP,Jenni SWARTZ,246
Newton,Beaver 1,County Treasurer,,1,,Total Votes Cast,246
Newton,Beaver 1,County Treasurer,,1,,Under Votes,66
Newton,Beaver 1,County Treasurer,,1,,Over Votes,0
Newton,Beaver 1,County Treasurer,,1,,Invalid Votes,2
Newton,Beaver 1,County Coroner,,1,REP,Scott A McCORD,250
Newton,Beaver 1,County Coroner,,1,,Total Votes Cast,250
Newton,Beaver 1,County Coroner,,1,,Under Votes,62
Newton,Beaver 1,County Coroner,,1,,Over Votes,0
Newton,Beaver 1,County Coroner,,1,,Invalid Votes,2
Newton,Beaver 1,County Surveyor,,1,REP,Beau J WATKINS,235
Newton,Beaver 1,County Surveyor,,1,,Total Votes Cast,235
Newton,Beaver 1,County Surveyor,,1,,Under Votes,77
Newton,Beaver 1,County Surveyor,,1,,Over Votes,0
Newton,Beaver 1,County Surveyor,,1,,Invalid Votes,2
Newton,Beaver 1,County Commissioner,1,1,REP,Steven EILERS,246
Newton,Beaver 1,County Commissioner,1,1,,Total Votes Cast,246
Newton,Beaver 1,County Commissioner,1,1,,Under Votes,66
Newton,Beaver 1,County Commissioner,1,1,,Over Votes,0
Newton,Beaver 1,County Commissioner,1,1,,Invalid Votes,2
Newton,Beaver 1,County Commissioner,3,1,REP,Rob CHURCHILL,235
Newton,Beaver 1,County Commissioner,3,1,DEM,Dennis J DUNCAN,62
Newton,Beaver 1,County Commissioner,3,1,,Total Votes Cast,297
Newton,Beaver 1,County Commissioner,3,1,,Under Votes,15
Newton,Beaver 1,County Commissioner,3,1,,Over Votes,0
Newton,Beaver 1,County Commissioner,3,1,,Invalid Votes,2
Newton,Beaver 1,County Council,At Large,3,REP,Bob GONCZY,172
Newton,Beaver 1,County Council,At Large,3,REP,Heidi L McCORD,156
Newton,Beaver 1,County Council,At Large,3,REP,Mick VANDERWALL,182
Newton,Beaver 1,County Council,At Large,3,DEM,Dean DUNCAN,83
Newton,Beaver 1,County Council,At Large,3,DEM,Lester T MOORE,46
Newton,Beaver 1,County Council,At Large,3,,Total Votes Cast,639
Newton,Beaver 1,County Council,At Large,3,,Under Votes,303
Newton,Beaver 1,County Council,At Large,3,,Over Votes,0
Newton,Beaver 1,School Board Member,"North Newton School Board, At Large",1,,Michael S MARK,130
Newton,Beaver 1,School Board Member,"North Newton School Board, At Large",1,,Write-In,83
Newton,Beaver 1,School Board Member,"North Newton School Board, At Large",1,,Total Votes Cast,213
Newton,Beaver 1,School Board Member,"North Newton School Board, At Large",1,,Under Votes,101
Newton,Beaver 1,School Board Member,"North Newton School Board, At Large",1,,Over Votes,0
Newton,Beaver 1,School Board Member,"North Newton School Board, Beaver Township",1,,Diane L JARVIS-GONCZY,194
Newton,Beaver 1,School Board Member,"North Newton School Board, Beaver Township",1,,Total Votes Cast,194
Newton,Beaver 1,School Board Member,"North Newton School Board, Beaver Township",1,,Under Votes,120
Newton,Beaver 1,School Board Member,"North Newton School Board, Beaver Township",1,,Over Votes,0
Newton,Beaver 1,IN Supreme Court-Rush,,1,,Yes,149
Newton,Beaver 1,IN Supreme Court-Rush,,1,,No,52
Newton,Beaver 1,IN Supreme Court-Rush,,1,,Total Votes Cast,201
Newton,Beaver 1,IN Supreme Court-Rush,,1,,Under Votes,113
Newton,Beaver 1,IN Supreme Court-Rush,,1,,Over Votes,0
Newton,Beaver 1,IN Supreme Court-Massa,,1,,Yes,144
Newton,Beaver 1,IN Supreme Court-Massa,,1,,No,51
Newton,Beaver 1,IN Supreme Court-Massa,,1,,Total Votes Cast,195
Newton,Beaver 1,IN Supreme Court-Massa,,1,,Under Votes,119
Newton,Beaver 1,IN Supreme Court-Massa,,1,,Over Votes,0
Newton,Beaver 1,IN Supreme Court-Molter,,1,,Yes,169
Newton,Beaver 1,IN Supreme Court-Molter,,1,,No,46
Newton,Beaver 1,IN Supreme Court-Molter,,1,,Total Votes Cast,215
Newton,Beaver 1,IN Supreme Court-Molter,,1,,Under Votes,98
Newton,Beaver 1,IN Supreme Court-Molter,,1,,Over Votes,1
Newton,Beaver 1,Court of Appeals Dist 4-Pyle III,,1,,Yes,147
Newton,Beaver 1,Court of Appeals Dist 4-Pyle III,,1,,No,47
Newton,Beaver 1,Court of Appeals Dist 4-Pyle III,,1,,Total Votes Cast,194
Newton,Beaver 1,Court of Appeals Dist 4-Pyle III,,1,,Under Votes,120
Newton,Beaver 1,Court of Appeals Dist 4-Pyle III,,1,,Over Votes,0
Newton,Beaver 2,Registered Voters,,,,,608
Newton,Beaver 2,Ballots Cast,,,,,400
Newton,Beaver 2,Straight Party,,,REP,Republican Party,118
Newton,Beaver 2,Straight Party,,,DEM,Democratic Party,19
Newton,Beaver 2,Straight Party,,,LBT,Libertarian Party,0
Newton,Beaver 2,Straight Party,,,WTP,We The People Party,5
Newton,Beaver 2,Straight Party,,,,Total Votes Cast,142
Newton,Beaver 2,Straight Party,,,,Under Votes,257
Newton,Beaver 2,Straight Party,,,,Over Votes,1
Newton,Beaver 2,Public Question-Const Amendment,,,,Yes,130
Newton,Beaver 2,Public Question-Const Amendment,,,,No,138
Newton,Beaver 2,Public Question-Const Amendment,,,,Total Votes Cast,268
Newton,Beaver 2,Public Question-Const Amendment,,,,Under Votes,131
Newton,Beaver 2,Public Question-Const Amendment,,,,Over Votes,1
Newton,Beaver 2,President,,1,REP,Donald J. TRUMP / JD VANCE,316
Newton,Beaver 2,President,,1,DEM,Kamala D. HARRIS / Tim WALZ,75
Newton,Beaver 2,President,,1,LBT,Chase OLIVER / Mike ter MAAT,1
Newton,Beaver 2,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANANAN,3
Newton,Beaver 2,President,,1,,Write-In,0
Newton,Beaver 2,President,,1,,Total Votes Cast,395
Newton,Beaver 2,President,,1,,Under Votes,0
Newton,Beaver 2,President,,1,,Over Votes,4
Newton,Beaver 2,President,,1,,Invalid Votes,1
Newton,Beaver 2,Governor,,1,REP,Mike BRAUN / Micah BECKWITH,286
Newton,Beaver 2,Governor,,1,DEM,Jennifer G. McCORMICK /Terry GOODIN,99
Newton,Beaver 2,Governor,,1,LBT,Donald RAINWATER / Tonya HUDSON,7
Newton,Beaver 2,Governor,,1,,Write-In,0
Newton,Beaver 2,Governor,,1,,Total Votes Cast,392
Newton,Beaver 2,Governor,,1,,Under Votes,7
Newton,Beaver 2,Governor,,1,,Over Votes,0
Newton,Beaver 2,Governor,,1,,Invalid Votes,1
Newton,Beaver 2,Attorney General,,1,REP,Todd ROKITA,312
Newton,Beaver 2,Attorney General,,1,DEM,Destiny WELLS,76
Newton,Beaver 2,Attorney General,,1,,Total Votes Cast,388
Newton,Beaver 2,Attorney General,,1,,Under Votes,11
Newton,Beaver 2,Attorney General,,1,,Over Votes,0
Newton,Beaver 2,Attorney General,,1,,Invalid Votes,1
Newton,Beaver 2,U.S. Senate,,1,REP,Jim BANKS,307
Newton,Beaver 2,U.S. Senate,,1,DEM,Valerie McCRAY,70
Newton,Beaver 2,U.S. Senate,,1,LBT,Andrew HORNING,8
Newton,Beaver 2,U.S. Senate,,1,,Write-In,0
Newton,Beaver 2,U.S. Senate,,1,,Total Votes Cast,385
Newton,Beaver 2,U.S. Senate,,1,,Under Votes,14
Newton,Beaver 2,U.S. Senate,,1,,Over Votes,0
Newton,Beaver 2,U.S. Senate,,1,,Invalid Votes,1
Newton,Beaver 2,U.S. House,4,1,REP,Jim BAIRD,312
Newton,Beaver 2,U.S. House,4,1,DEM,Derrick HOLDER,62
Newton,Beaver 2,U.S. House,4,1,LBT,Ashley GROFF,10
Newton,Beaver 2,U.S. House,4,1,,Total Votes Cast,384
Newton,Beaver 2,U.S. House,4,1,,Under Votes,15
Newton,Beaver 2,U.S. House,4,1,,Over Votes,0
Newton,Beaver 2,U.S. House,4,1,,Invalid Votes,1
Newton,Beaver 2,State House,11,1,REP,Michael A. AYLESWORTH,311
Newton,Beaver 2,State House,11,1,,Total Votes Cast,311
Newton,Beaver 2,State House,11,1,,Under Votes,88
Newton,Beaver 2,State House,11,1,,Over Votes,0
Newton,Beaver 2,State House,11,1,,Invalid Votes,1
Newton,Beaver 2,"Circuit Court Judge, 79th Circuit",,1,REP,Jeryl F. LEACH,316
Newton,Beaver 2,"Circuit Court Judge, 79th Circuit",,1,,Total Votes Cast,316
Newton,Beaver 2,"Circuit Court Judge, 79th Circuit",,1,,Under Votes,83
Newton,Beaver 2,"Circuit Court Judge, 79th Circuit",,1,,Over Votes,0
Newton,Beaver 2,"Circuit Court Judge, 79th Circuit",,1,,Invalid Votes,1
Newton,Beaver 2,Superior Court Judge,,1,REP,Patrick K. RYAN,325
Newton,Beaver 2,Superior Court Judge,,1,,Total Votes Cast,325
Newton,Beaver 2,Superior Court Judge,,1,,Under Votes,74
Newton,Beaver 2,Superior Court Judge,,1,,Over Votes,0
Newton,Beaver 2,Superior Court Judge,,1,,Invalid Votes,1
Newton,Beaver 2,Circuit Court Clerk,,1,REP,Jessica D FIRKINS,318
Newton,Beaver 2,Circuit Court Clerk,,1,,Total Votes Cast,318
Newton,Beaver 2,Circuit Court Clerk,,1,,Under Votes,81
Newton,Beaver 2,Circuit Court Clerk,,1,,Over Votes,0
Newton,Beaver 2,Circuit Court Clerk,,1,,Invalid Votes,1
Newton,Beaver 2,County Treasurer,,1,REP,Jenni SWARTZ,320
Newton,Beaver 2,County Treasurer,,1,,Total Votes Cast,320
Newton,Beaver 2,County Treasurer,,1,,Under Votes,79
Newton,Beaver 2,County Treasurer,,1,,Over Votes,0
Newton,Beaver 2,County Treasurer,,1,,Invalid Votes,1
Newton,Beaver 2,County Coroner,,1,REP,Scott A McCORD,317
Newton,Beaver 2,County Coroner,,1,,Total Votes Cast,317
Newton,Beaver 2,County Coroner,,1,,Under Votes,82
Newton,Beaver 2,County Coroner,,1,,Over Votes,0
Newton,Beaver 2,County Coroner,,1,,Invalid Votes,1
Newton,Beaver 2,County Surveyor,,1,REP,Beau J WATKINS,306
Newton,Beaver 2,County Surveyor,,1,,Total Votes Cast,306
Newton,Beaver 2,County Surveyor,,1,,Under Votes,93
Newton,Beaver 2,County Surveyor,,1,,Over Votes,0
Newton,Beaver 2,County Surveyor,,1,,Invalid Votes,1
Newton,Beaver 2,County Commissioner,1,1,REP,Steven EILERS,303
Newton,Beaver 2,County Commissioner,1,1,,Total Votes Cast,303
Newton,Beaver 2,County Commissioner,1,1,,Under Votes,96
Newton,Beaver 2,County Commissioner,1,1,,Over Votes,0
Newton,Beaver 2,County Commissioner,1,1,,Invalid Votes,1
Newton,Beaver 2,County Commissioner,3,1,REP,Rob CHURCHILL,311
Newton,Beaver 2,County Commissioner,3,1,DEM,Dennis J DUNCAN,68
Newton,Beaver 2,County Commissioner,3,1,,Total Votes Cast,379
Newton,Beaver 2,County Commissioner,3,1,,Under Votes,20
Newton,Beaver 2,County Commissioner,3,1,,Over Votes,0
Newton,Beaver 2,County Commissioner,3,1,,Invalid Votes,1
Newton,Beaver 2,County Council,At Large,3,REP,Bob GONCZY,230
Newton,Beaver 2,County Council,At Large,3,REP,Heidi L McCORD,201
Newton,Beaver 2,County Council,At Large,3,REP,Mick VANDERWALL,250
Newton,Beaver 2,County Council,At Large,3,DEM,Dean DUNCAN,86
Newton,Beaver 2,County Council,At Large,3,DEM,Lester T MOORE,54
Newton,Beaver 2,County Council,At Large,3,,Total Votes Cast,821
Newton,Beaver 2,County Council,At Large,3,,Under Votes,379
Newton,Beaver 2,County Council,At Large,3,,Over Votes,0
Newton,Beaver 2,School Board Member,"North Newton School Board, At Large",1,,Michael S MARK,163
Newton,Beaver 2,School Board Member,"North Newton School Board, At Large",1,,Write-In,117
Newton,Beaver 2,School Board Member,"North Newton School Board, At Large",1,,Total Votes Cast,280
Newton,Beaver 2,School Board Member,"North Newton School Board, At Large",1,,Under Votes,120
Newton,Beaver 2,School Board Member,"North Newton School Board, At Large",1,,Over Votes,0
Newton,Beaver 2,School Board Member,"North Newton School Board, Beaver Township",1,,Diane L JARVIS-GONCZY,254
Newton,Beaver 2,School Board Member,"North Newton School Board, Beaver Township",1,,Total Votes Cast,254
Newton,Beaver 2,School Board Member,"North Newton School Board, Beaver Township",1,,Under Votes,146
Newton,Beaver 2,School Board Member,"North Newton School Board, Beaver Township",1,,Over Votes,0
Newton,Beaver 2,IN Supreme Court-Rush,,1,,Yes,193
Newton,Beaver 2,IN Supreme Court-Rush,,1,,No,88
Newton,Beaver 2,IN Supreme Court-Rush,,1,,Total Votes Cast,281
Newton,Beaver 2,IN Supreme Court-Rush,,1,,Under Votes,118
Newton,Beaver 2,IN Supreme Court-Rush,,1,,Over Votes,1
Newton,Beaver 2,IN Supreme Court-Massa,,1,,Yes,193
Newton,Beaver 2,IN Supreme Court-Massa,,1,,No,75
Newton,Beaver 2,IN Supreme Court-Massa,,1,,Total Votes Cast,268
Newton,Beaver 2,IN Supreme Court-Massa,,1,,Under Votes,132
Newton,Beaver 2,IN Supreme Court-Massa,,1,,Over Votes,0
Newton,Beaver 2,IN Supreme Court-Molter,,1,,Yes,217
Newton,Beaver 2,IN Supreme Court-Molter,,1,,No,83
Newton,Beaver 2,IN Supreme Court-Molter,,1,,Total Votes Cast,300
Newton,Beaver 2,IN Supreme Court-Molter,,1,,Under Votes,100
Newton,Beaver 2,IN Supreme Court-Molter,,1,,Over Votes,0
Newton,Beaver 2,Court of Appeals Dist 4-Pyle III,,1,,Yes,181
Newton,Beaver 2,Court of Appeals Dist 4-Pyle III,,1,,No,81
