county,precinct,office,district,seats,party,candidate,votes,early_voting,election_day,absentee
Greene,01 Beech Creek 1,Registered Voters,,,,,852,,,
Greene,01 Beech Creek 1,Ballots Cast,,,,,593,,,
Greene,01 Beech Creek 1,Public Question-Const Amendment,,1,,Yes,278,98,163,17
Greene,01 Beech Creek 1,Public Question-Const Amendment,,1,,No,222,83,116,23
Greene,01 Beech Creek 1,President,,1,REP,Donald J. TRUMP / JD VANCE,440,150,263,27
Greene,01 Beech Creek 1,President,,1,DEM,Kamala D. HARRIS / Tim WALZ,135,58,49,28
Greene,01 Beech Creek 1,President,,1,LBT,Chase OLIVER / Mike terr MAAT,5,0,5,0
Greene,01 Beech Creek 1,President,,1,WTP,Robert F. KENNEDY JR. / Nichole SHANAHAN,5,1,4,0
Greene,01 Beech Creek 1,President,,1,,Write-In,2,0,2,0
Greene,01 Beech Creek 1,U.S. Senate,,1,REP,Jim BANKS,395,139,228,28
Greene,01 Beech Creek 1,U.S. Senate,,1,DEM,Valerie McCRAY,137,55,55,27
Greene,01 Beech Creek 1,U.S. Senate,,1,LBT,Andrew HORNING,20,6,14,0
Greene,01 Beech Creek 1,U.S. Senate,,1,,Write-In,0,0,0,0
Greene,01 Beech Creek 1,Governor,,1,REP,Mike BRAUN / Micah BECKWITH,370,133,208,29
Greene,01 Beech Creek 1,Governor,,1,DEM,Jennifer G. McCORMICK / Terry GOODIN,145,58,62,25
Greene,01 Beech Creek 1,Governor,,1,LBT,Donald RAINWATER / Tonya HUDSON,45,11,34,0
Greene,01 Beech Creek 1,Governor,,1,,Write-In,0,0,0,0
Greene,01 Beech Creek 1,Attorney General,,1,REP,Todd ROKITA,421,147,246,28
Greene,01 Beech Creek 1,Attorney General,,1,DEM,Destiny WELLS,140,58,56,26
Greene,01 Beech Creek 1,U.S. House,8,1,REP,Mark MESSMER,408,139,241,28
Greene,01 Beech Creek 1,U.S. House,8,1,DEM,Erik HURT,132,55,50,27
Greene,01 Beech Creek 1,U.S. House,8,1,LBT,K Richard FITZLAFF,17,6,11,0
Greene,01 Beech Creek 1,U.S. House,8,1,,Write-In,0,0,0,0
Greene,01 Beech Creek 1,State House,45,1,REP,Bruce BORDERS,442,154,261,27
Greene,01 Beech Creek 1,State House,45,1,DEM,No Candidate Filed,0,0,0,0
Greene,01 Beech Creek 1,Judge Of The 63rd Circuit Court,,1,REP,Erik (Chip) ALLEN,449,161,263,25
Greene,01 Beech Creek 1,Judge Of The 63rd Circuit Court,,1,DEM,No Candidate Filed,0,0,0,0
Greene,01 Beech Creek 1,County Treasurer,,1,REP,Samantha R. MAHAN,438,158,255,25
Greene,01 Beech Creek 1,County Treasurer,,1,DEM,No Candidate Filed,0,0,0,0
Greene,01 Beech Creek 1,County Surveyor,,1,REP,Ed STRONG,432,158,252,22
Greene,01 Beech Creek 1,County Surveyor,,1,DEM,No Candidate Filed,0,0,0,0
Greene,01 Beech Creek 1,County Commissioner,1,1,REP,Edward L. MICHAEL,459,162,271,26
Greene,01 Beech Creek 1,County Commissioner,1,1,DEM,No Candidate Filed,0,0,0,0
Greene,01 Beech Creek 1,County Commissioner,2,1,REP,Nathan L. ABRAMS,418,148,244,26
Greene,01 Beech Creek 1,County Commissioner,2,1,DEM,Steve C. LINDSEY,138,55,57,26
Greene,01 Beech Creek 1,County Council,,3,,Karen S. ABRAMS,343,116,199,28
Greene,01 Beech Creek 1,County Council,,3,,Jerry R. FRYE,300,101,172,27
Greene,01 Beech Creek 1,County Council,,3,,Bryan K. WOODALL,281,100,157,24
Greene,01 Beech Creek 1,County Council,,3,,Terry L. KOONS,132,56,63,13
