county,precinct,office,district,seats,party,candidate,votes,early_voting,election_day,absentee
Morgan,01 ADAMS,Registered Voters,,,,,857,,,
Morgan,01 ADAMS,Ballots Cast,,,,,552,,,
Morgan,01 ADAMS,Public Question-Const Amendment,,,,Yes,274,117,147,10
Morgan,01 ADAMS,Public Question-Const Amendment,,,,No,213,89,112,12
Morgan,01 ADAMS,President,,1,REP,Donald J. TRUMP / JD VANCE,438,184,239,15
Morgan,01 ADAMS,President,,1,DEM,Kamala D. HARRIS / Tim WALZ,94,50,32,12
Morgan,01 ADAMS,President,,1,LBT,Chase OLIVER / Mike terr MATT,2,0,2,0
Morgan,01 ADAMS,President,,1,WTP,Robert F. KENNEDY JR. / Nichole SHANAHAN,10,4,6,0
Morgan,01 ADAMS,President,,1,,Write-In,2,0,1,1
Morgan,01 ADAMS,U.S. Senate,,1,REP,Jim BANKS,409,175,219,15
Morgan,01 ADAMS,U.S. Senate,,1,DEM,Valerie McCRAY,86,44,32,10
Morgan,01 ADAMS,U.S. Senate,,1,LBT,Andrew HORNING,22,6,15,1
Morgan,01 ADAMS,U.S. Senate,,1,,Write-In,0,0,0,0
Morgan,01 ADAMS,Governor,,1,REP,Mike BRAUN / Micah BECKWITH,384,167,204,13
Morgan,01 ADAMS,Governor,,1,DEM,Jennifer G. McCORMICK / Terry GOODIN,99,46,39,14
Morgan,01 ADAMS,Governor,,1,LBT,Donald RAINWATER / Tonya HUDSON,46,18,27,1
Morgan,01 ADAMS,Governor,,1,,Write-In,0,0,0,0
Morgan,01 ADAMS,Attorney General,,1,REP,Todd ROKITA,424,178,228,18
Morgan,01 ADAMS,Attorney General,,1,DEM,Destiny WELLS,107,57,42,8
Morgan,01 ADAMS,U.S. House,4,1,REP,Jim BAIRD,425,181,228,16
Morgan,01 ADAMS,U.S. House,4,1,DEM,Derrick HOLDER,83,46,29,8
Morgan,01 ADAMS,U.S. House,4,1,LBT,Ashley GROFF,23,7,15,1
Morgan,01 ADAMS,U.S. House,4,1,,Write-In,0,0,0,0
Morgan,01 ADAMS,State Senate,37,1,REP,Rodric D. BRAY,442,187,235,20
Morgan,01 ADAMS,State Senate,37,1,DEM," Kimberly M. SCHOFIELD",88,47,34,7
Morgan,01 ADAMS,State House,60,1,REP,Peggy MAYFIELD,425,183,225,17
Morgan,01 ADAMS,State House,60,1,DEM,Michelle HIGGS,99,49,40,10
Morgan,01 ADAMS,Judge of the Circuit Court 15th Judicial,,1,REP,Matthew George HANSON,437,190,227,20
Morgan,01 ADAMS,County Recorder,,1,REP,Anna M. VOYLES,442,190,232,20
