county,precinct,office,district,seats,party,candidate,votes,early_voting,election_day,absentee
Daviess,01 BARR 1,Registered Voters,,,,,1212,,,
Daviess,01 BARR 1,Ballots Cast,,,,,880,,,
Daviess,01 BARR 1,Public Question-Const Amendment,,1,,Yes,391,264,118,9
Daviess,01 BARR 1,Public Question-Const Amendment,,1,,No,339,214,106,19
Daviess,01 BARR 1,President,,1,REP,Donald J. TRUMP / JD VANCE,767,497,253,17
Daviess,01 BARR 1,President,,1,DEM,Kamala D. HARRIS / Tim WALZ,100,51,26,23
Daviess,01 BARR 1,President,,1,LBT,Chase OLIVER / Mike terr MAAT,1,1,0,0
Daviess,01 BARR 1,President,,1,WTP,Robert F. KENNEDY JR. / Nichole SHANAHAN,4,2,1,1
Daviess,01 BARR 1,President,,1,,Write-In,1,0,1,0
Daviess,01 BARR 1,U.S. Senate,,1,REP,Jim BANKS,716,463,236,17
Daviess,01 BARR 1,U.S. Senate,,1,DEM,Valerie McCRAY,91,49,18,24
Daviess,01 BARR 1,U.S. Senate,,1,LBT,Andrew HORNING,10,6,4,0
Daviess,01 BARR 1,U.S. Senate,,1,,Write-In,0,0,0,0
Daviess,01 BARR 1,Governor,,1,REP,Mike BRAUN / Micah BECKWITH,618,397,202,19
Daviess,01 BARR 1,Governor,,1,DEM,Jennifer G. McCORMICK / Terry GOODIN,149,86,40,23
Daviess,01 BARR 1,Governor,,1,LBT,Donald RAINWATER / Tonya HUDSON,72,43,29,0
Daviess,01 BARR 1,Governor,,1,,Write-In,0,0,0,0
Daviess,01 BARR 1,Attorney General,,1,REP,Todd ROKITA,719,465,234,20
Daviess,01 BARR 1,Attorney General,,1,DEM,Destiny WELLS,101,55,26,20
Daviess,01 BARR 1,U.S. House,8,1,REP,Mark MESSMER,753,482,248,23
Daviess,01 BARR 1,U.S. House,8,1,DEM,Erik HURT,92,51,22,19
Daviess,01 BARR 1,U.S. House,8,1,LBT,K Richard FITZLAFF,10,7,3,0
Daviess,01 BARR 1,U.S. House,8,1,,Write-In,0,0,0,0
Daviess,01 BARR 1,State House,63,1,REP,Shane M LINDAUER,731,473,239,19
Daviess,01 BARR 1,State House,63,1,DEM,Teresa KENDALL,104,57,25,22
Daviess,01 BARR 1,County Recorder,,1,REP,Rosetta NEWTON,775,494,254,27
Daviess,01 BARR 1,County Recorder,,1,DEM,No Candidate Filed,0,0,0,0
Daviess,01 BARR 1,County Treasurer,,1,REP,Jamie K CHAPMAN,769,491,252,26
