county,precinct,office,district,seats,party,candidate,votes,early_voting,election_day,provisional
Clark,0001 BETHLEHEM 01,Registered Voters,,,,,252,,,
Clark,0001 BETHLEHEM 01,Ballots Cast,,,,,177,42,135,0
Clark,0001 BETHLEHEM 01,Public Question-Const Amendment,,1,,Yes,69,23,46,0
Clark,0001 BETHLEHEM 01,Public Question-Const Amendment,,1,,No,53,10,43,0
Clark,0001 BETHLEHEM 01,Public Question-Const Amendment,,1,,Over Votes,0,0,0,0
Clark,0001 BETHLEHEM 01,Public Question-Const Amendment,,1,,Under Votes,55,9,46,0
Clark,0001 BETHLEHEM 01,Straight Party,,1,REP,Republican,55,17,38,0
Clark,0001 BETHLEHEM 01,Straight Party,,1,DEM,Democratic,8,4,4,0
Clark,0001 BETHLEHEM 01,Straight Party,,1,LBT,Libertarian,0,0,0,0
Clark,0001 BETHLEHEM 01,Straight Party,,1,WTP,We The People,6,1,5,0
Clark,0001 BETHLEHEM 01,Straight Party,,1,,Over Votes,0,0,0,0
Clark,0001 BETHLEHEM 01,Straight Party,,1,,Under Votes,108,20,88,0
Clark,0001 BETHLEHEM 01,President,,1,REP,Donald J. TRUMP / JD VANCE,150,32,118,0
Clark,0001 BETHLEHEM 01,President,,1,DEM,Kamala D. HARRIS / Tim WALZ,22,9,13,0
Clark,0001 BETHLEHEM 01,President,,1,LBT,Chase OLIVER / Mike terr MAAT,0,0,0,0
Clark,0001 BETHLEHEM 01,President,,1,WTP,Robert F. KENNEDY JR. / Nichole SHANAHAN,2,0,2,0
Clark,0001 BETHLEHEM 01,President,,1,,Write-In,1,0,1,0
Clark,0001 BETHLEHEM 01,President,,1,,Over Votes,1,1,0,0
Clark,0001 BETHLEHEM 01,President,,1,,Under Votes,1,0,1,0
Clark,0001 BETHLEHEM 01,U.S. Senate,,1,REP,Jim BANKS,141,31,110,0
Clark,0001 BETHLEHEM 01,U.S. Senate,,1,DEM,Valerie McCRAY,27,9,18,0
Clark,0001 BETHLEHEM 01,U.S. Senate,,1,LBT,Andrew HORNING,2,0,2,0
Clark,0001 BETHLEHEM 01,U.S. Senate,,1,,Write-In,0,0,0,0
