county,precinct,office,district,seats,party,candidate,votes,early_voting,election_day,absentee
Lawrence,01 SHAWSWICK 01A,Registered Voters,,,,,441,,,
Lawrence,01 SHAWSWICK 01A,Ballots Cast,,,,,252,,,
Lawrence,01 SHAWSWICK 01A,Public Question-Const Amendment,,,,Yes,119,60,52,7
Lawrence,01 SHAWSWICK 01A,Public Question-Const Amendment,,,,No,98,65,30,3
Lawrence,01 SHAWSWICK 01A,President,,1,REP,Donald J. TRUMP / JD VANCE,156,95,57,4
Lawrence,01 SHAWSWICK 01A,President,,1,DEM,Kamala D. HARRIS / Tim WALZ,87,52,27,8
Lawrence,01 SHAWSWICK 01A,President,,1,LBT,Chase OLIVER / Mike terr MAAT,3,0,3,0
Lawrence,01 SHAWSWICK 01A,President,,1,WTP,Robert F. KENNEDY JR. / Nichole SHANAHAN,2,1,0,1
Lawrence,01 SHAWSWICK 01A,President,,1,,Write-In,0,0,0,0
Lawrence,01 SHAWSWICK 01A,U.S. Senate,,1,REP,Jim BANKS,149,89,55,5
Lawrence,01 SHAWSWICK 01A,U.S. Senate,,1,DEM,Valerie McCRAY,82,48,26,8
Lawrence,01 SHAWSWICK 01A,U.S. Senate,,1,LBT,Andrew HORNING,10,6,4,0
Lawrence,01 SHAWSWICK 01A,U.S. Senate,,1,,Write-In,0,0,0,0
Lawrence,01 SHAWSWICK 01A,Governor,,1,REP,Mike BRAUN / Micah BECKWITH,129,80,45,4
Lawrence,01 SHAWSWICK 01A,Governor,,1,DEM,Jennifer G. McCORMICK / Terry GOODIN,93,53,31,9
Lawrence,01 SHAWSWICK 01A,Governor,,1,LBT,Donald RAINWATER / Tonya HUDSON,25,14,11,0
Lawrence,01 SHAWSWICK 01A,Governor,,1,,Write-In,0,0,0,0
Lawrence,01 SHAWSWICK 01A,Attorney General,,1,REP,Todd ROKITA,153,95,53,5
Lawrence,01 SHAWSWICK 01A,Attorney General,,1,DEM,Destiny WELLS,89,52,29,8
Lawrence,01 SHAWSWICK 01A,U.S. House,9,1,REP,Erin HOUCHIN,155,93,58,4
Lawrence,01 SHAWSWICK 01A,U.S. House,9,1,DEM,Timothy (Tim) PECK,78,46,23,9
Lawrence,01 SHAWSWICK 01A,U.S. House,9,1,LBT,Russell (Russ) BROOKSBANK,13,7,6,0
Lawrence,01 SHAWSWICK 01A,U.S. House,9,1,,Write-In,0,0,0,0
Lawrence,01 SHAWSWICK 01A,State Senate,44,1,REP,Eric A. KOCH,189,112,72,5
Lawrence,01 SHAWSWICK 01A,State Senate,44,1,DEM,No Candidate Filed,0,0,0,0
Lawrence,01 SHAWSWICK 01A,State House,,1,REP,Chris D. MAY,186,107,73,6
Lawrence,01 SHAWSWICK 01A,State House,,1,DEM,No Candidate Filed,0,0,0,0
Lawrence,01 SHAWSWICK 01A,Superior Court Judge No. 1,,1,REP,John M. PLUMMER III,191,111,73,7
Lawrence,01 SHAWSWICK 01A,Superior Court Judge No. 1,,1,DEM,No Candidate Filed,0,0,0,0
Lawrence,01 SHAWSWICK 01A,Clerk Of The Circuit Court,,1,REP,Amy M. VOORHIES,188,111,71,6
Lawrence,01 SHAWSWICK 01A,Clerk Of The Circuit Court,,1,DEM,No Candidate Filed,0,0,0,0
Lawrence,01 SHAWSWICK 01A,County Auditor,,1,REP,Martha Arnold TURNER,189,109,73,7
Lawrence,01 SHAWSWICK 01A,County Auditor,,1,DEM,No Candidate Filed,0,0,0,0
Lawrence,01 SHAWSWICK 01A,County Recorder,,1,REP,Jessica L. ALLEN,190,109,75,6
Lawrence,01 SHAWSWICK 01A,County Recorder,,1,DEM,No Candidate Filed,0,0,0,0
Lawrence,01 SHAWSWICK 01A,County Treasurer,,1,REP,Penny L. COBB,190,110,74,6
Lawrence,01 SHAWSWICK 01A,County Treasurer,,1,DEM,No Candidate Filed,0,0,0,0
Lawrence,01 SHAWSWICK 01A,County Coroner,,1,REP,Elizabeth FREEMAN-CAMMACK,187,108,73,6
Lawrence,01 SHAWSWICK 01A,County Coroner,,1,DEM,No Candidate Filed,0,0,0,0
Lawrence,01 SHAWSWICK 01A,County Surveyor,,1,REP,Corey D. ALLEN,187,105,76,6
