county,precinct,office,district,candidate,party,election_day,early_voting,mail,votes
Fountain,CAIN 1,Registered Voters,,,,,,,781
Fountain,CAIN 1,Ballots Cast,,,,,,,543
Fountain,CAIN 1,Straight Party,,REPUBLICAN PARTY,REP,208,37,18,263
Fountain,CAIN 1,Straight Party,,DEMOCRATIC PARTY,DEM,25,10,2,37
Fountain,CAIN 1,Straight Party,,LIBERTARIAN PARTY,LIB,1,0,0,1
Fountain,CAIN 1,Straight Party,,WE THE PEOPLE PARTY,WTP,10,1,0,11
Fountain,CAIN 1,Straight Party,,Under Votes,,170,38,23,231
Fountain,CAIN 1,Straight Party,,Over Votes,,0,0,0,0
Fountain,CAIN 1,Straight Party,,Write-ins,,0,0,0,0
Fountain,CAIN 1,PUBLIC QUESTION #1,,YES,,211,42,19,272
Fountain,CAIN 1,PUBLIC QUESTION #1,,NO,,178,31,16,225
Fountain,CAIN 1,PUBLIC QUESTION #1,,Under Votes,,25,13,8,46
Fountain,CAIN 1,PUBLIC QUESTION #1,,Over Votes,,0,0,0,0
Fountain,CAIN 1,PUBLIC QUESTION #1,,Write-ins,,0,0,0,0
Fountain,CAIN 1,President,,Donald J. Trump,REP,340,57,29,426
Fountain,CAIN 1,President,,Kamala D. Harris,DEM,64,24,12,100
Fountain,CAIN 1,President,,Chase Oliver,LIB,2,0,1,3
Fountain,CAIN 1,President,,Robert F. Kennedy Jr.,WTP,6,1,1,8
Fountain,CAIN 1,President,,Andre Ramon McNeil Sr.,,0,0,0,0
Fountain,CAIN 1,President,,Carol Asher,,0,0,0,0
Fountain,CAIN 1,President,,Cherunda Lyn Fox,,0,0,0,0
Fountain,CAIN 1,President,,Cornel West,,0,0,0,0
Fountain,CAIN 1,President,,Doug Jenkins,,0,0,0,0
Fountain,CAIN 1,President,,Paij Boring,,0,0,0,0
Fountain,CAIN 1,President,,Peter Sonski,,0,0,0,0
Fountain,CAIN 1,President,,Shondra Irving,,0,0,0,0
