county,precinct,office,district,seats,party,candidate,votes,early_voting,election_day,absentee
Scott,01-Finley 1,Registered Voters,,,,,1143,,,
Scott,01-Finley 1,Ballots Cast,,,,,823,,,
Scott,01-Finley 1,Public Question-Const Amendment,,1,,Yes,370,170,181,19
Scott,01-Finley 1,Public Question-Const Amendment,,1,,No,342,169,142,31
Scott,01-Finley 1,President,,1,REP,Donald J. TRUMP / JD VANCE,633,312,302,19
Scott,01-Finley 1,President,,1,DEM,Kamala D. HARRIS / Tim WALZ,171,74,59,38
Scott,01-Finley 1,President,,1,,Chase OLIVER / Mike terr MATT,1,1,0,0
Scott,01-Finley 1,President,,1,WTP,Robert F. KENNEDY JR. / Nichole SHANAHAN,7,2,5,0
Scott,01-Finley 1,President,,1,,Write-In,4,2,2,0
Scott,01-Finley 1,U.S. Senate,,1,REP,Jim BANKS,515,259,241,15
Scott,01-Finley 1,U.S. Senate,,1,DEM,Valerie McCRAY,175,81,57,37
Scott,01-Finley 1,U.S. Senate,,1,LBT,Andrew HORNING,16,3,11,2
Scott,01-Finley 1,U.S. Senate,,1,,Write-In,0,0,0,0
Scott,01-Finley 1,Governor,,1,REP,Mike BRAUN / Micah BECKWITH,509,268,226,15
Scott,01-Finley 1,Governor,,1,DEM,Jennifer G. McCORMICK / Terry GOODIN,254,108,109,37
Scott,01-Finley 1,Governor,,1,LBT,Donald RAINWATER / Tonya HUDSON,37,10,24,3
Scott,01-Finley 1,Governor,,1,,Write-In,0,0,0,0
Scott,01-Finley 1,Attorney General,,1,REP,Todd ROKITA,519,263,238,18
Scott,01-Finley 1,Attorney General,,1,DEM,Destiny WELLS,184,83,66,35
Scott,01-Finley 1,U.S. House,9,1,REP,Erin HOUCHIN,591,301,267,23
Scott,01-Finley 1,U.S. House,9,1,DEM,Timothy (Tim) PECK,153,67,57,29
Scott,01-Finley 1,U.S. House,9,1,LBT,Russell (Russ) BROOKSBANK,20,3,14,3
Scott,01-Finley 1,U.S. House,9,1,,Write-In,0,0,0,0
Scott,01-Finley 1,State House,69,1,REP,Jim LUCAS,551,271,260,20
Scott,01-Finley 1,State House,69,1,DEM,Trish WHITCOMB,197,93,69,35
Scott,01-Finley 1,Circuit Court Clerk,,1,REP,Michelle SHELTON,463,230,217,16
Scott,01-Finley 1,Circuit Court Clerk,,1,DEM,Stacey Broady TURNER,320,148,133,39
Scott,01-Finley 1,County Recorder,,1,REP,Sarah M. HELTON,548,275,255,18
Scott,01-Finley 1,County Recorder,,1,DEM,Kristi RICHIE-JOHNSON,216,97,82,37
Scott,01-Finley 1,County Treasurer,,1,REP,Ryan GABBARD,449,225,208,16
Scott,01-Finley 1,County Treasurer,,1,DEM,Missy APPLEGATE,319,148,132,39
Scott,01-Finley 1,County Coroner,,1,REP,Bryton RICHEY,640,316,293,31
Scott,01-Finley 1,County Surveyor,,1,REP,Mark A. GARDNER,628,301,293,34
Scott,01-Finley 1,County Commissioner,1,1,REP,Randy JULIAN,465,232,213,20
Scott,01-Finley 1,County Commissioner,1,1,DEM,Donnie RICHIE,279,128,115,36
Scott,01-Finley 1,County Commissioner,2,1,REP,Adam BOMAR,420,219,188,13
Scott,01-Finley 1,County Commissioner,2,1,DEM,Larry BLEVINS,218,106,79,33
Scott,01-Finley 1,County Commissioner,2,1,IND,David G. BARRETT,130,47,73,10
Scott,01-Finley 1,County Council Member,At Large,3,REP,Justin CHEATHAM,338,158,169,11
Scott,01-Finley 1,County Council Member,At Large,3,REP,John HARDIN,341,169,161,11
Scott,01-Finley 1,County Council Member,At Large,3,REP,James RICHEY,370,190,170,10
Scott,01-Finley 1,County Council Member,At Large,3,DEM,Jim BOSWELL,199,86,82,31
Scott,01-Finley 1,County Council Member,At Large,3,DEM,John C. LIZENBY,288,130,121,37
Scott,01-Finley 1,County Council Member,At Large,3,DEM,Teresa Baker VANNARSDALL,186,91,67,28
Scott,01-Finley 1,Scott County SB,2 Finley Twp,1,,Terry Lee JONES,309,148,144,17
Scott,01-Finley 1,Scott County SB,2 Finley Twp,1,,Melissa Jean Woods,332,164,138,30
Scott,01-Finley 1,Scott County SB,2 Johnson Twp,1,,William Bj BEST,253,125,114,14
Scott,01-Finley 1,Scott County SB,2 Johnson Twp,1,,Wesley (Wes) COWAN,70,26,34,10
Scott,01-Finley 1,Scott County SB,2 Johnson Twp,1,,Dustin D. McINTOSH,278,134,121,23
Scott,01-Finley 1,Scott County SB,2 Vienna Twp,1,,Gene Ann SHAPINSKY SHAWLER,264,136,109,19
Scott,01-Finley 1,Scott County SB,2 Vienna Twp,1,,Rick ZOLLMAN,388,181,181,26
Scott,01-Finley 1,IN Supreme Court-Rush,,1,,Yes,436,216,195,25
Scott,01-Finley 1,IN Supreme Court-Rush,,1,,No,185,86,83,16
Scott,01-Finley 1,IN Supreme Court-Massa,,1,,Yes,417,214,183,20
Scott,01-Finley 1,IN Supreme Court-Massa,,1,,No,192,84,88,20
