county,precinct,office,district,seats,party,candidate,votes,election_day,absentee
Carroll,0001 Adams,Registered Voters,,,,,363,,
Carroll,0001 Adams,Total Ballots Cast,,,,,243,100,143
Carroll,0001 Adams,Public Question-Const Amendment,,1,,Yes,128,51,77
Carroll,0001 Adams,Public Question-Const Amendment,,1,,No,103,44,59
Carroll,0001 Adams,Straight Party,,1,REP,Republican,118,54,64
Carroll,0001 Adams,Straight Party,,1,DEM,Democratic,28,11,17
Carroll,0001 Adams,Straight Party,,1,LBT,Libertarian,1,0,1
Carroll,0001 Adams,Straight Party,,1,WTP,We The People,2,1,1
Carroll,0001 Adams,President,,1,REP,Donald J. TRUMP / JD VANCE,180,79,101
Carroll,0001 Adams,President,,1,DEM,Kamala D. HARRIS / Tim WALZ,49,15,34
Carroll,0001 Adams,President,,1,LBT,Chase OLIVER / Mike TER MAAT,2,1,1
Carroll,0001 Adams,President,,1,WTP,Robert F.KENNEDY JR. / Nichole SHANAHAN,7,5,2
Carroll,0001 Adams,President,,1,,Write-In,2,0,2
Carroll,0001 Adams,U.S. Senate,,1,REP,Jim BANKS,181,81,100
Carroll,0001 Adams,U.S. Senate,,1,DEM,Valerie McCRAY,48,15,33
Carroll,0001 Adams,U.S. Senate,,1,LBT,Andrew HORNING,7,3,4
Carroll,0001 Adams,Governor,,1,REP,Mike BRAUN / Micah BECKWITH,163,71,92
Carroll,0001 Adams,Governor,,1,DEM,Jennifer G. McCORMICK / Terry GOODIN,54,20,34
Carroll,0001 Adams,Governor,,1,LBT,Donald RAINWATER / Tonya HUDSON,21,8,13
Carroll,0001 Adams,Governor,,1,,Write-In,0,0,0
Carroll,0001 Adams,Attorney General,,1,REP,Todd ROKITA,183,81,102
Carroll,0001 Adams,Attorney General,,1,DEM,Destiny WELLS,54,18,36
Carroll,0001 Adams,U.S. House,4,1,REP,Jim BAIRD,179,77,102
Carroll,0001 Adams,U.S. House,4,1,DEM,Derrick HOLDER,48,17,31
Carroll,0001 Adams,U.S. House,4,1,LBT,Ashley GROFF,11,5,6
Carroll,0001 Adams,U.S. House,4,1,,Write-In,0,0,0
Carroll,0001 Adams,State House,38,1,REP,Heath R. VANNATTER,186,78,108
Carroll,0001 Adams,State House,38,1,DEM,Carl A. SEESE,51,21,30
Carroll,0001 Adams,Circuit Court Judge,,1,REP,Shane Michael EVANS,216,95,121
Carroll,0001 Adams,County Clerk,,1,REP,Sharon MILBURN,216,96,120
Carroll,0001 Adams,County Recorder,,1,REP,Kathryn N O'FARRELL,221,97,124
Carroll,0001 Adams,County Coroner,,1,REP,Kristin ENOCH,218,97,121
Carroll,0001 Adams,County Surveyor,,1,REP,Bob GROSS,221,96,125
Carroll,0001 Adams,County Commissioner,3,1,REP,William R BROWN (Bill),216,97,119
Carroll,0001 Adams,County Council Member,At Large,3,,Angela (Angie) C BROWN,187,85,102
Carroll,0001 Adams,County Council Member,At Large,3,,Sheri JOHNSON,174,74,100
Carroll,0001 Adams,County Council Member,At Large,3,,Cody MARTIN,176,75,101
Carroll,0001 Adams,School Board At Large,5-Twin Lakes,1,,Ryan David HURD,141,57,84
Carroll,0001 Adams,School Board At Large,5-Twin Lakes,1,,Charles J KUBLY,67,30,37
Carroll,0001 Adams,School Board,3-Twin Lakes,1,,Jason A LINGENFELTER,195,85,110
Carroll,0001 Adams,School Board,4-Twin Lakes,1,,Michael J TRUE,191,82,109
Carroll,0001 Adams,IN Supreme Court-RUSH,,1,,Yes,150,65,85
Carroll,0001 Adams,IN Supreme Court-RUSH,,1,,No,65,25,40
Carroll,0001 Adams,IN Supreme Court-MASSA,,1,,Yes,146,64,82
Carroll,0001 Adams,IN Supreme Court-MASSA,,1,,No,64,25,39
Carroll,0001 Adams,IN Supreme Court-MOLTER,,1,,Yes,143,62,81
Carroll,0001 Adams,IN Supreme Court-MOLTER,,1,,No,66,25,41
Carroll,0001 Adams,Court of Appeals Dist 4-PYLE III,4,1,,Yes,137,60,77
Carroll,0001 Adams,Court of Appeals Dist 4-PYLE III,4,1,,No,71,26,45
Carroll,0001 Adams,Public School Question-Twin Lakes,,1,,Yes,52,19,33
Carroll,0001 Adams,Public School Question-Twin Lakes,,1,,No,183,79,104
Carroll,0002 Burlington,Registered Voters,,,,,1315,,
Carroll,0002 Burlington,Total Ballots Cast,,,,,83,532,351
Carroll,0002 Burlington,Public Question-Const Amendment,,1,,Yes,516,319,197
Carroll,0002 Burlington,Public Question-Const Amendment,,1,,No,332,204,128
Carroll,0002 Burlington,Straight Party,,1,REP,Republican,471,282,189
Carroll,0002 Burlington,Straight Party,,1,DEM,Democratic,70,38,32
Carroll,0002 Burlington,Straight Party,,1,LBT,Libertarian,1,0,1
Carroll,0002 Burlington,Straight Party,,1,WTP,We The People,1,1,0
Carroll,0002 Burlington,President,,1,REP,Donald J. TRUMP / JD VANCE,733,450,283
Carroll,0002 Burlington,President,,1,DEM,Kamala D. HARRIS / Tim WALZ,131,72,59
Carroll,0002 Burlington,President,,1,LBT,Chase OLIVER / Mike TER MAAT,5,3,2
Carroll,0002 Burlington,President,,1,WTP,Robert F.KENNEDY JR. / Nichole SHANAHAN,5,4,1
Carroll,0002 Burlington,President,,1,,Write-In,1,1,0
Carroll,0002 Burlington,U.S. Senate,,1,REP,Jim BANKS,722,443,279
Carroll,0002 Burlington,U.S. Senate,,1,DEM,Valerie McCRAY,129,74,55
Carroll,0002 Burlington,U.S. Senate,,1,LBT,Andrew HORNING,19,9,10
Carroll,0002 Burlington,Governor,,1,REP,Mike BRAUN / Micah BECKWITH,651,393,258
Carroll,0002 Burlington,Governor,,1,DEM,Jennifer G. McCORMICK / Terry GOODIN,167,97,70
Carroll,0002 Burlington,Governor,,1,LBT,Donald RAINWATER / Tonya HUDSON,55,39,16
Carroll,0002 Burlington,Governor,,1,,Write-In,0,0,0
Carroll,0002 Burlington,Attorney General,,1,REP,Todd ROKITA,707,431,276
Carroll,0002 Burlington,Attorney General,,1,DEM,Destiny WELLS,164,96,68
Carroll,0002 Burlington,U.S. House,4,1,REP,Jim BAIRD,718,440,278
Carroll,0002 Burlington,U.S. House,4,1,DEM,Derrick HOLDER,124,73,51
Carroll,0002 Burlington,U.S. House,4,1,LBT,Ashley GROFF,28,15,13
Carroll,0002 Burlington,U.S. House,4,1,,Write-In,0,0,0
Carroll,0002 Burlington,State House,38,1,REP,Heath R. VANNATTER,733,444,289
Carroll,0002 Burlington,State House,38,1,DEM,Carl A. SEESE,136,82,54
Carroll,0002 Burlington,Circuit Court Judge,,1,REP,Shane Michael EVANS,818,505,313
Carroll,0002 Burlington,County Clerk,,1,REP,Sharon MILBURN,817,505,312
Carroll,0002 Burlington,County Recorder,,1,REP,Kathryn N O'FARRELL,816,503,313
Carroll,0002 Burlington,County Coroner,,1,REP,Kristin ENOCH,825,507,318
Carroll,0002 Burlington,County Surveyor,,1,REP,Bob GROSS,818,503,315
Carroll,0002 Burlington,County Commissioner,2,1,REP,Scott WAYRES,797,493,304
Carroll,0002 Burlington,County Commissioner,3,1,REP,William R BROWN (Bill),802,497,305
Carroll,0002 Burlington,County Council Member,At Large,3,,Angela (Angie) C BROWN,628,392,236
Carroll,0002 Burlington,County Council Member,At Large,3,,Sheri JOHNSON,650,409,241
Carroll,0002 Burlington,County Council Member,At Large,3,,Cody MARTIN,663,414,249
Carroll,0002 Burlington,School Board,1-Carroll,1,,Stacey BRAZEL,699,443,256
Carroll,0002 Burlington,School Board,4-Carroll,1,,Scott BUTCHER,691,438,253
Carroll,0002 Burlington,IN Supreme Court-RUSH,,1,,Yes,589,370,219
Carroll,0002 Burlington,IN Supreme Court-RUSH,,1,,No,200,118,82
