county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day,
Warrick,ANDERSON,Registered Voters,,,,926,,,,
Warrick,ANDERSON,Ballots Cast,,,,631,20,298,313,
Warrick,ANDERSON,Public Question-Const Amendment,,,Yes,304,7,134,163,
Warrick,ANDERSON,Public Question-Const Amendment,,,No,244,4,116,124,
Warrick,ANDERSON,President,,REP,Donald J. Trump,442,17,223,216,
Warrick,ANDERSON,President,,DEM,Kamala D. Harris,175,3,70,88,
Warrick,ANDERSON,President,,LIB,Chase Oliver,1,0,0,1,
Warrick,ANDERSON,President,,WTP,Robert F. Kennedy Jr.,8,0,3,5,
Warrick,ANDERSON,U.S. Senate,,REP,Jim Banks,415,4,214,197,
Warrick,ANDERSON,U.S. Senate,,DEM,Valerie McCray,158,15,67,76,
Warrick,ANDERSON,U.S. Senate,,LIB,Andrew Horning,20,0,5,15,
Warrick,ANDERSON,U.S. Senate,,,Write-In,1,0,0,1,
Warrick,ANDERSON,Governor,,REP,Mike Braun,409,5,216,188,
Warrick,ANDERSON,Governor,,DEM,Jennifer G. McCormick,159,14,70,75,
Warrick,ANDERSON,Governor,,LIB,Donald Rainwater II,20,0,5,15,
Warrick,ANDERSON,Attorney General,,REP,Todd Rokita,426,9,219,202,
Warrick,ANDERSON,Attorney General,,DEM,Destiny Wells,171,14,68,89,
Warrick,ANDERSON,U.S. House,8,REP,Mark Messmer,428,5,218,205,
Warrick,ANDERSON,U.S. House,8,DEM,Erik Hurt,167,14,66,87,
Warrick,ANDERSON,State Senate,50,REP,Vaneta Becker,460,5,228,224,
Warrick,ANDERSON,State Senate,50,IND,John Woodard,81,4,30,47,
Warrick,ANDERSON,State House,75,REP,Stephen Ledbetter,490,9,235,246,
Warrick,ANDERSON,Judge Superior Court No. 1,,REP,Kristina Hamby (Krista) Weiberg,500,9,244,247,
Warrick,ANDERSON,Judge Superior Court No. 2,,REP,Brett Michael Roy,500,9,238,253,
Warrick,ANDERSON,Clerk Of The Circuit Court,,REP,Mike Wilson,493,9,237,247,
