county,precinct,office,district,seats,party,candidate,votes
Union,0001 Brownsville,Registered Voters,,,,,525
Union,0001 Brownsville,Ballots Cast,,,,,398
Union,0001 Brownsville,Public Question-Const Amendment,,1,,Yes,130
Union,0001 Brownsville,Public Question-Const Amendment,,1,,No,148
Union,0001 Brownsville,Straight Party,,,REP,Republican,146
Union,0001 Brownsville,Straight Party,,,DEM,Democratic,29
Union,0001 Brownsville,Straight Party,,,LBT,Libertarian,1
Union,0001 Brownsville,Straight Party,,,WTP,We The People,3
Union,0001 Brownsville,President,,1,REP,Donald J. TRUMP / JD VANCE,313
Union,0001 Brownsville,President,,1,DEM,Kamala D. HARRIS / Tim WALZ,74
Union,0001 Brownsville,President,,1,LBT,Chase OLIVER / Mike terr MAAT,3
Union,0001 Brownsville,President,,1,WTP,Robert F. KENNEDY JR. / Nichole SHANAHAN,2
Union,0001 Brownsville,President,,1,,Write-In,2
Union,0001 Brownsville,U.S. Senate,,1,REP,Jim BANKS,297
Union,0001 Brownsville,U.S. Senate,,1,DEM,Valerie McCRAY,81
Union,0001 Brownsville,U.S. Senate,,1,LBT,Andrew HORNING,11
Union,0001 Brownsville,U.S. Senate,,1,,Write-In,0
Union,0001 Brownsville,Governor,,1,REP,Mike BRAUN / Micah BECKWITH,292
Union,0001 Brownsville,Governor,,1,DEM,Jennifer G. McCORMICK / Terry GOODIN,82
Union,0001 Brownsville,Governor,,1,LBT,Donald RAINWATER / Tonya HUDSON,16
Union,0001 Brownsville,Governor,,1,,Write-In,0
Union,0001 Brownsville,Attorney General,,1,REP,Todd ROKITA,300
Union,0001 Brownsville,Attorney General,,1,DEM,Destiny WELLS,86
Union,0001 Brownsville,U.S. House,6,1,REP,Jefferson SHREVE,294
Union,0001 Brownsville,U.S. House,6,1,DEM,Cynthia (Cinde) WIRTH,79
Union,0001 Brownsville,U.S. House,6,1,LBT,James Michael SCENIAK,13
Union,0001 Brownsville,State House,55,1,REP,Lindsay PATTERSON,304
Union,0001 Brownsville,State House,55,1,DEM,Victoria C MARTZ,81
Union,0001 Brownsville,County Treasurer,,1,REP,Tammy (DAVIS) HARTMAN,344
Union,0001 Brownsville,County Treasurer,,1,DEM,No Candidate Filed,0
Union,0001 Brownsville,County Coroner,,1,REP,Robert E LEAVITT II,341
Union,0001 Brownsville,County Coroner,,1,DEM,No Candidate Filed,0
Union,0001 Brownsville,County Commissioner,2,1,REP,Tim M Williams,338
Union,0001 Brownsville,County Commissioner,2,1,DEM,No Candidate Filed,0
Union,0001 Brownsville,County Commissioner,3,1,REP,Dean VANWINKLE,278
Union,0001 Brownsville,County Commissioner,3,1,DEM,Barry M EDWARDS,107
Union,0001 Brownsville,County Council Member,At Large,3,,Bonnie ADAMS,186
Union,0001 Brownsville,County Council Member,At Large,3,,Marilyn K RAVALEE,129
Union,Coll Corner Joint School Harmony,County Council Member,At Large,3,,Chris ROSENBERGER,182
Union,0001 Brownsville,County Council Member,At Large,3,,James R HENSLEY JR,112
Union,0001 Brownsville,County Council Member,At Large,3,,Russel RUDE,133
Union,0001 Brownsville,Coll Corner Joint School Center,,1,,Douglas M GARNER,99
Union,0001 Brownsville,Coll Corner Joint School Center,,1,,Matthew Lakoff SNYDER,189
Union,0001 Brownsville,Coll Corner Joint School Harmony,,1,,Mallory R HELTON,163
Union,0001 Brownsville,Coll Corner Joint School Harmony,,1,,Kelvin J KLEIN,126
Union,0001 Brownsville,Coll Corner Joint School Harrison,,1,,Drew EWING,262
Union,0001 Brownsville,IN Supreme Court-Rush,,1,,Yes,219
