county,precinct,office,district,party,candidate,election_day,absentee,early_voting,votes
Lake,CAL 05,Ballots Cast,,,,195,21,153,369
Lake,CAL 05,Registered Voters,,,,,,,771
Lake,CAL 05,Public Question-Const Amendment,,,Yes,100,4,73,177
Lake,CAL 05,Public Question-Const Amendment,,,No,68,6,59,133
Lake,CAL 05,President and Vice-President of the U.S.,,DEM,Harris \ Walz,81,12,90,183
Lake,CAL 05,President and Vice-President of the U.S.,,REP,Trump \ Vance,101,6,60,167
Lake,CAL 05,President and Vice-President of the U.S.,,LIB,Oliver \ Ter Maat,2,0,1,3
Lake,CAL 05,President and Vice-President of the U.S.,,WTP,Kennedy Jr \ Shanahan,4,1,0,5
Lake,CAL 05,President and Vice-President of the U.S.,,,Write-In,2,1,1,4
Lake,CAL 05,United States Senator,,DEM,Valerie McCray,81,14,89,184
Lake,CAL 05,United States Senator,,REP,Jim Banks,88,7,57,152
Lake,CAL 05,United States Senator,,LIB,Andrew Horning,4,0,0,4
Lake,CAL 05,United States Senator,,,Write-In,0,0,0,0
Lake,CAL 05,Governor And Lieutenant Governor,,DEM,Mccormick \ Goodin,85,14,86,185
Lake,CAL 05,Governor And Lieutenant Governor,,REP,Braun \ Beckwith,91,6,56,153
Lake,CAL 05,Governor And Lieutenant Governor,,LIB,Rainwater \ Hudson,3,1,0,4
Lake,CAL 05,Governor And Lieutenant Governor,,,Write-In,0,0,0,0
Lake,CAL 05,Attorney General,,DEM,Destiny Wells,82,15,92,189
Lake,CAL 05,Attorney General,,REP,Todd Rokita,92,5,56,153
Lake,CAL 05,U.S. Representative,1,DEM,Frank J Mrvan,92,14,89,195
Lake,CAL 05,U.S. Representative,1,REP,Randy Niemeyer,93,7,58,158
Lake,CAL 05,U.S. Representative,1,LIB,Dakotah Miskus,3,0,0,3
Lake,CAL 05,U.S. Representative,1,,Write-In,0,0,0,0
Lake,CAL 05,State Representative,14,DEM,Vernon G Smith,93,14,91,198
Lake,CAL 05,State Representative,14,REP,Ivan Ursery II,89,7,56,152
Lake,CAL 05,County Coroner,,DEM,David J Pastrick,94,14,93,201
Lake,CAL 05,County Coroner,,REP,Andrew Delano,88,6,55,149
Lake,CAL 05,County Recorder,,DEM,Regina (Gina) Pimentel,106,15,95,216
Lake,CAL 05,County Surveyor,,DEM,Bill Emerson Jr,103,15,96,214
Lake,CAL 05,Lake Ridge School Corporation District 1,,,No Candidate Filed,0,0,0,0
Lake,CAL 05,Lake Ridge School Corporation District 2,,,David S Bacon,47,7,44,98
Lake,CAL 05,Lake Ridge School Corporation District 2,,,Samuel Roberts,54,6,34,94
Lake,CAL 05,Lake Ridge School Corporation District 3,,,Kenneth W Buckley,84,9,65,158
Lake,CAL 05,IN Supreme Court-Rush,,,Yes,87,12,67,166
Lake,CAL 05,IN Supreme Court-Rush,,,No,36,2,40,78
Lake,CAL 05,IN Supreme Court-Massa,,,Yes,79,10,67,156
Lake,CAL 05,IN Supreme Court-Massa,,,No,43,2,37,82
Lake,CAL 05,IN Supreme Court-Molter,,,Yes,78,9,65,152
Lake,CAL 05,IN Supreme Court-Molter,,,No,44,1,38,83
Lake,CAL 05,Court of Appeals Dist 4-Pyle III,,,Yes,85,10,66,161
Lake,CAL 05,Court of Appeals Dist 4-Pyle III,,,No,41,1,39,81
Lake,CAL 05,Lake Superior Court Criminal Div Room 1,,,Yes,97,12,76,185
Lake,CAL 05,Lake Superior Court Criminal Div Room 1,,,No,30,1,31,62
Lake,CAL 05,Lake Superior Court Criminal Div Room 2,,,Yes,89,10,70,169
Lake,CAL 05,Lake Superior Court Criminal Div Room 2,,,No,30,3,32,65
Lake,CAL 05,Lake Superior Court Civil Div Room 6,,,Yes,92,10,73,175
Lake,CAL 05,Lake Superior Court Civil Div Room 6,,,No,32,2,32,66
Lake,CAL 05,Straight Party,,DEM,Democratic Party,,,,124
Lake,CAL 05,Straight Party,,REP,Republican Party,,,,104
Lake,CAL 06,Ballots Cast,,,,300,23,147,470
Lake,CAL 06,Registered Voters,,,,,,,836
Lake,CAL 06,Public Question-Const Amendment,,,Yes,145,4,77,226
Lake,CAL 06,Public Question-Const Amendment,,,No,100,11,45,156
Lake,CAL 06,President and Vice-President of the U.S.,,DEM,Harris \ Walz,81,13,52,146
Lake,CAL 06,President and Vice-President of the U.S.,,REP,Trump \ Vance,210,10,93,313
Lake,CAL 06,President and Vice-President of the U.S.,,LIB,Oliver \ Ter Maat,2,0,0,2
Lake,CAL 06,President and Vice-President of the U.S.,,WTP,Kennedy Jr \ Shanahan,1,0,1,2
Lake,CAL 06,President and Vice-President of the U.S.,,,Write-In,3,0,0,3
Lake,CAL 06,United States Senator,,DEM,Valerie McCray,87,13,50,150
Lake,CAL 06,United States Senator,,REP,Jim Banks,191,8,85,284
Lake,CAL 06,United States Senator,,LIB,Andrew Horning,8,0,1,9
Lake,CAL 06,United States Senator,,,Write-In,0,0,0,0
Lake,CAL 06,Governor And Lieutenant Governor,,DEM,Mccormick \ Goodin,96,13,51,160
Lake,CAL 06,Governor And Lieutenant Governor,,REP,Braun \ Beckwith,178,8,86,272
Lake,CAL 06,Governor And Lieutenant Governor,,LIB,Rainwater \ Hudson,11,0,1,12
Lake,CAL 06,Governor And Lieutenant Governor,,,Write-In,0,0,0,0
Lake,CAL 06,Attorney General,,DEM,Destiny Wells,92,13,50,155
Lake,CAL 06,Attorney General,,REP,Todd Rokita,197,8,86,291
Lake,CAL 06,U.S. Representative,1,DEM,Frank J Mrvan,99,13,54,166
Lake,CAL 06,U.S. Representative,1,REP,Randy Niemeyer,190,7,86,283
Lake,CAL 06,U.S. Representative,1,LIB,Dakotah Miskus,4,1,0,5
Lake,CAL 06,U.S. Representative,1,,Write-In,0,0,0,0
Lake,CAL 06,State Representative,14,DEM,Vernon G Smith,97,14,52,163
Lake,CAL 06,State Representative,14,REP,Ivan Ursery II,195,7,85,287
Lake,CAL 06,County Coroner,,DEM,David J Pastrick,93,13,54,160
Lake,CAL 06,County Coroner,,REP,Andrew Delano,197,8,86,291
Lake,CAL 06,County Recorder,,DEM,Regina (Gina) Pimentel,134,14,60,208
Lake,CAL 06,County Surveyor,,DEM,Bill Emerson Jr,131,14,62,207
Lake,CAL 06,Lake Ridge School Corporation District 1,,,No Candidate Filed,0,0,0,0
Lake,CAL 06,Lake Ridge School Corporation District 2,,,David S Bacon,99,7,37,143
Lake,CAL 06,Lake Ridge School Corporation District 2,,,Samuel Roberts,57,3,24,84
Lake,CAL 06,Lake Ridge School Corporation District 3,,,Kenneth W Buckley,134,9,48,191
Lake,CAL 06,IN Supreme Court-Rush,,,Yes,128,7,61,196
Lake,CAL 06,IN Supreme Court-Rush,,,No,76,7,34,117
Lake,CAL 06,IN Supreme Court-Massa,,,Yes,135,8,61,204
Lake,CAL 06,IN Supreme Court-Massa,,,No,68,6,36,110
Lake,CAL 06,IN Supreme Court-Molter,,,Yes,130,7,59,196
Lake,CAL 06,IN Supreme Court-Molter,,,No,74,6,39,119
Lake,CAL 06,Court of Appeals Dist 4-Pyle III,,,Yes,132,9,62,203
Lake,CAL 06,Court of Appeals Dist 4-Pyle III,,,No,72,5,34,111
Lake,CAL 06,Lake Superior Court Criminal Div Room 1,,,Yes,138,8,63,209
Lake,CAL 06,Lake Superior Court Criminal Div Room 1,,,No,69,6,36,111
Lake,CAL 06,Lake Superior Court Criminal Div Room 2,,,Yes,143,9,61,213
Lake,CAL 06,Lake Superior Court Criminal Div Room 2,,,No,60,5,40,105
Lake,CAL 06,Lake Superior Court Civil Div Room 6,,,Yes,140,8,60,208
Lake,CAL 06,Lake Superior Court Civil Div Room 6,,,No,66,6,42,114
Lake,CAL 06,Straight Party,,DEM,Democratic Party,,,,97
Lake,CAL 06,Straight Party,,REP,Republican Party,,,,186
Lake,CAL 10,Ballots Cast,,,,417,30,193,640
Lake,CAL 10,Registered Voters,,,,,,,1348
Lake,CAL 10,Public Question-Const Amendment,,,Yes,231,5,94,330
Lake,CAL 10,Public Question-Const Amendment,,,No,143,15,69,227
Lake,CAL 10,President and Vice-President of the U.S.,,DEM,Harris \ Walz,189,20,106,315
Lake,CAL 10,President and Vice-President of the U.S.,,REP,Trump \ Vance,219,10,84,313
Lake,CAL 10,President and Vice-President of the U.S.,,LIB,Oliver \ Ter Maat,1,0,0,1
Lake,CAL 10,President and Vice-President of the U.S.,,WTP,Kennedy Jr \ Shanahan,4,0,2,6
Lake,CAL 10,President and Vice-President of the U.S.,,,Write-In,1,0,1,2
Lake,CAL 10,United States Senator,,DEM,Valerie McCray,189,20,99,308
Lake,CAL 10,United States Senator,,REP,Jim Banks,185,8,80,273
Lake,CAL 10,United States Senator,,LIB,Andrew Horning,11,1,2,14
Lake,CAL 10,United States Senator,,,Write-In,0,0,0,0
Lake,CAL 10,Governor And Lieutenant Governor,,DEM,Mccormick \ Goodin,191,20,103,314
Lake,CAL 10,Governor And Lieutenant Governor,,REP,Braun \ Beckwith,194,8,74,276
Lake,CAL 10,Governor And Lieutenant Governor,,LIB,Rainwater \ Hudson,6,1,5,12
Lake,CAL 10,Governor And Lieutenant Governor,,,Write-In,0,0,0,0
Lake,CAL 10,Attorney General,,DEM,Destiny Wells,199,20,103,322
Lake,CAL 10,Attorney General,,REP,Todd Rokita,195,10,82,287
Lake,CAL 10,U.S. Representative,1,DEM,Frank J Mrvan,203,19,101,323
Lake,CAL 10,U.S. Representative,1,REP,Randy Niemeyer,185,10,82,277
Lake,CAL 10,U.S. Representative,1,LIB,Dakotah Miskus,10,0,2,12
Lake,CAL 10,U.S. Representative,1,,Write-In,0,0,0,0
Lake,CAL 10,State Representative,14,DEM,Vernon G Smith,196,20,105,321
Lake,CAL 10,State Representative,14,REP,Ivan Ursery II,197,9,79,285
