county,precinct,office,district,seats,party,candidate,votes,early_voting,election_day,absentee
Owen,01 CLAY 1,Registered Voters,,,,,1001,,,
Owen,01 CLAY 1,Ballots Cast,,,,,760,,,
Owen,01 CLAY 1,Public Question-Const Amendment,,1,,Yes,362,156,194,12
Owen,01 CLAY 1,Public Question-Const Amendment,,1,,No,292,145,134,13
Owen,01 CLAY 1,President,,1,REP,Donald J. TRUMP / JD VANCE,551,245,291,15
Owen,01 CLAY 1,President,,1,DEM,Kamala D. HARRIS / Tim WALZ,193,99,77,17
Owen,01 CLAY 1,President,,1,LBT,Chase OLIVER / Mike terr MAAT,2,0,1,1
Owen,01 CLAY 1,President,,1,WTP,Robert F. KENNEDY JR. / Nichole SHANAHAN,5,0,5,0
Owen,01 CLAY 1,President,,1,,Write-In,2,1,1,0
Owen,01 CLAY 1,U.S. Senate,,1,REP,Jim BANKS,502,233,253,16
Owen,01 CLAY 1,U.S. Senate,,1,DEM,Valerie McCRAY,180,92,71,17
Owen,01 CLAY 1,U.S. Senate,,1,LBT,Andrew HORNING,24,5,19,0
Owen,01 CLAY 1,U.S. Senate,,1,,Write-In,0,0,0,0
Owen,01 CLAY 1,Governor,,1,REP,Mike BRAUN / Micah BECKWITH,464,215,232,17
Owen,01 CLAY 1,Governor,,1,DEM,Jennifer G. McCORMICK / Terry GOODIN,196,94,86,16
Owen,01 CLAY 1,Governor,,1,LBT,Donald RAINWATER / Tonya HUDSON,50,21,29,0
Owen,01 CLAY 1,Governor,,1,,Write-In,0,0,0,0
Owen,01 CLAY 1,Attorney General,,1,REP,Todd ROKITA,528,237,276,15
Owen,01 CLAY 1,Attorney General,,1,DEM,Destiny WELLS,195,97,81,17
Owen,01 CLAY 1,U.S. House,8,1,REP,Mark MESSMER,503,231,257,15
Owen,01 CLAY 1,U.S. House,8,1,DEM,Erik HURT,176,90,69,17
Owen,01 CLAY 1,U.S. House,8,1,LBT,K Richard FITZLAFF,31,8,23,0
Owen,01 CLAY 1,U.S. House,8,1,,Write-In,0,0,0,0
Owen,01 CLAY 1,State House,4,1,REP,Bob HEATON,527,237,273,17
Owen,01 CLAY 1,State House,4,1,DEM,Kurtis J CUMMINGS,184,94,74,16
Owen,01 CLAY 1,Judge Of 78th Circuit Court,,1,REP,Donald R. VanDerMOERE II,583,266,300,17
Owen,01 CLAY 1,Judge Of 78th Circuit Court,,1,DEM,No Candidate Filed,0,0,0,0
Owen,01 CLAY 1,County Auditor,,1,REP,Sheila K. REEVES,578,262,297,19
Owen,01 CLAY 1,County Auditor,,1,DEM,No Candidate Filed,0,0,0,0
Owen,01 CLAY 1,County Commissioner,2,1,REP,Sam HOBBS,594,264,311,19
Owen,01 CLAY 1,County Commissioner,2,1,DEM,No Candidate Filed,0,0,0,0
Owen,01 CLAY 1,County Commissioner,3,1,REP,David RISK,514,233,267,14
Owen,01 CLAY 1,County Commissioner,3,1,DEM,William L. JENNINGS,199,98,84,17
Owen,01 CLAY 1,County Council,,3,REP,Daniel BROWNING,372,169,191,12
Owen,01 CLAY 1,County Council,,3,REP,Polly CHESSER,374,188,170,16
Owen,01 CLAY 1,County Council,,3,REP,Joe FRYE,361,175,173,13
Owen,01 CLAY 1,County Council,,3,DEM,Sandra (Wood) CALVERT,188,91,84,13
Owen,01 CLAY 1,County Council,,3,LBT,Dustin COMBS,119,58,56,5
Owen,01 CLAY 1,County Council,,3,LBT,Chad VanRYN,118,54,60,4
Owen,01 CLAY 1,Spencer Owen County SB,1,1,,Chad COOPER,487,217,259,11
Owen,01 CLAY 1,Spencer Owen County SB,4,1,,Rick SMELTZER,475,213,251,11
Owen,01 CLAY 1,Spencer Owen County SB,5,2,,Derek MORGAN,409,180,221,8
Owen,01 CLAY 1,Spencer Owen County SB,5,2,,Deana L. STICKELS,335,152,175,8
Owen,01 CLAY 1,IN Supreme Court-Rush,,1,,Yes,406,183,210,13
Owen,01 CLAY 1,IN Supreme Court-Rush,,1,,No,170,78,82,10
Owen,01 CLAY 1,IN Supreme Court-Massa,,1,,Yes,389,167,212,10
Owen,01 CLAY 1,IN Supreme Court-Massa,,1,,No,169,82,74,13
Owen,01 CLAY 1,IN Supreme Court-Molter,,1,,Yes,411,181,218,12
Owen,01 CLAY 1,IN Supreme Court-Molter,,1,,No,155,73,72,10
Owen,01 CLAY 1,Court of Appeals Dist 1-Foley,,1,,Yes,410,182,217,11
Owen,01 CLAY 1,Court of Appeals Dist 1-Foley,,1,,No,155,71,73,11
Owen,01 CLAY 1,Court of Appeals Dist 4-Pyle III,,1,,Yes,409,178,220,11
Owen,01 CLAY 1,Court of Appeals Dist 4-Pyle III,,1,,No,151,74,67,10
Owen,01 CLAY 1,Straight Party,,,DEM,,48,,,
Owen,01 CLAY 1,Straight Party,,,REP,,231,,,
Owen,02 CLAY 2,Registered Voters,,,,,997,,,
Owen,02 CLAY 2,Ballots Cast,,,,,599,,,
Owen,02 CLAY 2,Public Question-Const Amendment,,1,,Yes,281,171,105,5
Owen,02 CLAY 2,Public Question-Const Amendment,,1,,No,239,137,91,11
Owen,02 CLAY 2,President,,1,REP,Donald J. TRUMP / JD VANCE,428,234,178,16
Owen,02 CLAY 2,President,,1,DEM,Kamala D. HARRIS / Tim WALZ,157,111,35,11
Owen,02 CLAY 2,President,,1,LBT,Chase OLIVER / Mike terr MAAT,4,3,1,0
Owen,02 CLAY 2,President,,1,WTP,Robert F. KENNEDY JR. / Nichole SHANAHAN,7,3,4,0
Owen,02 CLAY 2,President,,1,,Write-In,0,0,0,0
Owen,02 CLAY 2,U.S. Senate,,1,REP,Jim BANKS,394,225,155,14
Owen,02 CLAY 2,U.S. Senate,,1,DEM,Valerie McCRAY,144,98,35,11
Owen,02 CLAY 2,U.S. Senate,,1,LBT,Andrew HORNING,26,17,7,2
Owen,02 CLAY 2,U.S. Senate,,1,,Write-In,0,0,0,0
Owen,02 CLAY 2,Governor,,1,REP,Mike BRAUN / Micah BECKWITH,359,203,145,11
