county,office,district,candidate,party,votes
Adams,President,,John F Kerry,Democratic,3512
Adams,President,,Michael Badnarik,Libertarian,91
Adams,President,,George Walker Bush,Republican,9734
Adams,President,,John Joseph Kennedy,Democratic,0
Adams,President,,David Cobb,Green,0
Adams,President,,Lawson Mitchell Bone,Independent,0
Adams,President,,Ralph Nader,Independent,3
Adams,President,,Walt Brown,Socialist,0
Adams,U.S. Senator,,Evan Bayh,Democratic,7551
Adams,U.S. Senator,,Albert Barger,Libertarian,126
Adams,U.S. Senator,,Marvin Scott,Republican,5476
Adams,Governor,,Joseph E Kernan,Democratic,4816
Adams,Governor,,Kenn Gividen,Libertarian,99
Adams,Governor,,"Mitchell E Daniels, Jr.",Republican,8350
Adams,Governor,,Velko Kapetanov,Independent,0
Adams,Attorney General,,Joseph H Hogsett,Democratic,4110
Adams,Attorney General,,Aaron T Milewski,Libertarian,138
Adams,Attorney General,,Steve Carter,Republican,8819
Adams,Superintendent Of Public Instruction,,Susan Williams,Democratic,4255
Adams,Superintendent Of Public Instruction,,Joe Hauptmann,Libertarian,351
Adams,Superintendent Of Public Instruction,,Suellen Reed,Republican,8124
Adams,U.S. House,3,Maria M Parra,Democratic,0
Adams,U.S. House,3,Mark E Souder,Republican,0
Adams,State House,79,Michael A Ripley,Republican,11326
Adams,County Auditor,Adams County,William Bill Borne,Republican,10753
Adams,County Recorder,Adams County,Rebecca S Cochran,Democratic,6255
Adams,County Recorder,Adams County,Constance Connie J Moser,Republican,6768
Adams,County Treasurer,Adams County,James E Hammond,Democratic,5063
Adams,County Treasurer,Adams County,Rex M Moore,Republican,7834
Adams,County Coroner,Adams County,Leslie Cook,Republican,10989
Allen,President,,John F Kerry,Democratic,46710
Allen,President,,Michael Badnarik,Libertarian,728
Allen,President,,George Walker Bush,Republican,82013
Allen,President,,John Joseph Kennedy,Democratic,0
Allen,President,,David Cobb,Green,8
Allen,President,,Lawson Mitchell Bone,Independent,0
Allen,President,,Ralph Nader,Independent,146
Allen,President,,Walt Brown,Socialist,4
Allen,U.S. Senator,,Evan Bayh,Democratic,74011
Allen,U.S. Senator,,Albert Barger,Libertarian,1126
Allen,U.S. Senator,,Marvin Scott,Republican,52845
Allen,Governor,,Joseph E Kernan,Democratic,53899
Allen,Governor,,Kenn Gividen,Libertarian,1183
Allen,Governor,,"Mitchell E Daniels, Jr.",Republican,73689
Allen,Governor,,Velko Kapetanov,Independent,0
Allen,Attorney General,,Joseph H Hogsett,Democratic,43216
Allen,Attorney General,,Aaron T Milewski,Libertarian,1984
Allen,Attorney General,,Steve Carter,Republican,80673
Allen,Superintendent Of Public Instruction,,Susan Williams,Democratic,41989
Allen,Superintendent Of Public Instruction,,Joe Hauptmann,Libertarian,2998
Allen,Superintendent Of Public Instruction,,Suellen Reed,Republican,77425
Allen,U.S. House,3,Maria M Parra,Democratic,44116
Allen,U.S. House,3,Mark E Souder,Republican,76372
Allen,State Senator,16,David C Long,Republican,34113
Allen,State House,50,Joseph O Wilson,Democratic,0
Allen,State House,50,Daniel J Dan Leonard,Republican,0
Allen,State House,52,John T Delucenay,Democratic,0
Allen,State House,52,Marlin A Stutzman,Republican,0
Allen,State House,79,Michael A Ripley,Republican,7224
Allen,State House,80,Benjamin E Giaquinta,Democratic,9767
Allen,State House,80,Kevin Howell,Republican,5397
Allen,State House,81,"Win Moses, Jr.",Democratic,11893
Allen,State House,82,Jeffrey Keller Espich,Republican,13405
Allen,State House,83,Robert K Alderman,Republican,11762
Allen,State House,84,Randy L Borror,Republican,19698
Allen,State House,85,Phyllis J Pond,Republican,21451
Allen,Judge Of The Superior Court,Allen Civil No. 1,David J Avery,Non-Partisan,62709
Allen,Judge Of The Superior Court,Allen Civil No. 9,Nancy Eshcoff Boyer,Non-Partisan,62837
Allen,Judge Of The Superior Court,Allen Criminal No. 4,Charles F Pratt,Non-Partisan,63821
Allen,Judge Of The Superior Court,Allen Criminal Gull,Kenneth R Scheibenberger,Non-Partisan,64428
Allen,County Treasurer,Allen County,Robert W Lee,Republican,92611
Allen,County Coroner,Allen County,E Jon Brandenberger,Republican,94176
Allen,County Surveyor,Allen County,Allan D Frisinger,Republican,90500
Bartholomew,President,,John F Kerry,Democratic,9191
Bartholomew,President,,Michael Badnarik,Libertarian,207
Bartholomew,President,,George Walker Bush,Republican,19093
Bartholomew,President,,John Joseph Kennedy,Democratic,0
Bartholomew,President,,David Cobb,Green,1
Bartholomew,President,,Lawson Mitchell Bone,Independent,0
Bartholomew,President,,Ralph Nader,Independent,22
Bartholomew,President,,Walt Brown,Socialist,1
Bartholomew,U.S. Senator,,Evan Bayh,Democratic,16507
Bartholomew,U.S. Senator,,Albert Barger,Libertarian,316
Bartholomew,U.S. Senator,,Marvin Scott,Republican,11422
Bartholomew,Governor,,Joseph E Kernan,Democratic,11008
Bartholomew,Governor,,Kenn Gividen,Libertarian,519
Bartholomew,Governor,,"Mitchell E Daniels, Jr.",Republican,16858
Bartholomew,Governor,,Velko Kapetanov,Independent,1
Bartholomew,Attorney General,,Joseph H Hogsett,Democratic,9346
Bartholomew,Attorney General,,Aaron T Milewski,Libertarian,470
Bartholomew,Attorney General,,Steve Carter,Republican,17977
Bartholomew,Superintendent Of Public Instruction,,Susan Williams,Democratic,8777
Bartholomew,Superintendent Of Public Instruction,,Joe Hauptmann,Libertarian,745
Bartholomew,Superintendent Of Public Instruction,,Suellen Reed,Republican,17806
Bartholomew,U.S. House,6,Melina Ann Fox,Democratic,3773
Bartholomew,U.S. House,6,Chad Wick Roots,Libertarian,193
Bartholomew,U.S. House,6,Mike Pence,Republican,12226
Bartholomew,State Senator,44,Brent E Steele,Republican,0
Bartholomew,State House,57,Allen Lucas Messer,Republican,5739
Bartholomew,State House,59,David Yount,Republican,11170
Bartholomew,State House,69,Markt Lance Lytle,Democratic,0
Bartholomew,State House,69,Billy Bright,Republican,0
Bartholomew,Judge Of The Circuit Court,Bartholomew 9Th Circuit,Stephen R Heimann,Democratic,15690
Bartholomew,Judge Of The Circuit Court,Bartholomew 9Th Circuit,David Allan Nowak,Republican,12039
Bartholomew,County Coroner,Bartholomew County,Larry S Fisher,Republican,21674
Bartholomew,County Surveyor,Bartholomew County,Er Iii Gray,Republican,18729
Benton,President,,John F Kerry,Democratic,1135
Benton,President,,Michael Badnarik,Libertarian,54
Benton,President,,George Walker Bush,Republican,2797
Benton,President,,John Joseph Kennedy,Democratic,0
Benton,President,,David Cobb,Green,0
Benton,President,,Lawson Mitchell Bone,Independent,0
Benton,President,,Ralph Nader,Independent,6
Benton,President,,Walt Brown,Socialist,0
Benton,U.S. Senator,,Evan Bayh,Democratic,2501
Benton,U.S. Senator,,Albert Barger,Libertarian,69
Benton,U.S. Senator,,Marvin Scott,Republican,1400
Benton,Governor,,Joseph E Kernan,Democratic,1498
Benton,Governor,,Kenn Gividen,Libertarian,69
Benton,Governor,,"Mitchell E Daniels, Jr.",Republican,2432
Benton,Governor,,Velko Kapetanov,Independent,0
Benton,Attorney General,,Joseph H Hogsett,Democratic,1131
Benton,Attorney General,,Aaron T Milewski,Libertarian,85
Benton,Attorney General,,Steve Carter,Republican,2700
Benton,Superintendent Of Public Instruction,,Susan Williams,Democratic,1216
Benton,Superintendent Of Public Instruction,,Joe Hauptmann,Libertarian,150
Benton,Superintendent Of Public Instruction,,Suellen Reed,Republican,2490
Benton,U.S. House,4,David Avram Sanders,Democratic,0
Benton,U.S. House,4,Kevin R Fleming,Libertarian,0
Benton,U.S. House,4,Steve Buyer,Republican,0
Benton,State House,13,Chester F Dobis,Democratic,0
Benton,State House,13,Joseph M Hero,Republican,0
Benton,County Auditor,Benton County,Joan Schluttenhofer,Republican,3276
Benton,County Recorder,Benton County,Tish Ringle,Democratic,2311
Benton,County Recorder,Benton County,Nancy Hall,Republican,1604
Benton,County Treasurer,Benton County,Patricia A Clouse,Republican,3243
Benton,County Coroner,Benton County,John K Cox,Republican,2155
Benton,County Coroner,Benton County,Mark A Shoemaker,Independent,1650
Blackford,President,,John F Kerry,Democratic,1903
Blackford,President,,Michael Badnarik,Libertarian,30
Blackford,President,,George Walker Bush,Republican,3447
Blackford,President,,John Joseph Kennedy,Democratic,0
Blackford,President,,David Cobb,Green,0
Blackford,President,,Lawson Mitchell Bone,Independent,0
Blackford,President,,Ralph Nader,Independent,0
Blackford,President,,Walt Brown,Socialist,0
Blackford,U.S. Senator,,Evan Bayh,Democratic,3694
Blackford,U.S. Senator,,Albert Barger,Libertarian,42
Blackford,U.S. Senator,,Marvin Scott,Republican,1609
Blackford,Governor,,Joseph E Kernan,Democratic,2567
Blackford,Governor,,Kenn Gividen,Libertarian,46
Blackford,Governor,,"Mitchell E Daniels, Jr.",Republican,2741
Blackford,Governor,,Velko Kapetanov,Independent,0
Blackford,Attorney General,,Joseph H Hogsett,Democratic,2094
Blackford,Attorney General,,Aaron T Milewski,Libertarian,77
Blackford,Attorney General,,Steve Carter,Republican,3059
Blackford,Superintendent Of Public Instruction,,Susan Williams,Democratic,2110
Blackford,Superintendent Of Public Instruction,,Joe Hauptmann,Libertarian,129
Blackford,Superintendent Of Public Instruction,,Suellen Reed,Republican,2867
Blackford,U.S. House,3,Maria M Parra,Democratic,0
Blackford,U.S. House,3,Mark E Souder,Republican,0
Blackford,U.S. House,5,Katherine Fox Carr,Democratic,0
Blackford,U.S. House,5,Rick Hodgin,Libertarian,0
Blackford,U.S. House,5,Dan Burton,Republican,0
Blackford,State House,31,Larry R Hile,Democratic,3236
Blackford,State House,31,Timothy W Harris,Republican,2099
Blackford,State House,33,Ron Liggett,Democratic,0
Blackford,State House,33,Bill J Davis,Republican,0
Blackford,Judge Of The Superior Court,Blackford County,John W Forcum,Democratic,3931
Blackford,Clerk Of The Circuit Court,Blackford County,Rik Rhodes,Democratic,2000
Blackford,Clerk Of The Circuit Court,Blackford County,Laura Pierce Coons,Republican,3280
Blackford,County Recorder,Blackford County,Derinda E Shady,Democratic,2883
Blackford,County Recorder,Blackford County,Rollin G Brown,Republican,2435
Blackford,County Treasurer,Blackford County,Holly Dunica,Democratic,2249
Blackford,County Treasurer,Blackford County,Lisa Simmons,Republican,2983
Boone,President,,John F Kerry,Democratic,5636
Boone,President,,Michael Badnarik,Libertarian,192
Boone,President,,George Walker Bush,Republican,17055
Boone,President,,John Joseph Kennedy,Democratic,0
Boone,President,,David Cobb,Green,1
Boone,President,,Lawson Mitchell Bone,Independent,0
Boone,President,,Ralph Nader,Independent,13
Boone,President,,Walt Brown,Socialist,1
Boone,U.S. Senator,,Evan Bayh,Democratic,11074
Boone,U.S. Senator,,Albert Barger,Libertarian,255
Boone,U.S. Senator,,Marvin Scott,Republican,11343
Boone,Governor,,Joseph E Kernan,Democratic,6326
Boone,Governor,,Kenn Gividen,Libertarian,305
Boone,Governor,,"Mitchell E Daniels, Jr.",Republican,16189
Boone,Governor,,Velko Kapetanov,Independent,0
Boone,Attorney General,,Joseph H Hogsett,Democratic,5126
Boone,Attorney General,,Aaron T Milewski,Libertarian,407
Boone,Attorney General,,Steve Carter,Republican,16824
Boone,Superintendent Of Public Instruction,,Susan Williams,Democratic,5172
Boone,Superintendent Of Public Instruction,,Joe Hauptmann,Libertarian,1089
Boone,Superintendent Of Public Instruction,,Suellen Reed,Republican,15635
Boone,U.S. House,4,David Avram Sanders,Democratic,4857
Boone,U.S. House,4,Kevin R Fleming,Libertarian,477
Boone,U.S. House,4,Steve Buyer,Republican,16727
Boone,U.S. House,5,Katherine Fox Carr,Democratic,0
Boone,U.S. House,5,Rick Hodgin,Libertarian,0
Boone,U.S. House,5,Dan Burton,Republican,0
Boone,State Senator,7,Brandt Hershman,Republican,0
Boone,State House,24,Gordon Southern,Democratic,0
Boone,State House,24,Richard W Rich Mcclain,Republican,0
Boone,State House,28,Jeffrey A Thompson,Republican,10156
Boone,State House,41,Raymond M Kirtley,Democratic,0
Boone,State House,41,Tim Brown,Republican,0
Boone,County Auditor,Boone County,Gretchen Smith,Republican,17730
Boone,County Recorder,Boone County,Mary Alice Sam Baldwin,Republican,17217
Boone,County Treasurer,Boone County,Deanna Willhoite,Republican,17401
Boone,County Coroner,Boone County,Richard Dowden,Republican,17284
Brown,President,,John F Kerry,Democratic,2730
Brown,President,,Michael Badnarik,Libertarian,84
Brown,President,,George Walker Bush,Republican,4512
Brown,President,,John Joseph Kennedy,Democratic,0
Brown,President,,David Cobb,Green,0
Brown,President,,Lawson Mitchell Bone,Independent,0
Brown,President,,Ralph Nader,Independent,4
Brown,President,,Walt Brown,Socialist,0
Brown,U.S. Senator,,Evan Bayh,Democratic,4336
Brown,U.S. Senator,,Albert Barger,Libertarian,125
Brown,U.S. Senator,,Marvin Scott,Republican,2803
Brown,Governor,,Joseph E Kernan,Democratic,3118
Brown,Governor,,Kenn Gividen,Libertarian,164
Brown,Governor,,"Mitchell E Daniels, Jr.",Republican,4010
Brown,Governor,,Velko Kapetanov,Independent,0
Brown,Attorney General,,Joseph H Hogsett,Democratic,2553
Brown,Attorney General,,Aaron T Milewski,Libertarian,219
Brown,Attorney General,,Steve Carter,Republican,4375
Brown,Superintendent Of Public Instruction,,Susan Williams,Democratic,2617
Brown,Superintendent Of Public Instruction,,Joe Hauptmann,Libertarian,317
Brown,Superintendent Of Public Instruction,,Suellen Reed,Republican,4074
Brown,U.S. House,9,Baron Hill,Democratic,3081
Brown,U.S. House,9,Al Cox,Libertarian,217
Brown,U.S. House,9,Mike Sodrel,Republican,3960
Brown,State Senator,44,Brent E Steele,Republican,0
Brown,State House,65,Kent B Van Cleave,Libertarian,804
Brown,State House,65,Eric Allan Koch,Republican,4627
Carroll,President,,John F Kerry,Democratic,2689
Carroll,President,,Michael Badnarik,Libertarian,78
Carroll,President,,George Walker Bush,Republican,5868
Carroll,President,,John Joseph Kennedy,Democratic,1
Carroll,President,,David Cobb,Green,0
Carroll,President,,Lawson Mitchell Bone,Independent,0
Carroll,President,,Ralph Nader,Independent,2
Carroll,President,,Walt Brown,Socialist,0
Carroll,U.S. Senator,,Evan Bayh,Democratic,5067
Carroll,U.S. Senator,,Albert Barger,Libertarian,85
Carroll,U.S. Senator,,Marvin Scott,Republican,3331
Carroll,Governor,,Joseph E Kernan,Democratic,3387
Carroll,Governor,,Kenn Gividen,Libertarian,115
Carroll,Governor,,"Mitchell E Daniels, Jr.",Republican,5090
Carroll,Governor,,Velko Kapetanov,Independent,0
Carroll,Attorney General,,Joseph H Hogsett,Democratic,2567
Carroll,Attorney General,,Aaron T Milewski,Libertarian,134
Carroll,Attorney General,,Steve Carter,Republican,5804
Carroll,Superintendent Of Public Instruction,,Susan Williams,Democratic,2845
Carroll,Superintendent Of Public Instruction,,Joe Hauptmann,Libertarian,272
Carroll,Superintendent Of Public Instruction,,Suellen Reed,Republican,5257
Carroll,U.S. House,4,David Avram Sanders,Democratic,0
Carroll,U.S. House,4,Kevin R Fleming,Libertarian,0
Carroll,U.S. House,4,Steve Buyer,Republican,0
Carroll,State Senator,7,Brandt Hershman,Republican,6808
Carroll,State Senator,18,Thomas K Weatherwax,Republican,0
Carroll,State House,25,Jeb Bardon,Democratic,0
Carroll,State House,25,Dennis K Foreman,Republican,0
Carroll,State House,38,James R Buck,Republican,0
Carroll,Clerk Of The Circuit Court,Carroll County,Laura Sterrett,Republican,6922
Carroll,County Recorder,Carroll County,Irma Cook,Democratic,3175
Carroll,County Recorder,Carroll County,Barbara Ann Chapman,Republican,5270
Carroll,County Coroner,Carroll County,Jerry L Reinke,Republican,7032
Carroll,County Surveyor,Carroll County,Teddy A Huffer,Democratic,2906
Carroll,County Surveyor,Carroll County,Wayne E Chapman,Republican,5524
Cass,President,,John F Kerry,Democratic,4315
Cass,President,,Michael Badnarik,Libertarian,127
Cass,President,,George Walker Bush,Republican,9480
Cass,President,,John Joseph Kennedy,Democratic,0
Cass,President,,David Cobb,Green,0
Cass,President,,Lawson Mitchell Bone,Independent,0
Cass,President,,Ralph Nader,Independent,9
Cass,President,,Walt Brown,Socialist,0
Cass,U.S. Senator,,Evan Bayh,Democratic,7873
Cass,U.S. Senator,,Albert Barger,Libertarian,159
Cass,U.S. Senator,,Marvin Scott,Republican,5829
Cass,Governor,,Joseph E Kernan,Democratic,5808
Cass,Governor,,Kenn Gividen,Libertarian,221
Cass,Governor,,"Mitchell E Daniels, Jr.",Republican,7946
Cass,Governor,,Velko Kapetanov,Independent,0
Cass,Attorney General,,Joseph H Hogsett,Democratic,4575
Cass,Attorney General,,Aaron T Milewski,Libertarian,229
Cass,Attorney General,,Steve Carter,Republican,8967
Cass,Superintendent Of Public Instruction,,Susan Williams,Democratic,4876
Cass,Superintendent Of Public Instruction,,Joe Hauptmann,Libertarian,381
Cass,Superintendent Of Public Instruction,,Suellen Reed,Republican,8418
Cass,U.S. House,4,David Avram Sanders,Democratic,0
Cass,U.S. House,4,Kevin R Fleming,Libertarian,0
Cass,U.S. House,4,Steve Buyer,Republican,0
Cass,State Senator,18,Thomas K Weatherwax,Republican,11111
Cass,State House,23,William C Friend,Republican,0
Cass,State House,25,Jeb Bardon,Democratic,0
Cass,State House,25,Dennis K Foreman,Republican,0
Cass,State House,38,James R Buck,Republican,0
Cass,Judge Of The Superior Court,"Cass County, Court 1",Thomas C Perrone,Democratic,9929
Cass,Clerk Of The Circuit Court,Cass County,Sharon Strasser,Democratic,5601
Cass,Clerk Of The Circuit Court,Cass County,Linda Crimmins,Republican,8157
Cass,County Auditor,Cass County,James Musselman,Democratic,4818
Cass,County Auditor,Cass County,Dawn R Conner,Republican,8911
Cass,County Treasurer,Cass County,Carol Edwards,Democratic,5463
Cass,County Treasurer,Cass County,Sheila K Thompson,Republican,8262
Cass,County Coroner,Cass County,Lee Ann Bates,Democratic,4610
Cass,County Coroner,Cass County,Gene Pawlen,Republican,9171
Cass,County Surveyor,Cass County,Nan Ford,Democratic,4174
Cass,County Surveyor,Cass County,Jenny Lombardi,Republican,9363
Clar,President,,John F Kerry,Democratic,17648
Clar,President,,Michael Badnarik,Libertarian,194
Clar,President,,George Walker Bush,Republican,24495
Clar,President,,John Joseph Kennedy,Democratic,0
Clar,President,,David Cobb,Green,0
Clar,President,,Lawson Mitchell Bone,Independent,0
Clar,President,,Ralph Nader,Independent,0
Clar,President,,Walt Brown,Socialist,0
Clar,U.S. Senator,,Evan Bayh,Democratic,26054
Clar,U.S. Senator,,Albert Barger,Libertarian,368
Clar,U.S. Senator,,Marvin Scott,Republican,15091
Clar,Governor,,Joseph E Kernan,Democratic,20964
Clar,Governor,,Kenn Gividen,Libertarian,360
Clar,Governor,,"Mitchell E Daniels, Jr.",Republican,20471
Clar,Governor,,Velko Kapetanov,Independent,0
Clar,Attorney General,,Joseph H Hogsett,Democratic,18773
Clar,Attorney General,,Aaron T Milewski,Libertarian,724
Clar,Attorney General,,Steve Carter,Republican,20451
Clar,Superintendent Of Public Instruction,,Susan Williams,Democratic,18966
Clar,Superintendent Of Public Instruction,,Joe Hauptmann,Libertarian,915
Clar,Superintendent Of Public Instruction,,Suellen Reed,Republican,19696
Clar,U.S. House,9,Baron Hill,Democratic,21109
Clar,U.S. House,9,Al Cox,Libertarian,402
Clar,U.S. House,9,Mike Sodrel,Republican,20494
Clar,State House,66,Terry Goodin,Democratic,3522
Clar,State House,66,Jack R Gillespie,Republican,2547
Clar,State House,70,Paul J Robertson,Democratic,3764
Clar,State House,70,Brian C Thomas,Republican,4114
Clar,State House,71,James L Bottorff,Democratic,17949
Clar,State House,73,Dennie Oxley,Democratic,809
Clar,Judge Of The Circuit Court,"Clark 4Th Circt, No. 1",Daniel F Donahue,Democratic,28102
Clar,County Coroner,Clark County,Edwin M Coots,Democratic,23731
Clar,County Coroner,Clark County,Richard Rd D Pyke,Republican,16618
Clay,President,,John F Kerry,Democratic,3333
Clay,President,,Michael Badnarik,Libertarian,80
Clay,President,,George Walker Bush,Republican,7361
Clay,President,,John Joseph Kennedy,Democratic,0
Clay,President,,David Cobb,Green,0
Clay,President,,Lawson Mitchell Bone,Independent,0
Clay,President,,Ralph Nader,Independent,9
Clay,President,,Walt Brown,Socialist,0
Clay,U.S. Senator,,Evan Bayh,Democratic,6928
Clay,U.S. Senator,,Albert Barger,Libertarian,112
Clay,U.S. Senator,,Marvin Scott,Republican,3629
Clay,Governor,,Joseph E Kernan,Democratic,4677
Clay,Governor,,Kenn Gividen,Libertarian,148
Clay,Governor,,"Mitchell E Daniels, Jr.",Republican,5724
Clay,Governor,,Velko Kapetanov,Independent,0
Clay,Attorney General,,Joseph H Hogsett,Democratic,3689
Clay,Attorney General,,Aaron T Milewski,Libertarian,157
Clay,Attorney General,,Steve Carter,Republican,6529
Clay,Superintendent Of Public Instruction,,Susan Williams,Democratic,3769
Clay,Superintendent Of Public Instruction,,Joe Hauptmann,Libertarian,250
Clay,Superintendent Of Public Instruction,,Suellen Reed,Republican,6187
Clay,U.S. House,8,Jon P Jennings,Democratic,4104
Clay,U.S. House,8,Mark Garvin,Libertarian,248
Clay,U.S. House,8,John N Hostettler,Republican,6151
Clay,State House,42,Floyd Dale Grubb,Democratic,0
Clay,State House,42,Patti Smith,Republican,0
Clay,State House,44,Eric Andrew Wolfe,Democratic,2111
Clay,State House,44,Andrew P Thomas,Republican,4602
Clay,State House,46,Vern Tincher,Democratic,1228
Clay,State House,46,R Brooks Laplante,Republican,1710
Clay,Judge Of The Circuit Court,Clay 13Th Circuit,Ernest Eugene Yelton,Republican,8724
Clay,Clerk Of The Circuit Court,Clay County,Mary C Brown,Republican,8554
Clay,County Recorder,Clay County,William Bill Purcell,Democratic,4228
Clay,County Recorder,Clay County,Angela J Modesitt,Republican,5987
Clay,County Coroner,Clay County,Jerald Jerry Calandrilla,Democratic,3244
Clay,County Coroner,Clay County,"Richard A Swearingen, Jr.",Republican,7031
Clay,County Surveyor,Clay County,Aron L Royer,Democratic,4604
Clay,County Surveyor,Clay County,John R Keller,Republican,5726
Clinton,President,,John F Kerry,Democratic,3335
Clinton,President,,Michael Badnarik,Libertarian,71
Clinton,President,,George Walker Bush,Republican,8471
Clinton,President,,John Joseph Kennedy,Democratic,0
Clinton,President,,David Cobb,Green,0
Clinton,President,,Lawson Mitchell Bone,Independent,0
Clinton,President,,Ralph Nader,Independent,0
Clinton,President,,Walt Brown,Socialist,0
Clinton,U.S. Senator,,Evan Bayh,Democratic,6600
Clinton,U.S. Senator,,Albert Barger,Libertarian,108
Clinton,U.S. Senator,,Marvin Scott,Republican,5011
Clinton,Governor,,Joseph E Kernan,Democratic,4129
Clinton,Governor,,Kenn Gividen,Libertarian,148
Clinton,Governor,,"Mitchell E Daniels, Jr.",Republican,7537
Clinton,Governor,,Velko Kapetanov,Independent,0
Clinton,Attorney General,,Joseph H Hogsett,Democratic,3288
Clinton,Attorney General,,Aaron T Milewski,Libertarian,152
Clinton,Attorney General,,Steve Carter,Republican,8173
Clinton,Superintendent Of Public Instruction,,Susan Williams,Democratic,3518
Clinton,Superintendent Of Public Instruction,,Joe Hauptmann,Libertarian,352
Clinton,Superintendent Of Public Instruction,,Suellen Reed,Republican,7455
Clinton,U.S. House,4,David Avram Sanders,Democratic,3139
Clinton,U.S. House,4,Kevin R Fleming,Libertarian,201
Clinton,U.S. House,4,Steve Buyer,Republican,8208
Clinton,State Senator,7,Brandt Hershman,Republican,2702
Clinton,State House,25,Jeb Bardon,Democratic,0
Clinton,State House,25,Dennis K Foreman,Republican,0
Clinton,State House,38,James R Buck,Republican,8919
Clinton,County Recorder,Clinton County,Vicki A Ballard,Republican,8839
Clinton,County Treasurer,Clinton County,Fran Reagan,Republican,8903
Clinton,County Coroner,Clinton County,"Edward ""Ed"" Cripe",Republican,8830
Clinton,County Surveyor,Clinton County,Rhonda J Knight,Republican,8862
Crawford,President,,John F Kerry,Democratic,1932
Crawford,President,,Michael Badnarik,Libertarian,33
Crawford,President,,George Walker Bush,Republican,2609
Crawford,President,,John Joseph Kennedy,Democratic,0
Crawford,President,,David Cobb,Green,0
Crawford,President,,Lawson Mitchell Bone,Independent,0
Crawford,President,,Ralph Nader,Independent,0
Crawford,President,,Walt Brown,Socialist,0
Crawford,U.S. Senator,,Evan Bayh,Democratic,2832
Crawford,U.S. Senator,,Albert Barger,Libertarian,47
Crawford,U.S. Senator,,Marvin Scott,Republican,1572
Crawford,Governor,,Joseph E Kernan,Democratic,2231
Crawford,Governor,,Kenn Gividen,Libertarian,60
Crawford,Governor,,"Mitchell E Daniels, Jr.",Republican,2231
Crawford,Governor,,Velko Kapetanov,Independent,0
Crawford,Attorney General,,Joseph H Hogsett,Democratic,2016
Crawford,Attorney General,,Aaron T Milewski,Libertarian,79
Crawford,Attorney General,,Steve Carter,Republican,2111
Crawford,Superintendent Of Public Instruction,,Susan Williams,Democratic,2016
Crawford,Superintendent Of Public Instruction,,Joe Hauptmann,Libertarian,106
Crawford,Superintendent Of Public Instruction,,Suellen Reed,Republican,2007
Crawford,U.S. House,8,Jon P Jennings,Democratic,0
Crawford,U.S. House,8,Mark Garvin,Libertarian,0
Crawford,U.S. House,8,John N Hostettler,Republican,0
Crawford,U.S. House,9,Baron Hill,Democratic,2288
Crawford,U.S. House,9,Al Cox,Libertarian,79
Crawford,U.S. House,9,Mike Sodrel,Republican,2131
Crawford,State House,74,Russ Stilwell,Democratic,0
Crawford,State House,74,Frank Findley,Libertarian,0
Crawford,Judge Of The Circuit Court,Crawford 77Th Circuit,Kenneth Lynn Lopp,Democratic,3135
Crawford,County Treasurer,Crawford County,Edna M Brown,Democratic,3058
Crawford,County Coroner,Crawford County,Christopher Brown,Democratic,3098
Crawford,County Surveyor,Crawford County,Marty L Corn,Democratic,1649
Crawford,County Surveyor,Crawford County,Reggie Timberlake,Republican,2775
Daviess,President,,John F Kerry,Democratic,2573
Daviess,President,,Michael Badnarik,Libertarian,80
Daviess,President,,George Walker Bush,Republican,7936
Daviess,President,,John Joseph Kennedy,Democratic,4
Daviess,President,,David Cobb,Green,0
Daviess,President,,Lawson Mitchell Bone,Independent,0
Daviess,President,,Ralph Nader,Independent,6
Daviess,President,,Walt Brown,Socialist,0
Daviess,U.S. Senator,,Evan Bayh,Democratic,5891
Daviess,U.S. Senator,,Albert Barger,Libertarian,107
Daviess,U.S. Senator,,Marvin Scott,Republican,4447
Daviess,Governor,,Joseph E Kernan,Democratic,4049
Daviess,Governor,,Kenn Gividen,Libertarian,183
Daviess,Governor,,"Mitchell E Daniels, Jr.",Republican,6223
