county,precinct,office,district,candidate,party,early_voting,election_day,vote
Gibson,Federal,Ballots Cast,,,,,,0
Gibson,BAR1,Ballots Cast,,,,,,350
Gibson,BAR2,Ballots Cast,,,,,,292
Gibson,CTRL,Ballots Cast,,,,,,596
Gibson,COL1,Ballots Cast,,,,,,346
Gibson,COL2,Ballots Cast,,,,,,287
Gibson,COL5,Ballots Cast,,,,,,573
Gibson,JON1,Ballots Cast,,,,,,737
Gibson,JON2,Ballots Cast,,,,,,634
Gibson,JON3,Ballots Cast,,,,,,638
Gibson,MON1,Ballots Cast,,,,,,512
Gibson,MON2,Ballots Cast,,,,,,590
Gibson,WAB1,Ballots Cast,,,,,,12
Gibson,MON3,Ballots Cast,,,,,,407
Gibson,PAT1,Ballots Cast,,,,,,449
Gibson,PAT2,Ballots Cast,,,,,,116
Gibson,PAT3,Ballots Cast,,,,,,364
Gibson,PAT4,Ballots Cast,,,,,,195
Gibson,PAT5,Ballots Cast,,,,,,158
Gibson,PAT6,Ballots Cast,,,,,,143
Gibson,PAT7,Ballots Cast,,,,,,433
Gibson,PAT8,Ballots Cast,,,,,,137
Gibson,PAT9,Ballots Cast,,,,,,392
Gibson,PAT11,Ballots Cast,,,,,,326
Gibson,PAT12,Ballots Cast,,,,,,283
Gibson,PAT13,Ballots Cast,,,,,,495
Gibson,PAT14,Ballots Cast,,,,,,335
Gibson,PAT15,Ballots Cast,,,,,,145
Gibson,UNI1,Ballots Cast,,,,,,567
Gibson,UNI2,Ballots Cast,,,,,,355
Gibson,UNI3,Ballots Cast,,,,,,516
Gibson,UNI4,Ballots Cast,,,,,,271
Gibson,WAS1,Ballots Cast,,,,,,361
Gibson,WR1,Ballots Cast,,,,,,426
Gibson,WR2,Ballots Cast,,,,,,189
Gibson,Total,Ballots Cast,,,,,,12630
Gibson,Federal,Straight Party,,,,0,0,0
Gibson,BAR1,Straight Party,,Republican Party,,19,69,88
Gibson,BAR2,Straight Party,,Republican Party,,13,53,66
Gibson,CTRL,Straight Party,,Republican Party,,40,91,131
Gibson,COL1,Straight Party,,Republican Party,,16,63,79
Gibson,COL2,Straight Party,,Republican Party,,23,42,65
Gibson,COL5,Straight Party,,Republican Party,,36,92,130
Gibson,JON1,Straight Party,,Republican Party,,40,151,191
Gibson,JON2,Straight Party,,Republican Party,,41,139,180
Gibson,JON3,Straight Party,,Republican Party,,34,137,171
Gibson,MON1,Straight Party,,Republican Party,,50,90,140
Gibson,MON2,Straight Party,,Republican Party,,31,107,138
Gibson,WAB1,Straight Party,,Republican Party,,0,2,2
Gibson,MON3,Straight Party,,Republican Party,,19,79,98
Gibson,PAT1,Straight Party,,Republican Party,,37,57,94
Gibson,PAT2,Straight Party,,Republican Party,,9,20,29
Gibson,PAT3,Straight Party,,Republican Party,,43,57,100
Gibson,PAT4,Straight Party,,Republican Party,,21,33,54
Gibson,PAT5,Straight Party,,Republican Party,,10,16,26
Gibson,PAT6,Straight Party,,Republican Party,,19,15,34
Gibson,PAT7,Straight Party,,Republican Party,,42,47,89
Gibson,PAT8,Straight Party,,Republican Party,,12,14,26
Gibson,PAT9,Straight Party,,Republican Party,,42,55,97
Gibson,PAT11,Straight Party,,Republican Party,,30,28,58
Gibson,PAT12,Straight Party,,Republican Party,,15,26,41
Gibson,PAT13,Straight Party,,Republican Party,,57,55,112
Gibson,PAT14,Straight Party,,Republican Party,,41,46,87
Gibson,PAT15,Straight Party,,Republican Party,,9,17,26
Gibson,UNI1,Straight Party,,Republican Party,,34,118,152
Gibson,UNI2,Straight Party,,Republican Party,,21,80,101
Gibson,UNI3,Straight Party,,Republican Party,,30,89,119
Gibson,UNI4,Straight Party,,Republican Party,,17,42,59
Gibson,WAS1,Straight Party,,Republican Party,,26,78,102
Gibson,WR1,Straight Party,,Republican Party,,20,62,82
Gibson,WR2,Straight Party,,Republican Party,,8,27,35
Gibson,Total,Straight Party,,Republican Party,,905,2097,3002
Gibson,Federal,Straight Party,,Democratic Party,,0,0,0
Gibson,BAR1,Straight Party,,Democratic Party,,4,19,23
Gibson,BAR2,Straight Party,,Democratic Party,,9,18,27
Gibson,CTRL,Straight Party,,Democratic Party,,17,35,52
Gibson,COL1,Straight Party,,Democratic Party,,11,36,47
Gibson,COL2,Straight Party,,Democratic Party,,9,31,40
Gibson,COL5,Straight Party,,Democratic Party,,17,21,38
Gibson,JON1,Straight Party,,Democratic Party,,18,38,56
Gibson,JON2,Straight Party,,Democratic Party,,17,28,45
Gibson,JON3,Straight Party,,Democratic Party,,15,37,52
Gibson,MON1,Straight Party,,Democratic Party,,13,17,30
Gibson,MON2,Straight Party,,Democratic Party,,26,33,59
Gibson,WAB1,Straight Party,,Democratic Party,,0,0,0
Gibson,MON3,Straight Party,,Democratic Party,,7,40,47
Gibson,PAT1,Straight Party,,Democratic Party,,22,27,49
Gibson,PAT2,Straight Party,,Democratic Party,,6,9,15
Gibson,PAT3,Straight Party,,Democratic Party,,38,24,62
Gibson,PAT4,Straight Party,,Democratic Party,,15,13,28
Gibson,PAT5,Straight Party,,Democratic Party,,12,8,20
Gibson,PAT6,Straight Party,,Democratic Party,,9,9,18
Gibson,PAT7,Straight Party,,Democratic Party,,33,32,65
Gibson,PAT8,Straight Party,,Democratic Party,,11,7,18
Gibson,PAT9,Straight Party,,Democratic Party,,14,14,28
Gibson,PAT11,Straight Party,,Democratic Party,,19,7,26
Gibson,PAT12,Straight Party,,Democratic Party,,22,19,41
Gibson,PAT13,Straight Party,,Democratic Party,,14,14,28
Gibson,PAT14,Straight Party,,Democratic Party,,17,17,34
Gibson,PAT15,Straight Party,,Democratic Party,,19,10,29
Gibson,UNI1,Straight Party,,Democratic Party,,17,42,59
