candidate,office,district,party,county,precinct,early_voting,election_day,votes
,Ballots Cast,,,Wayne,FEDERAL,,,0
,Straight Party,,R,Wayne,FEDERAL,0,0,0
,Straight Party,,D,Wayne,FEDERAL,0,0,0
,Straight Party,,L,Wayne,FEDERAL,0,0,0
Mike Braun,U.S. Senate,,,Wayne,FEDERAL,0,0,0
Joe Donnelly,U.S. Senate,,,Wayne,FEDERAL,0,0,0
Lucy M Brenton,U.S. Senate,,,Wayne,FEDERAL,0,0,0
Nathan Altman,U.S. Senate,,W,Wayne,FEDERAL,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,FEDERAL,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,FEDERAL,0,0,0
Connie Lawson,Secretary of State,,,Wayne,FEDERAL,,,
Jim Harper,Secretary of State,,,Wayne,FEDERAL,,,
Mark W. Rutherford,Secretary of State,,,Wayne,FEDERAL,,,
George William Wolfe,Secretary of State,,W,Wayne,FEDERAL,,,
Jeremy Heath,Secretary of State,,W,Wayne,FEDERAL,,,
Tera Klutz,Auditor of State,,,Wayne,FEDERAL,,,
Joselyn Whitticker,Auditor of State,,,Wayne,FEDERAL,,,
John Schick,Auditor of State,,,Wayne,FEDERAL,,,
Kelly Mitchell,Treasurer of State,,,Wayne,FEDERAL,,,
John C. Aguilera,Treasurer of State,,,Wayne,FEDERAL,,,
Greg Pence,U.S. House,6,,Wayne,FEDERAL,0,0,0
Jeannine Lee Lake,U.S. House,6,,Wayne,FEDERAL,0,0,0
Tom Ferkinhogg,U.S. House,6,,Wayne,FEDERAL,0,0,0
Heather Leigh Meloy,U.S. House,6,W,Wayne,FEDERAL,0,0,0
John Miller,U.S. House,6,W,Wayne,FEDERAL,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,FEDERAL,,,
Jerome (Jake) Hoog,State Senate ,27,,Wayne,FEDERAL,,,
Bradford J Barrett,State Representative,56,,Wayne,FEDERAL,,,
Jeffrey S Locke,State Representative,56,,Wayne,FEDERAL,,,
Jeremy Why,State Representative,56,,Wayne,FEDERAL,,,
,Ballots Cast,,,Wayne,ABGT,,,302
,Straight Party,,R,Wayne,ABGT,67,73,140
,Straight Party,,D,Wayne,ABGT,28,15,43
,Straight Party,,L,Wayne,ABGT,1,1,2
Mike Braun,U.S. Senate,,,Wayne,ABGT,111,107,218
Joe Donnelly,U.S. Senate,,,Wayne,ABGT,40,28,68
Lucy M Brenton,U.S. Senate,,,Wayne,ABGT,4,8,12
Nathan Altman,U.S. Senate,,W,Wayne,ABGT,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,ABGT,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,ABGT,0,0,0
Connie Lawson,Secretary of State,,,Wayne,ABGT,117,110,227
Jim Harper,Secretary of State,,,Wayne,ABGT,35,28,63
Mark W. Rutherford,Secretary of State,,,Wayne,ABGT,3,5,8
George William Wolfe,Secretary of State,,W,Wayne,ABGT,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,ABGT,0,0,0
Tera Klutz,Auditor of State,,,Wayne,ABGT,111,108,219
Joselyn Whitticker,Auditor of State,,,Wayne,ABGT,39,28,67
John Schick,Auditor of State,,,Wayne,ABGT,5,6,11
Kelly Mitchell,Treasurer of State,,,Wayne,ABGT,119,111,230
John C. Aguilera,Treasurer of State,,,Wayne,ABGT,35,30,65
Greg Pence,U.S. House,6,,Wayne,ABGT,111,106,217
