county,office,district,candidate,party,votes
Adams,U.S. Senator,,Richard G. Lugar,Republican,1694
Adams,U.S. House,3,Kevin Boyd,Democratic,0
Adams,U.S. House,3,Thomas Hayhurst,Democratic,0
Adams,U.S. House,3,Thomas Allen Schrader,Democratic,0
Adams,U.S. House,3,Edward W. Smith,Democratic,0
Adams,U.S. House,3,William Larsen,Republican,0
Adams,U.S. House,3,Mark Edward Souder,Republican,0
Adams,State Senator,19,David C. Ford,Republican,1614
Adams,State House,79,Michael A. Ripley,Republican,1688
Adams,Judge Of The Circuit Court,Adams 26Th Circuit,Frederick A. Schurger,Democratic,1103
Adams,Prosecuting Attorney,Adams 26Th Circuit,Christopher E. Harvey,Democratic,1095
Allen,U.S. Senator,,Richard G. Lugar,Republican,22065
Allen,U.S. House,3,Kevin Boyd,Democratic,924
Allen,U.S. House,3,Thomas Hayhurst,Democratic,8429
Allen,U.S. House,3,Thomas Allen Schrader,Democratic,585
Allen,U.S. House,3,Edward W. Smith,Democratic,897
Allen,U.S. House,3,William Larsen,Republican,6571
Allen,U.S. House,3,Mark Edward Souder,Republican,15577
Allen,State Senator,14,Dennis K. Kruse,Republican,6566
Allen,State Senator,14,Thomas J. Wyss,Republican,6135
Allen,State House,50,Daniel (Dan) Leonard,Republican,0
Allen,State House,50,Marlin A. Stutzman,Republican,0
Allen,State House,50,Geoff Paddock,Republican,1022
Allen,State House,50,Kevin Howell,Republican,1319
Allen,State House,50,Randy L. Borror,Republican,4182
Allen,State House,50,Denny Worman,Republican,2333
Allen,Prosecuting Attorney,Allen 38Th Circuit,Karen Richards,Republican,21084
Bartholomew,U.S. Senator,,Richard G. Lugar,Republican,7634
Bartholomew,U.S. House,6,Ralph Spelbring,Democratic,422
Bartholomew,U.S. House,6,Barry A. Welsh,Democratic,965
Bartholomew,U.S. House,6,George T. Holland,Republican,599
Bartholomew,U.S. House,6,Mike Pence,Republican,4639
Bartholomew,State Senator,41,Terry Coriden,Democratic,2580
Bartholomew,State Senator,41,Robert D. Garton,Republican,4351
Bartholomew,State Senator,41,Greg Walker,Republican,4325
Bartholomew,State Senator,41,Johnny Nugent,Republican,0
Bartholomew,State House,57,J.D. Lux,Democratic,655
Bartholomew,State House,57,Edward F. Dundas,Republican,68
Bartholomew,State House,57,Sean R. Eberhart,Republican,1234
Bartholomew,State House,57,Karen A. Frazier,Republican,685
Bartholomew,State House,57,Rob Nolley,Republican,191
Bartholomew,State House,57,Marvin V. Pavlov,Republican,117
Bartholomew,State House,57,Milo Smith,Republican,3380
Bartholomew,State House,57,Billy Bright,Republican,0
Bartholomew,State House,57,Brent Mullikin,Republican,0
Bartholomew,Judge Of The Superior Court,"Bartholomew County, No. 1",Eric Hayes,Democratic,2574
Bartholomew,Judge Of The Superior Court,"Bartholomew County, No. 1",Chris D. Monroe,Republican,5859
Bartholomew,Judge Of The Superior Court,"Bartholomew County, No. 1",David A. Nowak,Republican,2599
Bartholomew,Prosecuting Attorney,Bartholomew 9Th Circuit,William M. (Bill) Nash,Republican,7023
Benton,U.S. Senator,,Richard G. Lugar,Republican,2094
Benton,U.S. House,4,Rick Cornstuble,Democratic,0
Benton,U.S. House,4,Darin S. Kinser,Democratic,0
Benton,U.S. House,4,David Sanders,Democratic,0
Benton,U.S. House,4,Steve Buyer,Republican,0
Benton,U.S. House,4,Mike Campbell,Republican,0
Benton,State Senator,6,John B. Greaves,Democratic,136
Benton,State Senator,6,Crystal Hall,Republican,622
Benton,State Senator,6,Sue Landske,Republican,1549
Benton,State House,13,Chester F. Dobis,Democratic,0
Benton,Prosecuting Attorney,Benton 76Th Circuit,Jud Barce,Republican,916
Benton,Prosecuting Attorney,Benton 76Th Circuit,William B. Weist,Republican,1626
Blackford,U.S. Senator,,Richard G. Lugar,Republican,827
Blackford,U.S. House,3,Kevin Boyd,Democratic,0
Blackford,U.S. House,3,Thomas Hayhurst,Democratic,0
Blackford,U.S. House,3,Thomas Allen Schrader,Democratic,0
Blackford,U.S. House,3,Edward W. Smith,Democratic,0
Blackford,U.S. House,3,William Larsen,Republican,0
Blackford,U.S. House,3,Mark Edward Souder,Republican,0
Blackford,U.S. House,3,Katherine Fox Carr,Republican,0
Blackford,U.S. House,3,Michael Clements,Republican,0
Blackford,U.S. House,3,Thomas E. Williams,Republican,0
Blackford,U.S. House,3,Clayton L. (C.L. Jim) Alfred,Republican,0
Blackford,U.S. House,3,Dan Burton,Republican,0
Blackford,U.S. House,3,Victor D. Wakley,Republican,0
Blackford,State Senator,19,David C. Ford,Republican,830
Blackford,State House,31,Larry R. Hile,Democratic,1045
Blackford,State House,31,Timothy W. Harris,Republican,773
Blackford,State House,31,Bill J. Davis,Republican,0
Blackford,Judge Of The Circuit Court,Blackford 71St Circuit,Dean A. Young,Republican,802
Blackford,Prosecuting Attorney,Blackford 71St Circuit,Kevin N. Basey,Republican,795
Boone,U.S. Senator,,Richard G. Lugar,Republican,6912
Boone,U.S. House,4,Rick Cornstuble,Democratic,178
Boone,U.S. House,4,Darin S. Kinser,Democratic,172
Boone,U.S. House,4,David Sanders,Democratic,424
Boone,U.S. House,4,Steve Buyer,Republican,5047
Boone,U.S. House,4,Mike Campbell,Republican,2069
Boone,U.S. House,4,Katherine Fox Carr,Republican,0
Boone,U.S. House,4,Michael Clements,Republican,0
Boone,U.S. House,4,Thomas E. Williams,Republican,0
Boone,U.S. House,4,Clayton L. (C.L. Jim) Alfred,Republican,0
Boone,U.S. House,4,Dan Burton,Republican,0
Boone,U.S. House,4,Victor D. Wakley,Republican,0
Boone,State Senator,23,Philip L. (Phil) Boots,Republican,690
Boone,State Senator,23,James R. Detamore,Republican,2223
Boone,State Senator,23,Susan B. Mcgrady,Republican,371
Boone,State Senator,23,Richard (Dick) Thompson,Republican,1305
Boone,State House,24,Richard (Rick) Eller,Republican,0
Boone,State House,24,Richard W. (Rich) Mcclain,Republican,0
Boone,Judge Of The Circuit Court,Boone 20Th Circuit,Steve David,Republican,6775
Boone,Prosecuting Attorney,Boone 20Th Circuit,Todd J. Meyer,Republican,6570
Brown,U.S. Senator,,Richard G. Lugar,Republican,1572
Brown,U.S. House,9,Gretchen Clearwater,Democratic,255
Brown,U.S. House,9,Baron P. Hill,Democratic,1269
Brown,U.S. House,9,John (Cosmo) Hockersmith,Democratic,59
Brown,U.S. House,9,Lendall B. Terry,Democratic,56
Brown,U.S. House,9,Sam Schultz,Republican,330
Brown,U.S. House,9,Mike Sodrel,Republican,1321
Brown,State House,65,Eric A. Koch,Republican,1443
Brown,Judge Of The Circuit Court,Brown 88Th Circuit,Judith A. Stewart,Democratic,1526
Brown,Prosecuting Attorney,Brown 88Th Circuit,James R. Oliver,Democratic,1295
Brown,Prosecuting Attorney,Brown 88Th Circuit,Andrew Szakaly,Republican,1225
Carroll,U.S. Senator,,Richard G. Lugar,Republican,2912
