county,office,district,candidate,party,votes
Adams,President,,Barack Obama,Democratic,4928
Adams,President,,Bob Barr,Libertarian,170
Adams,President,,John Mccain,Republican,8404
Adams,President,,Darrell L Castle,Constitution,0
Adams,President,,Cynthia A Mckinney,Green,1
Adams,President,,Michael L Faith,Americas Independent,0
Adams,President,,Chuck Baldwin,Independent,9
Adams,President,,Lawson Mitchell Bone,Independent,0
Adams,President,,Kevin Mottus,Independent,0
Adams,President,,Ralph Nader,Independent,1
Adams,President,,John Leroy Plemons,Independent,0
Adams,President,,"""Lou"" Kujawski",Republican,0
Adams,President,,Brian Moore,Socialist,0
Adams,Governor,,Jill Long Thompson,Democratic,4938
Adams,Governor,,Andy Horning,Libertarian,294
Adams,Governor,,Mitchell E Daniels,Republican,8291
Adams,Governor,,Timothy Lee Frye,Independent,0
Adams,Governor,,Christopher Stried,Independent,0
Adams,Attorney General,,Linda Pence,Democratic,6232
Adams,Attorney General,,Greg Zoeller,Republican,6477
Adams,Superintendent Of Public Instruction,,Richard D Wood,Democratic,4728
Adams,Superintendent Of Public Instruction,,Tony Bennett,Republican,7841
Adams,Superintendent Of Public Instruction,,Kevin R Brown,Democratic,1
Adams,U.S. House,3,Michael A Montagano,Democratic,0
Adams,U.S. House,3,William R Larsen,Libertarian,0
Adams,U.S. House,3,Mark E Souder,Republican,0
Adams,State House,79,Matthew S Lehman,Republican,10641
Adams,Judge Of The Superior Court,Adams County,Thomas Wade Sheets,Democratic,4152
Adams,Judge Of The Superior Court,Adams County,Patrick R Miller,Republican,9145
Adams,State Convention Delegate,Adams County,Judith E Affolder,Democratic,0
Adams,State Convention Delegate,Adams County,Barbara L Engle,Democratic,0
Adams,State Convention Delegate,Adams County,Barbara L Engle,Democratic,0
Adams,State Convention Delegate,Adams County,Robert Noetzel,Republican,0
Adams,State Convention Delegate,Adams County,Amy M Orr,Republican,0
Adams,State Convention Delegate,Adams County,Eric D Orr,Republican,0
Allen,President,,Barack Obama,Democratic,71263
Allen,President,,Bob Barr,Libertarian,1114
Allen,President,,John Mccain,Republican,77793
Allen,President,,Darrell L Castle,Constitution,0
Allen,President,,Cynthia A Mckinney,Green,7
Allen,President,,Michael L Faith,Americas Independent,0
Allen,President,,Chuck Baldwin,Independent,67
Allen,President,,Lawson Mitchell Bone,Independent,0
Allen,President,,Kevin Mottus,Independent,0
Allen,President,,Ralph Nader,Independent,77
Allen,President,,John Leroy Plemons,Independent,0
Allen,President,,"""Lou"" Kujawski",Republican,0
Allen,President,,Brian Moore,Socialist,3
Allen,Governor,,Jill Long Thompson,Democratic,55027
Allen,Governor,,Andy Horning,Libertarian,2444
Allen,Governor,,Mitchell E Daniels,Republican,89938
Allen,Governor,,Timothy Lee Frye,Independent,2
Allen,Governor,,Christopher Stried,Independent,3
Allen,Attorney General,,Linda Pence,Democratic,69218
Allen,Attorney General,,Greg Zoeller,Republican,71398
Allen,Superintendent Of Public Instruction,,Richard D Wood,Democratic,59353
Allen,Superintendent Of Public Instruction,,Tony Bennett,Republican,76790
Allen,Superintendent Of Public Instruction,,Kevin R Brown,Democratic,40
Allen,U.S. House,3,Michael A Montagano,Democratic,60314
Allen,U.S. House,3,William R Larsen,Libertarian,7405
Allen,U.S. House,3,Mark E Souder,Republican,72890
Allen,State Senator,16,David C Long,Republican,37082
Allen,State House,50,Daniel Joseph Leonard,Republican,0
Allen,State House,52,Donald Papai,Democratic,0
Allen,State House,52,David Yarde Ii,Republican,0
Allen,State House,79,Matthew S Lehman,Republican,7694
Allen,State House,80,Philip K Giaquinta,Democratic,14544
Allen,State House,81,Winfield C Moses,Democratic,14475
Allen,State House,82,Jeffrey Keller Espich,Republican,14815
Allen,State House,83,Steven B Heaston,Democratic,5388
Allen,State House,83,Herbert Jack Evans,Libertarian,590
Allen,State House,83,Matthew Paul Bell,Republican,10701
Allen,State House,84,Mark J Wehrle,Democratic,10217
Allen,State House,84,Randy L Borror,Republican,17724
Allen,State House,85,Phyllis J Pond,Republican,26037
Allen,Judge Of The Circuit Court,Allen 38Th,Thomas J Felts,Republican,99423
Allen,Judge Of The Superior Court,Allen Fam.Rel. Heath,Daniel G Heath,Non-Partisan,88415
Allen,Judge Of The Superior Court,Allen Civil Levine,Stanley A Levine,Non-Partisan,83692
Allen,Judge Of The Superior Court,Allen Criminal Gull,Frances C Gull,Non-Partisan,91300
Allen,Judge Of The Superior Court,Allen Criminal Surbeck,"John F Surbeck, Jr.",Non-Partisan,91141
Allen,Judge Of The Superior Court,Allen Family/Sims,Stephen M Sims,Non-Partisan,92075
Allen,State Convention Delegate,Allen County,John A Allen,Democratic,0
Allen,State Convention Delegate,Allen County,Jane Borge-Eliasen,Democratic,0
Allen,State Convention Delegate,Allen County,Jomare Bowers-Mizzell,Democratic,0
Allen,State Convention Delegate,Allen County,Pamela A Burns,Democratic,0
Allen,State Convention Delegate,Allen County,Austin Cole Dietrich,Democratic,0
Allen,State Convention Delegate,Allen County,Robert Doerr,Democratic,0
Allen,State Convention Delegate,Allen County,Linda Edmonds-Stanley,Democratic,0
Allen,State Convention Delegate,Allen County,Nicholas Farkas,Democratic,0
Allen,State Convention Delegate,Allen County,Karen E Goldner,Democratic,0
Allen,State Convention Delegate,Allen County,John A Good,Democratic,0
