county,office,district,candidate,party,votes
Adams,President,,Hillary Clinton,Democratic,3147
Adams,President,,Barack Obama,Democratic,2283
Adams,President,,Mike Huckabee,Republican,403
Adams,President,,John Mccain,Republican,1735
Adams,President,,Ron Paul,Republican,292
Adams,President,,Mitt Romney,Republican,141
Adams,Governor,,Jim Schellinger,Democratic,1717
Adams,Governor,,Jill Long Thompson,Democratic,3586
Adams,Governor,,Mitch Daniels,Republican,2141
Adams,U.S. House,3,Michael A. (Mike) Montagano,Democratic,0
Adams,U.S. House,3,Mark Edward Souder,Republican,0
Adams,U.S. House,3,Scott Wise,Republican,0
Adams,State House,79,Matthew S. Lehman,Republican,2325
Adams,Judge Of The Superior Court,Adams County,Thomas Wade Sheets,Democratic,3893
Adams,Judge Of The Superior Court,Adams County,Patrick R. Miller,Republican,2268
Allen,President,,Hillary Clinton,Democratic,27535
Allen,President,,Barack Obama,Democratic,35103
Allen,President,,Mike Huckabee,Republican,2044
Allen,President,,John Mccain,Republican,13854
Allen,President,,Ron Paul,Republican,2824
Allen,President,,Mitt Romney,Republican,1418
Allen,Governor,,Jim Schellinger,Democratic,17355
Allen,Governor,,Jill Long Thompson,Democratic,40904
Allen,Governor,,Mitch Daniels,Republican,17548
Allen,U.S. House,3,Michael A. (Mike) Montagano,Democratic,40270
Allen,U.S. House,3,Mark Edward Souder,Republican,14073
Allen,U.S. House,3,Scott Wise,Republican,4891
Allen,State Senator,16,David C. Long,Republican,5932
Allen,State House,50,Terry R. Abbett,Republican,0
Allen,State House,50,Dan J. Leonard,Republican,0
Allen,State House,50,Gary L. Snyder,Republican,0
Allen,State House,50,Randy L. Borror,Republican,4171
Allen,State House,50,Phyllis J. Pond,Republican,3030
Allen,State House,50,Denny Worman,Republican,1132
Allen,Judge Of The Circuit Court,Allen 38Th,Thomas J. Felts,Republican,16076
Bartholomew,President,,Hillary Clinton,Democratic,6903
Bartholomew,President,,Barack Obama,Democratic,5989
Bartholomew,President,,Mike Huckabee,Republican,658
Bartholomew,President,,John Mccain,Republican,5000
Bartholomew,President,,Ron Paul,Republican,266
Bartholomew,President,,Mitt Romney,Republican,380
Bartholomew,Governor,,Jim Schellinger,Democratic,5925
Bartholomew,Governor,,Jill Long Thompson,Democratic,5617
Bartholomew,Governor,,Mitch Daniels,Republican,5782
Bartholomew,U.S. House,6,Barry A. Welsh,Democratic,4946
Bartholomew,U.S. House,6,Mike Pence,Republican,3766
Bartholomew,State Senator,44,Matthew S. Colglazier,Democratic,0
Bartholomew,State Senator,44,"Tony ""Big Dog"" Van Pelt",Democratic,0
Bartholomew,State Senator,44,Brent Steele,Republican,0
Bartholomew,State House,57,Sean R. Eberhart,Republican,1601
Bartholomew,State House,57,Milo Smith,Republican,2878
Bartholomew,Judge Of The Superior Court,"Bartholomew County, No. 2",Roderick D. Mcgillivray,Republican,3772
Bartholomew,Judge Of The Superior Court,"Bartholomew County, No. 2",James A. Shoaf,Republican,2430
Benton,President,,Hillary Clinton,Democratic,625
Benton,President,,Barack Obama,Democratic,557
Benton,President,,Mike Huckabee,Republican,177
Benton,President,,John Mccain,Republican,1124
Benton,President,,Ron Paul,Republican,120
Benton,President,,Mitt Romney,Republican,82
Benton,Governor,,Jim Schellinger,Democratic,529
Benton,Governor,,Jill Long Thompson,Democratic,536
Benton,Governor,,Mitch Daniels,Republican,1006
Benton,U.S. House,4,Nels Ackerson,Democratic,0
Benton,U.S. House,4,Steve Buyer,Republican,0
Benton,U.S. House,4,Mike Campbell,Republican,0
Benton,U.S. House,4,Firefighter Laron Keith,Republican,0
Benton,State House,13,Chester F. Dobis,Democratic,0
Benton,State House,13,Joseph M. Hero,Republican,0
Benton,Judge Of The Circuit Court,Benton 76Th Circuit,Rex W. Kepner,Republican,1326
Blackford,President,,Hillary Clinton,Democratic,1941
Blackford,President,,Barack Obama,Democratic,1024
Blackford,President,,Mike Huckabee,Republican,60
Blackford,President,,John Mccain,Republican,406
Blackford,President,,Ron Paul,Republican,48
Blackford,President,,Mitt Romney,Republican,28
Blackford,Governor,,Jim Schellinger,Democratic,1393
Blackford,Governor,,Jill Long Thompson,Democratic,1398
Blackford,Governor,,Mitch Daniels,Republican,472
Blackford,U.S. House,3,Michael A. (Mike) Montagano,Democratic,0
Blackford,U.S. House,3,Mark Edward Souder,Republican,0
Blackford,U.S. House,3,Scott Wise,Republican,0
Blackford,U.S. House,3,Mary Etta Ruley,Republican,0
Blackford,U.S. House,3,Kenny Stall,Republican,0
Blackford,U.S. House,3,Clayton L. Alfred,Republican,0
Blackford,U.S. House,3,Dan Burton,Republican,0
Blackford,U.S. House,3,John Mcgoff,Republican,0
Blackford,State House,31,Joe Pearson,Democratic,2344
Blackford,State House,31,Timothy W. Harris,Republican,497
Blackford,State House,31,Bill J. Davis,Republican,0
Boone,President,,Hillary Clinton,Democratic,4454
Boone,President,,Barack Obama,Democratic,4848
Boone,President,,Mike Huckabee,Republican,500
Boone,President,,John Mccain,Republican,4747
Boone,President,,Ron Paul,Republican,282
Boone,President,,Mitt Romney,Republican,274
Boone,Governor,,Jim Schellinger,Democratic,4328
Boone,Governor,,Jill Long Thompson,Democratic,3790
Boone,Governor,,Mitch Daniels,Republican,5311
Boone,U.S. House,4,Nels Ackerson,Democratic,5849
Boone,U.S. House,4,Steve Buyer,Republican,3927
Boone,U.S. House,4,Mike Campbell,Republican,933
Boone,U.S. House,4,Firefighter Laron Keith,Republican,651
Boone,U.S. House,4,Mary Etta Ruley,Republican,0
Boone,U.S. House,4,Kenny Stall,Republican,0
Boone,U.S. House,4,Clayton L. Alfred,Republican,0
Boone,U.S. House,4,Dan Burton,Republican,0
Boone,U.S. House,4,John Mcgoff,Republican,0
Boone,State Senator,7,Brandt Hershman,Republican,0
Boone,State House,24,Richard (Rick) Eller,Republican,0
