county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee,federal
Bartholomew,Pct. 0200,U.S. House,6,R,Greg Pence,461,,,,,
Bartholomew,Pct. 0200,U.S. House,6,D,Jeannine Lee Lake,332,,,,,
Bartholomew,Pct. 0200,U.S. House,6,L,Tom Ferkinhoff,25,,,,,
Bartholomew,Pct. 0200,U.S. House,6,,Write in,0,,,,,
Bartholomew,Pct. 0200,State House,59,R,Ryan Lauer,442,,,,,
Bartholomew,Pct. 0200,State House,59,D,Dale Nowlin,363,,,,,
Bartholomew,Pct. 0200,State House,59,L,Clyde D. Myers,18,,,,,
Bartholomew,Pct. 0200,U.S. Senate,,R,Mike Braun,307,,,,,
Bartholomew,Pct. 0200,U.S. Senate,,D,Joe Donnelly,265,,,,,
Bartholomew,Pct. 0200,U.S. Senate,,L,Lucy M. Brenton,25,,,,,
Bartholomew,Pct. 0200,U.S. Senate,,,Write in,2,,,,,
Bartholomew,Pct. 0200,State Secretary,,R,Connie Lavvson,313,,,,,
Bartholomew,Pct. 0200,State Secretary,,D,Jim Harper,235,,,,,
Bartholomew,Pct. 0200,State Secretary,,L,Mark W. Rutherford,36,,,,,
Bartholomew,Pct. 0200,State Secretary,,,Write in,1,,,,,
Bartholomew,Pct. 0200,State Auditor,,R,Tera Klutz,314,,,,,
Bartholomew,Pct. 0200,State Auditor,,D,Joselyn Vvhitticker,233,,,,,
Bartholomew,Pct. 0200,State Auditor,,L,John Schick,39,,,,,
Bartholomew,Pct. 0200,State Treasurer,,R,Kelly Mitchell,338,,,,,
Bartholomew,Pct. 0200,State Treasurer,,D,John C. Aguilera,246,,,,,
Bartholomew,Pct. 0200,State Treasurer,,,1 Page Of 3,(Election,,,,,
Bartholomew,Pct. 0200,U.S. House,6,R,Greg Pence,320,,,,,
Bartholomew,Pct. 0200,U.S. House,6,D,Jeannine Lee Lake,245,,,,,
Bartholomew,Pct. 0200,U.S. House,6,L,Tom Ferkinhoff,33,,,,,
Bartholomew,Pct. 0200,U.S. House,6,,Write in,0,,,,,
Bartholomew,Pct. 0200,State House,59,R,Ryan Lauer,305,,,,,
Bartholomew,Pct. 0200,State House,59,D,Dale Nowlin,270,,,,,
Bartholomew,Pct. 0200,State House,59,L,Clyde D. Myers,22,,,,,
Bartholomew,Pct. 0200,U.S. Senate,,R,Mike Braun,335,,,,,
Bartholomew,Pct. 0200,U.S. Senate,,D,Joe Donnelly,319,,,,,
Bartholomew,Pct. 0200,U.S. Senate,,L,Lucy M. Brenton,21,,,,,
Bartholomew,Pct. 0200,U.S. Senate,,,Write in,0,,,,,
Bartholomew,Pct. 0200,State Secretary,,R,Connie Lawson,388,,,,,
Bartholomew,Pct. 0200,State Secretary,,D,Jim Harper,257,,,,,
Bartholomew,Pct. 0200,State Secretary,,L,Mark W. Rutherford,16,,,,,
Bartholomew,Pct. 0200,State Secretary,,,Write in,0,,,,,
Bartholomew,Pct. 0200,State Auditor,,R,Tera Klutz,388,,,,,
Bartholomew,Pct. 0200,State Auditor,,D,Joselyn Whitticker,257,,,,,
Bartholomew,Pct. 0200,State Auditor,,L,John Schick,16,,,,,
Bartholomew,Pct. 0200,State Treasurer,,R,Kelly Mitchell,400,,,,,
Bartholomew,Pct. 0200,State Treasurer,,D,John C. Aguilera,255,,,,,
Bartholomew,Pct. 0200,State Treasurer,,,Page Of 3,Election,,,,,
Bartholomew,Pct. 0250,U.S. House,6,,6,States,,,,,
Bartholomew,Pct. 0250,U.S. House,6,R,Greg Pence,350,,,,,
Bartholomew,Pct. 0250,U.S. House,6,D,Jeannine Lee Lake,307,,,,,
Bartholomew,Pct. 0250,U.S. House,6,L,Tom Ferkinhoff,12,,,,,
Bartholomew,Pct. 0250,U.S. House,6,,Write in,0,,,,,
Bartholomew,Pct. 0250,U.S. Senate,,R,Mike Braun,93,,,,,
Bartholomew,Pct. 0250,U.S. Senate,,D,Joe Donnelly,148,,,,,
Bartholomew,Pct. 0250,U.S. Senate,,L,Lucy M. Brenton,20,,,,,
Bartholomew,Pct. 0250,U.S. Senate,,,Write in,0,,,,,
Bartholomew,Pct. 0250,State Auditor,,R,Tera Klutz,106,,,,,
Bartholomew,Pct. 0250,State Auditor,,D,Joselyn Whitticker,140,,,,,
Bartholomew,Pct. 0250,State Auditor,,,(l) John Schick,0,,,,,
Bartholomew,Pct. 0250,State Treasurer,,R,Kelly Mitchell,117,,,,,
Bartholomew,Pct. 0250,State Treasurer,,D,John C. Aguilera,137,,,,,
Bartholomew,Pct. 0250,State Treasurer,,,I Page 1 Of 3,Election,,,,,
Bartholomew,Pct. 0250,State Treasurer,,R,Greg Pence,100,,,,,
Bartholomew,Pct. 0250,State Treasurer,,D,Jeannine Lee Lake,151,,,,,
Bartholomew,Pct. 0250,State Treasurer,,L,Tom Ferkinhoff,8,,,,,
Bartholomew,Pct. 0250,State Treasurer,,,Write in,0,,,,,
Bartholomew,Pct. 0250,State Senate,41,R,Greg Walker,108,,,,,
Bartholomew,Pct. 0250,State Senate,41,D,Ross Thomas,152,,,,,
Bartholomew,Pct. 0250,State House,59,R,Ryan Lauer,95,,,,,
Bartholomew,Pct. 0250,State House,59,D,Dale Nowlin,153,,,,,
