county,precinct,office,district,candidate,party,election_day,absentee,early_voting,votes
Orange,French Lick East,Registered Voters,,,,,,,405
Orange,French Lick East,Ballots Cast,,,,131,31,39,201
Orange,French Lick East,President,,Trump / Pence,REP,80,15,18,113
Orange,French Lick East,President,,Biden / Harris,DEM,39,14,20,73
Orange,French Lick East,President,,Jorgensen / Cohen,LIB,11,0,0,11
Orange,French Lick East,President,,Write-In,,0,0,0,0
Orange,French Lick East,Governor,,Holcomb / Crouch,REP,72,17,16,105
Orange,French Lick East,Governor,,Myers / Lawson,DEM,30,9,21,60
Orange,French Lick East,Governor,,Rainwater II / Henry,LIB,24,1,1,26
Orange,French Lick East,Attorney General,,Todd Rokita,REP,77,17,17,111
Orange,French Lick East,Attorney General,,Jonathan Weinzapfel,DEM,40,10,20,70
Orange,French Lick East,U.S. House,9,Trey Hollingsworth,REP,78,19,17,114
Orange,French Lick East,U.S. House,9,Andy Ruff,DEM,33,10,21,64
Orange,French Lick East,U.S. House,9,Tonya L. Millis,LIB,15,0,0,15
Orange,French Lick East,U.S. House,9,Write-In,,0,0,0,0
Orange,French Lick East,State Representative,74,Stephen R. Bartels,REP,94,19,20,133
Orange,French Lick East,State Representative,74,No Candidate Filed,DEM,0,0,0,0
Orange,West Baden,Registered Voters,,,,,,,734
Orange,West Baden,Ballots Cast,,,,289,50,119,458
Orange,West Baden,President,,Trump / Pence,REP,211,27,73,311
Orange,West Baden,President,,Biden / Harris,DEM,68,21,43,132
Orange,West Baden,President,,Jorgensen / Cohen,LIB,6,1,1,8
Orange,West Baden,President,,Write-In,,0,0,0,0
Orange,West Baden,Governor,,Holcomb / Crouch,REP,184,26,67,277
Orange,West Baden,Governor,,Myers / Lawson,DEM,52,16,41,109
Orange,West Baden,Governor,,Rainwater II / Henry,LIB,49,5,11,65
Orange,West Baden,Attorney General,,Todd Rokita,REP,211,29,72,312
Orange,West Baden,Attorney General,,Jonathan Weinzapfel,DEM,65,18,43,126
Orange,West Baden,U.S. House,9,Trey Hollingsworth,REP,202,28,71,301
Orange,West Baden,U.S. House,9,Andy Ruff,DEM,68,20,45,133
Orange,West Baden,U.S. House,9,Tonya L. Millis,LIB,12,2,1,15
Orange,West Baden,U.S. House,9,Write-In,,0,0,0,0
Orange,West Baden,State Representative,74,Stephen R. Bartels,REP,226,31,84,341
Orange,West Baden,State Representative,74,No Candidate Filed,DEM,0,0,0,0
Orange,French Lick North,Registered Voters,,,,,,,699
Orange,French Lick North,Ballots Cast,,,,250,86,134,470
Orange,French Lick North,President,,Trump / Pence,REP,192,48,100,340
Orange,French Lick North,President,,Biden / Harris,DEM,46,35,32,113
