county,precinct,office,district,candidate,party,election_day,absentee,early_voting,votes
Spencer,Carter 1,Registered Voters,,,,,,,545
Spencer,Carter 1,Ballots Cast,,,,143,74,202,419
Spencer,Carter 1,President,,Trump / Pence,REP,120,24,148,292
Spencer,Carter 1,President,,Biden / Harris,DEM,20,43,48,111
Spencer,Carter 1,President,,Jorgensen / Cohen,LIB,2,3,6,11
Spencer,Carter 1,President,,Write-In,,0,0,0,0
Spencer,Carter 1,Governor,,Holcomb / Crouch,REP,102,34,138,274
Spencer,Carter 1,Governor,,Myers / Lawson,DEM,12,32,34,78
Spencer,Carter 1,Governor,,Rainwater II / Henry,LIB,23,3,27,53
Spencer,Carter 1,Attorney General,,Todd Rokita,REP,98,19,109,226
Spencer,Carter 1,Attorney General,,Jonathan Weinzapfel,DEM,34,50,84,168
Spencer,Carter 1,U.S. House,8,Larry D. Bucshon,REP,111,29,148,288
Spencer,Carter 1,U.S. House,8,E. Thomasina Marsili,DEM,26,38,42,106
Spencer,Carter 1,U.S. House,8,James D. Rodenberger,LIB,3,1,8,12
Spencer,Carter 1,U.S. House,8,Write-In,,0,0,0,0
Spencer,Carter 1,State Representative,74,Stephen R. Bartels,REP,126,43,168,337
Spencer,Carter 1,State Representative,74,No Candidate Filed,DEM,0,0,0,0
Spencer,Carter 2,Registered Voters,,,,,,,433
Spencer,Carter 2,Ballots Cast,,,,163,29,76,268
Spencer,Carter 2,President,,Trump / Pence,REP,119,16,56,191
Spencer,Carter 2,President,,Biden / Harris,DEM,40,13,19,72
Spencer,Carter 2,President,,Jorgensen / Cohen,LIB,3,0,0,3
Spencer,Carter 2,President,,Write-In,,0,0,0,0
Spencer,Carter 2,Governor,,Holcomb / Crouch,REP,117,18,54,189
Spencer,Carter 2,Governor,,Myers / Lawson,DEM,28,9,17,54
Spencer,Carter 2,Governor,,Rainwater II / Henry,LIB,15,1,5,21
Spencer,Carter 2,Attorney General,,Todd Rokita,REP,104,14,48,166
Spencer,Carter 2,Attorney General,,Jonathan Weinzapfel,DEM,53,12,26,91
Spencer,Carter 2,U.S. House,8,Larry D. Bucshon,REP,108,16,53,177
Spencer,Carter 2,U.S. House,8,E. Thomasina Marsili,DEM,43,11,22,76
Spencer,Carter 2,U.S. House,8,James D. Rodenberger,LIB,8,0,1,9
Spencer,Carter 2,U.S. House,8,Write-In,,0,0,0,0
Spencer,Carter 2,State Representative,74,Stephen R. Bartels,REP,142,23,65,230
Spencer,Carter 2,State Representative,74,No Candidate Filed,DEM,0,0,0,0
Spencer,Carter 3,Registered Voters,,,,,,,876
Spencer,Carter 3,Ballots Cast,,,,301,101,224,626
