county,office,district,candidate,party,votes
Adams,U.S. Senator,,"Don Bates, Jr.",Republican,56
Adams,U.S. Senator,,Richard Behney,Republican,74
Adams,U.S. Senator,,Dan Coats,Republican,1733
Adams,U.S. Senator,,John N. Hostettler,Republican,277
Adams,U.S. Senator,,Marlin A. Stutzman,Republican,1162
Adams,U.S. House,3,Thomas Hayhurst,Democratic,0
Adams,U.S. House,3,Thomas Allen Schrader,Democratic,0
Adams,U.S. House,3,Gregory (Greg) Dickman,Republican,0
Adams,U.S. House,3,Mark Edward Souder,Republican,0
Adams,U.S. House,3,Bob Thomas,Republican,0
Adams,U.S. House,3,Phillip J. (Phil) Troyer,Republican,0
Adams,State Senator,19,Travis Holdman,Republican,2512
Adams,State House,79,Matthew S. Lehman,Republican,2849
Adams,Prosecuting Attorney,Adams 26Th Circuit,Christopher E. Harvey,Democratic,905
Allen,U.S. Senator,,"Don Bates, Jr.",Republican,559
Allen,U.S. Senator,,Richard Behney,Republican,476
Allen,U.S. Senator,,Dan Coats,Republican,16933
Allen,U.S. Senator,,John N. Hostettler,Republican,2941
Allen,U.S. Senator,,Marlin A. Stutzman,Republican,11592
Allen,U.S. House,3,Thomas Hayhurst,Democratic,5003
Allen,U.S. House,3,Thomas Allen Schrader,Democratic,768
Allen,U.S. House,3,Gregory (Greg) Dickman,Republican,668
Allen,U.S. House,3,Mark Edward Souder,Republican,16221
Allen,U.S. House,3,Bob Thomas,Republican,10435
Allen,U.S. House,3,Phillip J. (Phil) Troyer,Republican,4242
Allen,State Senator,14,Dennis K. Kruse,Republican,8177
Allen,State Senator,14,Thomas J. (Tom) Wyss,Republican,8216
Allen,State House,50,Ron Fusselman,Republican,0
Allen,State House,50,Daniel (Dan) J. Leonard,Republican,0
Allen,State House,50,Curtis L. Eastes,Republican,366
Allen,State House,50,Mike Obergfell,Republican,2057
Allen,State House,50,Audrey Queckboerner,Republican,2262
Allen,State House,50,Denny Worman,Republican,1765
Allen,Prosecuting Attorney,Allen 38Th Circuit,Karen E. Richards,Republican,26480
Bartholomew,U.S. Senator,,"Don Bates, Jr.",Republican,461
Bartholomew,U.S. Senator,,Richard Behney,Republican,354
Bartholomew,U.S. Senator,,Dan Coats,Republican,2598
Bartholomew,U.S. Senator,,John N. Hostettler,Republican,1699
Bartholomew,U.S. Senator,,Marlin A. Stutzman,Republican,2092
Bartholomew,U.S. House,6,George Thomas Holland,Democratic,452
Bartholomew,U.S. House,6,Barry Welsh,Democratic,563
Bartholomew,U.S. House,6,Mike Pence,Republican,4028
Bartholomew,State Senator,41,Chris Roller,Democratic,1532
Bartholomew,State Senator,41,Greg Walker,Republican,6299
Bartholomew,State Senator,41,Lindsay Patterson,Republican,0
Bartholomew,State House,57,Sean R. Eberhart,Republican,1924
Bartholomew,State House,57,Milo Smith,Republican,3231
Bartholomew,Judge Of The Circuit Court,Bartholomew 9Th Circuit,Stephen R. (Steve) Heimann,Democratic,1727
Bartholomew,Prosecuting Attorney,Bartholomew 9Th Circuit,William M. (Bill) Nash,Republican,6219
Benton,U.S. Senator,,"Don Bates, Jr.",Republican,69
Benton,U.S. Senator,,Richard Behney,Republican,60
Benton,U.S. Senator,,Dan Coats,Republican,569
Benton,U.S. Senator,,John N. Hostettler,Republican,294
Benton,U.S. Senator,,Marlin A. Stutzman,Republican,318
Benton,U.S. House,4,Tara E. Nelson,Democratic,0
Benton,U.S. House,4,Mark Powell,Democratic,0
Benton,U.S. House,4,David Sanders,Democratic,0
Benton,U.S. House,4,Jon Acton,Republican,0
Benton,U.S. House,4,Cheryl Denise Allen,Republican,0
Benton,U.S. House,4,Mike Campbell,Republican,0
Benton,U.S. House,4,Daniel L. Dunham,Republican,0
Benton,U.S. House,4,James T. (Jim) Hass,Republican,0
Benton,U.S. House,4,Charles E. Henderson,Republican,0
Benton,U.S. House,4,Brandt Hershman,Republican,0
Benton,U.S. House,4,Laron (Firefighter Laron) Keith,Republican,0
Benton,U.S. House,4,Todd Rokita,Republican,0
Benton,U.S. House,4,Mark Seitz,Republican,0
Benton,U.S. House,4,Phillip J. (Pj) Steffen,Republican,0
Benton,U.S. House,4,Eric L. Wathen,Republican,0
Benton,U.S. House,4,R. Michael Young,Republican,0
Benton,State Senator,6,Jim Metro,Democratic,88
Benton,State Senator,6,Sue Landske,Republican,821
Benton,State House,13,Chester F. Dobis,Democratic,0
Benton,State House,13,Richard L. Hardaway,Democratic,0
Benton,Prosecuting Attorney,Benton 76Th Circuit,John C. Wright,Republican,1025
Blackford,U.S. Senator,,"Don Bates, Jr.",Republican,32
Blackford,U.S. Senator,,Richard Behney,Republican,33
Blackford,U.S. Senator,,Dan Coats,Republican,540
Blackford,U.S. Senator,,John N. Hostettler,Republican,167
Blackford,U.S. Senator,,Marlin A. Stutzman,Republican,311
Blackford,U.S. House,3,Thomas Hayhurst,Democratic,0
Blackford,U.S. House,3,Thomas Allen Schrader,Democratic,0
Blackford,U.S. House,3,Gregory (Greg) Dickman,Republican,0
Blackford,U.S. House,3,Mark Edward Souder,Republican,0
Blackford,U.S. House,3,Bob Thomas,Republican,0
