county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee,federal
Greene,Beech Creek 1,U.S. Senate,,R,Mike Braun,226,,169,0,57,
Greene,Beech Creek 1,U.S. Senate,,D,Joe Donnelly,116,,81,o,35,
Greene,Beech Creek 1,U.S. Senate,,L,Lucy M. Brenton,15,,13,a,2,
Greene,Beech Creek 1,State Secretary,,R,Connie Lavvson,227,,170,0,57,
Greene,Beech Creek 1,State Secretary,,D,Jim Harper,109,,75,0,34,
Greene,Beech Creek 1,State Secretary,,L,Mark W. Rutherford,18,,15,0,3,
Greene,Beech Creek 1,State Auditor,,R,Tera Klutz,230,,173,0,57,
Greene,Beech Creek 1,State Auditor,,D,Joselyn Whitticker,111,,76,0,35,
Greene,Beech Creek 1,State Auditor,,L,John Schick,9,,9,0,0,
Greene,Beech Creek 1,State Treasurer,,R,Kelly Mitchell,236,,178,0,58,
Greene,Beech Creek 1,State Treasurer,,D,John C. Aguilera,114,,79,0,35,
Greene,Beech Creek 1,U.S. House,8,R,Larry D. Bucshon,242,,180,0,62,
Greene,Beech Creek 1,U.S. House,8,,Write in,0,,0,0,0,
Greene,Beech Creek 1,State Senate,39,R,Eric S. Bassler,264,,197,0,67,
Greene,Beech Creek 1,State Senate,39,D,No Candidate Filed,0,,0,0,0,
Greene,Beech Creek 1,State House,62,R,Jeff Ellington,230,,172,0,58,
Greene,Beech Creek 1,State House,62,D,Amy Swain,123,,88,0,35,
Greene,Beech Creek 2,U.S. Senate,,R,Mike Braun,258,,201,0,57,
Greene,Beech Creek 2,U.S. Senate,,D,Joe Donnelly,130,,95,0,35,
Greene,Beech Creek 2,U.S. Senate,,L,Lucy M. Brenton,12,,8,0,4,
Greene,Beech Creek 2,U.S. Senate,,,Write in,0,,0,0,0,
Greene,Beech Creek 2,State Secretary,,R,Connie Lawson,273,,213,0,60,
Greene,Beech Creek 2,State Secretary,,D,Jim Harper,117,,82,0,35,
Greene,Beech Creek 2,State Secretary,,L,Mark W. Rutherford,10,,9,0,1,
Greene,Beech Creek 2,State Secretary,,,Write in,0,,0,0,0,
Greene,Beech Creek 2,State Auditor,,R,Tera Klutz,267,,209,0,58,
Greene,Beech Creek 2,State Auditor,,D,Joselyn Whitticker,117,,81,0,36,
Greene,Beech Creek 2,State Auditor,,L,John Schick,3,,3,0,0,
Greene,Beech Creek 2,State Treasurer,,R,Kelly Mitchell,276,,217,0,59,
Greene,Beech Creek 2,State Treasurer,,D,John C. Aguilera,112,,77,0,35,
Greene,Beech Creek 2,U.S. House,8,R,Larry D. Bucshon,268,,210,0,58,
Greene,Beech Creek 2,U.S. House,8,,Write in,0,,0,0,0,
Greene,Beech Creek 2,State Senate,39,R,Eric S. Bassler,302,,236,0,66,
Greene,Beech Creek 2,State Senate,39,D,No Candidate Filed,0,,0,0,0,
Greene,Beech Creek 2,State House,62,R,Jeff Ellington,259,,205,0,54,
Greene,Beech Creek 2,State House,62,D,Amy Swain,138,,95,0,43,
Greene,Cass,U.S. Senate,,R,Mike Braun,48,,38,0,10,
Greene,Cass,U.S. Senate,,D,Joe Donnelly,39,,29,0,10,
Greene,Cass,U.S. Senate,,L,Lucy M. Brenton,5,,4,0,1,
Greene,Cass,U.S. Senate,,,Write in,0,,0,0,0,
Greene,Cass,State Secretary,,R,Connie Lawson,54,,41,0,13,
Greene,Cass,State Secretary,,D,Jim Harper,35,,27,0,8,
Greene,Cass,State Secretary,,L,Mark W. Rutherford,1,,1,0,0,
Greene,Cass,State Secretary,,,Write in,0,,0,0,0,
Greene,Cass,State Auditor,,R,Tera Klutz,47,,36,0,11,
Greene,Cass,State Auditor,,D,Joselyn Whitticker,35,,30,0,5,
Greene,Cass,State Auditor,,L,John Schick,4,,3,0,1,
Greene,Cass,State Treasurer,,R,Kelly Mitchell,56,,43,0,13,
Greene,Cass,State Treasurer,,D,John C. Aguilera,31,,26,0,5,
Greene,Cass,U.S. House,8,R,Larry D. Bucshon,58,,45,0,13,
Greene,Cass,U.S. House,8,,Write in,0,,0,0,0,
Greene,Cass,State Senate,39,R,Eric S. Bassler,64,,49,0,15,
Greene,Cass,State Senate,39,D,No Candidate Filed,0,,0,0,0,
Greene,Cass,State House,62,R,Jeff Ellington,52,,41,0,11,
Greene,Cass,State House,62,D,Amy Swain,39,,30,0,9,
Greene,Center 1,U.S. Senate,,R,Mike Braun,203,,158,0,45,
Greene,Center 1,U.S. Senate,,D,Joe Donnelly,119,,77,0,42,
Greene,Center 1,U.S. Senate,,L,Lucy M. Brenton,11,,11,0,0,
Greene,Center 1,U.S. Senate,,,Write in,0,,0,0,0,
Greene,Center 1,State Secretary,,R,Connie Lawson,214,,170,0,44,
Greene,Center 1,State Secretary,,D,Jim Harper,100,,58,0,42,
Greene,Center 1,State Secretary,,L,Mark W. Rutherford,14,,12,0,2,
Greene,Center 1,State Secretary,,,Write in,0,,0,0,0,
Greene,Center 1,State Auditor,,R,Tera Klutz,213,,166,0,47,
Greene,Center 1,State Auditor,,D,Joselyn Whitticker,97,,57,0,40,
Greene,Center 1,State Auditor,,L,John Schick,12,,11,0,1,
Greene,Center 1,State Treasurer,,R,Kelly Mitchell,223,,174,0,49,
Greene,Center 1,State Treasurer,,D,John C. Aguilera,92,,54,0,38,
Greene,Center 1,U.S. House,8,R,Larry D. Bucshon,223,,173,0,50,
Greene,Center 1,U.S. House,8,,Write in,1,,1,0,0,
Greene,Center 1,State Senate,39,R,Eric S. Bassler,236,,184,0,52,
Greene,Center 1,State Senate,39,D,No Candidate Filed,0,,0,0,0,
Greene,Center 1,State House,62,R,Jeff Ellington,203,,161,0,42,
Greene,Center 1,State House,62,D,Amy Swain,126,,79,0,47,
Greene,Center 2,U.S. Senate,,R,Mike Braun,445,,293,0,152,
Greene,Center 2,U.S. Senate,,D,Joe Donnelly,219,,117,0,102,
Greene,Center 2,U.S. Senate,,L,Lucy M. Brenton,38,,25,0,13,
Greene,Center 2,U.S. Senate,,,Write in,0,,0,0,0,
Greene,Center 2,State Secretary,,R,Connie Lawson,469,,307,0,162,
Greene,Center 2,State Secretary,,D,Jim Harper,198,,106,0,92,
Greene,Center 2,State Secretary,,L,Mark W. Rutherford,24,,13,0,11,
Greene,Center 2,State Secretary,,,Write in,0,,0,0,0,
Greene,Center 2,State Auditor,,R,Tera Klutz,451,,300,0,151,
Greene,Center 2,State Auditor,,D,Joselyn Whitticker,196,,98,0,98,
Greene,Center 2,State Auditor,,L,John Schick,31,,20,0,11,
Greene,Center 2,State Treasurer,,R,Kelly Mitchell,479,,319,0,160,
Greene,Center 2,State Treasurer,,D,John C. Aguilera,200,,99,0,101,
Greene,Center 2,U.S. House,8,R,Larry D. Bucshon,489,,321,0,168,
Greene,Center 2,U.S. House,8,,Write in,0,,0,0,0,
Greene,Center 2,State Senate,39,R,Eric S. Bassler,556,,359,0,197,
Greene,Center 2,State Senate,39,D,No Candidate Filed,0,,0,0,0,
Greene,Center 2,State House,62,R,Jeff Ellington,463,,306,0,157,
Greene,Center 2,State House,62,D,Amy Swain,237,,127,0,110,
Greene,Fairplay,U.S. Senate,,R,Mike Braun,146,,115,0,31,
Greene,Fairplay,U.S. Senate,,D,Joe Donnelly,83,,62,0,21,
Greene,Fairplay,U.S. Senate,,L,Lucy M. Brenton,9,,9,0,0,
Greene,Fairplay,U.S. Senate,,,Write in,0,,0,0,0,
Greene,Fairplay,State Secretary,,R,Connie Lawson,158,,127,0,31,
Greene,Fairplay,State Secretary,,D,Jim Harper,74,,54,0,20,
Greene,Fairplay,State Secretary,,L,Mark W. Rutherford,5,,5,0,0,
Greene,Fairplay,State Secretary,,,Write in,0,,0,0,0,
Greene,Fairplay,State Auditor,,R,Tera Klutz,151,,124,0,27,
Greene,Fairplay,State Auditor,,D,Joselyn Whitticker,75,,55,0,20,
Greene,Fairplay,State Auditor,,L,John Schick,6,,4,0,2,
Greene,Fairplay,State Treasurer,,R,Kelly Mitchell,155,,125,0,30,
Greene,Fairplay,State Treasurer,,D,John C. Aguilera,72,,54,0,18,
Greene,Fairplay,U.S. House,8,R,Larry D. Bucshon,166,,136,0,30,
Greene,Fairplay,U.S. House,8,,Write in,0,,0,0,0,
Greene,Fairplay,State Senate,39,R,Eric S. Bassler,181,,148,0,33,
Greene,Fairplay,State Senate,39,D,No Candidate Filed,0,,0,0,0,
Greene,Fairplay,State House,62,R,Jeff Ellington,167,,135,0,32,
Greene,Fairplay,State House,62,D,Amy Swain,72,,53,0,19,
Greene,Grant,U.S. Senate,,R,Mike Braun,193,,134,0,59,
Greene,Grant,U.S. Senate,,D,Joe Donnelly,59,,40,0,19,
Greene,Grant,U.S. Senate,,L,Lucy M. Brenton,8,,8,0,0,
Greene,Grant,U.S. Senate,,,Write in,0,,0,0,0,
Greene,Grant,State Secretary,,R,Connie Lawson,203,,143,0,60,
Greene,Grant,State Secretary,,D,Jim Harper,48,,33,0,15,
Greene,Grant,State Secretary,,L,Mark W. Rutherford,7,,5,0,2,
Greene,Grant,State Secretary,,,Write in,0,,0,0,0,
Greene,Grant,State Auditor,,R,Tera Klutz,202,,140,0,62,
Greene,Grant,State Auditor,,D,Joselyn Whitticker,50,,35,0,15,
Greene,Grant,State Auditor,,L,John Schick,4,,3,0,1,
Greene,Grant,State Treasurer,,R,Kelly Mitchell,206,,146,0,60,
Greene,Grant,State Treasurer,,D,John C. Aguilera,51,,33,0,18,
Greene,Grant,U.S. House,8,R,Larry D. Bucshon,208,,146,0,62,
Greene,Grant,U.S. House,8,,Write in,0,,0,0,0,
Greene,Grant,State Senate,39,R,Eric S. Bassler,223,,158,0,65,
Greene,Grant,State Senate,39,D,No Candidate Filed,0,,0,0,0,
Greene,Grant,State House,62,R,Jeff Ellington,200,,141,0,59,
Greene,Grant,State House,62,D,Amy Swain,59,,40,0,19,
Greene,Highland,U.S. Senate,,R,Mike Braun,177,,119,0,58,
Greene,Highland,U.S. Senate,,D,Joe Donnelly,59,,34,0,25,
Greene,Highland,U.S. Senate,,L,Lucy M. Brenton,15,,5,0,10,
Greene,Highland,U.S. Senate,,,Write in,0,,0,0,0,
Greene,Highland,State Secretary,,R,Connie Lawson,181,,121,0,60,
Greene,Highland,State Secretary,,D,Jim Harper,53,,28,0,25,
Greene,Highland,State Secretary,,L,Mark W. Rutherford,11,,5,0,6,
Greene,Highland,State Secretary,,,Write in,0,,0,0,0,
Greene,Highland,State Auditor,,R,Tera Klutz,180,,123,0,57,
Greene,Highland,State Auditor,,D,Joselyn Whitticker,53,,28,0,25,
Greene,Highland,State Auditor,,L,John Schick,10,,5,0,5,
Greene,Highland,State Treasurer,,R,Kelly Mitchell,188,,127,0,61,
Greene,Highland,State Treasurer,,D,John C. Aguilera,52,,28,0,24,
Greene,Highland,U.S. House,8,R,Larry D. Bucshon,191,,128,0,63,
Greene,Highland,U.S. House,8,,Write in,0,,0,0,0,
Greene,Highland,State Senate,39,R,Eric S. Bassler,205,,139,0,66,
Greene,Highland,State Senate,39,D,No Candidate Filed,0,,0,0,0,
Greene,Highland,State House,62,R,Jeff Ellington,183,,123,0,60,
Greene,Highland,State House,62,D,Amy Swain,62,,33,0,29,
Greene,Jackson,U.S. Senate,,R,Mike Braun,425,,307,0,118,
Greene,Jackson,U.S. Senate,,D,Joe Donnelly,206,,140,0,66,
Greene,Jackson,U.S. Senate,,L,Lucy M. Brenton,19,,16,0,3,
Greene,Jackson,U.S. Senate,,,Write in,0,,0,0,0,
Greene,Jackson,State Secretary,,R,Connie Lawson,440,,318,0,122,
Greene,Jackson,State Secretary,,D,Jim Harper,171,,117,0,54,
Greene,Jackson,State Secretary,,L,Mark W. Rutherford,23,,17,0,6,
Greene,Jackson,State Secretary,,,Write in,1,,0,0,1,
Greene,Jackson,State Auditor,,R,Tera Klutz,425,,310,0,115,
Greene,Jackson,State Auditor,,D,Joselyn Whitticker,172,,112,0,60,
Greene,Jackson,State Auditor,,L,John Schick,24,,17,0,7,
Greene,Jackson,State Treasurer,,R,Kelly Mitchell,454,,329,0,125,
Greene,Jackson,State Treasurer,,D,John C. Aguilera,168,,111,0,57,
Greene,Jackson,U.S. House,8,R,Larry D. Bucshon,455,,330,0,125,
Greene,Jackson,U.S. House,8,,Write in,0,,0,0,0,
Greene,Jackson,State Senate,39,R,Eric S. Bassler,497,,362,0,135,
Greene,Jackson,State Senate,39,D,No Candidate Filed,0,,0,0,0,
Greene,Jackson,State House,62,R,Jeff Ellington,443,,322,0,121,
Greene,Jackson,State House,62,D,Amy Swain,196,,132,0,64,
Greene,Jefferson 1,U.S. Senate,,R,Mike Braun,244,,192,0,52,
Greene,Jefferson 1,U.S. Senate,,D,Joe Donnelly,118,,89,0,29,
Greene,Jefferson 1,U.S. Senate,,L,Lucy M. Brenton,25,,20,0,5,
Greene,Jefferson 1,U.S. Senate,,,Write in,0,,0,0,0,
Greene,Jefferson 1,State Secretary,,R,Connie Lawson,260,,207,0,53,
Greene,Jefferson 1,State Secretary,,D,Jim Harper,97,,70,0,27,
Greene,Jefferson 1,State Secretary,,L,Mark W. Rutherford,19,,17,0,2,
Greene,Jefferson 1,State Secretary,,,Write in,0,,0,0,0,
Greene,Jefferson 1,State Auditor,,R,Tera Klutz,259,,203,0,56,
Greene,Jefferson 1,State Auditor,,D,Joselyn Whitticker,96,,66,0,30,
Greene,Jefferson 1,State Auditor,,L,John Schick,9,,9,0,0,
Greene,Jefferson 1,State Treasurer,,R,Kelly Mitchell,270,,213,0,57,
Greene,Jefferson 1,State Treasurer,,D,John C. Aguilera,97,,69,0,28,
Greene,Jefferson 1,U.S. House,8,R,Larry D. Bucshon,279,,222,0,57,
Greene,Jefferson 1,U.S. House,8,,Write in,0,,0,0,0,
Greene,Jefferson 1,State Senate,39,R,Eric S. Bassler,320,,251,0,69,
Greene,Jefferson 1,State Senate,39,D,No Candidate Filed,0,,0,0,0,
Greene,Jefferson 1,State House,62,R,Jeff Ellington,257,,201,0,56,
Greene,Jefferson 1,State House,62,D,Amy Swain,124,,94,0,30,
Greene,Jefferson 2,U.S. Senate,,R,Mike Braun,207,,155,0,52,
Greene,Jefferson 2,U.S. Senate,,D,Joe Donnelly,102,,75,0,27,
Greene,Jefferson 2,U.S. Senate,,L,Lucy M. Brenton,32,,29,0,3,
Greene,Jefferson 2,U.S. Senate,,,Write in,0,,0,0,0,
Greene,Jefferson 2,State Secretary,,R,Connie Lawson,231,,176,0,55,
Greene,Jefferson 2,State Secretary,,D,Jim Harper,93,,69,0,24,
Greene,Jefferson 2,State Secretary,,L,Mark W. Rutherford,11,,9,0,2,
Greene,Jefferson 2,State Secretary,,,Write in,0,,0,0,0,
Greene,Jefferson 2,State Auditor,,R,Tera Klutz,219,,162,0,57,
Greene,Jefferson 2,State Auditor,,D,Joselyn Whitticker,92,,72,0,20,
Greene,Jefferson 2,State Auditor,,L,John Schick,16,,13,0,3,
