candidate,office,district,party,county,precinct,registered_voters,machine_votes,absentee_votes,provisional_votes
Yes,Public Question,,,Warrick,Anderson,851,230,41,0
No,Public Question,,,Warrick,Anderson,851,103,14,0
Mike Braun,U.S. Senate,,R,Warrick,Anderson,851,252,51,0
Joe Donnelly,U.S. Senate,,D,Warrick,Anderson,851,141,30,0
Lucy M. Brenton,U.S. Senate,,L,Warrick,Anderson,851,17,1,0
Write-In,U.S. Senate,,,Warrick,Anderson,851,0,0,0
Connie Lawson,Secretary of State,,R,Warrick,Anderson,851,269,51,0
Jim Harper,Secretary of State,,D,Warrick,Anderson,851,123,25,0
Mark W. Rutherford,Secretary of State,,L,Warrick,Anderson,851,12,4,0
Write-In,Secretary of State,,,Warrick,Anderson,851,1,0,0
Tera Klutz,Auditor of State,,R,Warrick,Anderson,851,263,51,0
Joselyn Whitticker,Auditor of State,,D,Warrick,Anderson,851,122,27,0
John Schick,Auditor of State,,L,Warrick,Anderson,851,15,2,0
Kelly Mitchell,Treasurer of State,,R,Warrick,Anderson,851,284,53,0
John C. Aguilera,Treasurer of State,,D,Warrick,Anderson,851,117,27,0
Larry D. Bucshon,U.S. House,8,R,Warrick,Anderson,851,279,51,0
William Tanoos,U.S. House,8,D,Warrick,Anderson,851,129,29,0
Write-In,U.S. House,8,,Warrick,Anderson,851,0,0,0
Mark Messmer,State Senate,48,R,Warrick,Anderson,851,329,58,0
No Candidate Filed,State Senate,48,D,Warrick,Anderson,851,0,0,0
Ron Bacon,State House,75,R,Warrick,Anderson,851,266,50,0
John Hurley,State House,75,D,Warrick,Anderson,851,140,31,0
J. Zach Winsett,Judge of Superior Court No. 1,,R,Warrick,Anderson,851,334,60,0
No Candidate Filed,Judge of Superior Court No. 1,,D,Warrick,Anderson,851,0,0,0
Amy Steinkamp Miskimen,Judge of Superior Court No. 2,,R,Warrick,Anderson,851,335,59,0
No Candidate Filed,Judge of Superior Court No. 2,,D,Warrick,Anderson,851,0,0,0
Michael J. Perry,Prosecuting Attorney 2nd Circuit,,R,Warrick,Anderson,851,330,59,0
No Candidate Filed,Prosecuting Attorney 2nd Circuit,,D,Warrick,Anderson,851,0,0,0
"Deborah ""Debbie"" Stevens",County Auditor,,R,Warrick,Anderson,851,269,51,0
Chelsea Ballis,County Auditor,,D,Warrick,Anderson,851,132,30,0
Michael Wilder,County Sheriff,,R,Warrick,Anderson,851,339,58,0
No Candidate Filed,County Sheriff,,D,Warrick,Anderson,851,0,0,0
Sarah E. Redman,County Assessor,,R,Warrick,Anderson,851,338,59,0
No Candidate Filed,County Assessor,,D,Warrick,Anderson,851,0,0,0
Terry Phillippe,Co Commissioner,2,R,Warrick,Anderson,851,257,49,0
Mark Warren,Co Commissioner,2,D,Warrick,Anderson,851,143,32,0
Greg Richmond,County Council,3,R,Warrick,Anderson,851,262,50,0
Jenni Ransom,County Council,3,D,Warrick,Anderson,851,142,31,0
