county,office,district,candidate,party,votes
Adams,Secretary Of State,,John Fernandez,Democratic,3577
Adams,Secretary Of State,,Rebecca Sink-Burris,Libertarian,367
Adams,Secretary Of State,,Todd Rokita,Republican,5297
Adams,Auditor Of State,,Barbara Huston,Democratic,3254
Adams,Auditor Of State,,Bruce A Parisi,Libertarian,235
Adams,Auditor Of State,,Connie K Nass,Republican,5695
Adams,Treasurer Of State,,Day Smith,Democratic,2917
Adams,Treasurer Of State,,Sam Goldstein,Libertarian,379
Adams,Treasurer Of State,,Tim Berry,Republican,5871
Adams,Clerk Of The Supreme Court,,Jon Bond,Democratic,3129
Adams,Clerk Of The Supreme Court,,Lisa L Tennies,Libertarian,433
Adams,Clerk Of The Supreme Court,,Brian Bishop,Republican,5569
Adams,U.S. House,3,Jay Rigdon,Democratic,0
Adams,U.S. House,3,Mike Donlan,Libertarian,0
Adams,U.S. House,3,Mark E Souder,Republican,0
Adams,State Senator,19,David Dave Jones,Democratic,3208
Adams,State Senator,19,David C Ford,Republican,6084
Adams,State House,79,Michael A Ripley,Republican,6619
Adams,Judge Of The Superior Court,Adams County,James A Heimann,Democratic,4817
Adams,Judge Of The Superior Court,Adams County,Patrick R Miller,Republican,4679
Adams,Prosecuting Attorney,Adams 26Th Circuit,Christopher E Harvey,Democratic,6762
Adams,Clerk Of The Circuit Court,Adams County,Nanette S Nidlinger,Republican,7667
Adams,County Sheriff,Adams County,"Charles E Chuck Padgett, Jr.",Republican,4891
Adams,County Surveyor,Adams County,Paul Norr,Republican,5723
Adams,County Assessor,Adams County,Judith E Affolder,Democratic,6964
Adams,State Convention Delegate,Adams County,Jeremy W Brown,Republican,0
Adams,State Convention Delegate,Adams County,Susan Price Miller,Republican,0
Adams,State Convention Delegate,Adams County,Joseph E Spauling,Republican,0
Allen,Secretary Of State,,John Fernandez,Democratic,24323
Allen,Secretary Of State,,Rebecca Sink-Burris,Libertarian,2565
Allen,Secretary Of State,,Todd Rokita,Republican,39255
