county,precinct,office,district,candidate,party,absentee,election_day,provisional,votes
Grant,001-CENTER 1,U.S. Senate,,MIKE BRAUN,REP,26,7,0,33
Grant,002-CENTER 2,U.S. Senate,,MIKE BRAUN,REP,19,6,0,25
Grant,003-CENTER 3,U.S. Senate,,MIKE BRAUN,REP,5,2,0,7
Grant,004-CENTER 4,U.S. Senate,,MIKE BRAUN,REP,23,3,0,26
Grant,005-CENTER 5,U.S. Senate,,MIKE BRAUN,REP,14,7,0,21
Grant,006-CENTER 6,U.S. Senate,,MIKE BRAUN,REP,11,7,0,18
Grant,007-CENTER 7,U.S. Senate,,MIKE BRAUN,REP,20,4,0,24
Grant,008-CENTER 8,U.S. Senate,,MIKE BRAUN,REP,14,1,0,15
Grant,009-CENTER 9,U.S. Senate,,MIKE BRAUN,REP,10,5,0,15
Grant,010-CENTER 10,U.S. Senate,,MIKE BRAUN,REP,37,13,0,50
Grant,011-CENTER 11,U.S. Senate,,MIKE BRAUN,REP,27,10,0,37
Grant,012-CENTER 12,U.S. Senate,,MIKE BRAUN,REP,27,11,0,38
Grant,013-CENTER 13,U.S. Senate,,MIKE BRAUN,REP,21,3,0,24
Grant,014-CENTER 14,U.S. Senate,,MIKE BRAUN,REP,16,9,0,25
Grant,015-CENTER 15,U.S. Senate,,MIKE BRAUN,REP,19,3,0,22
Grant,016-CENTER 16,U.S. Senate,,MIKE BRAUN,REP,17,1,0,18
Grant,017-CENTER 17,U.S. Senate,,MIKE BRAUN,REP,35,25,0,60
Grant,018-CENTER 18,U.S. Senate,,MIKE BRAUN,REP,31,16,0,47
Grant,019-CENTER 19,U.S. Senate,,MIKE BRAUN,REP,38,10,0,48
Grant,020-CENTER 20,U.S. Senate,,MIKE BRAUN,REP,6,2,0,8
Grant,024-CENTER 24,U.S. Senate,,MIKE BRAUN,REP,7,2,0,9
Grant,025-FAIRMOUNT 1,U.S. Senate,,MIKE BRAUN,REP,41,8,0,49
Grant,026-FAIRMOUNT 2,U.S. Senate,,MIKE BRAUN,REP,55,2,0,57
Grant,027-FAIRMOUNT 3,U.S. Senate,,MIKE BRAUN,REP,31,4,0,35
Grant,028-FA1RMOUNT 4,U.S. Senate,,MIKE BRAUN,REP,19,8,0,27
Grant,029-FRANKLIN 1,U.S. Senate,,MIKE BRAUN,REP,9,2,0,11
Grant,030-FRANKLIN 2,U.S. Senate,,MIKE BRAUN,REP,18,14,0,32
Grant,031-FRANKLIN 3,U.S. Senate,,MIKE BRAUN,REP,19,2,0,21
Grant,032-FRANKLIN 4,U.S. Senate,,MIKE BRAUN,REP,27,9,0,36
Grant,033-FRANKLIN 5,U.S. Senate,,MIKE BRAUN,REP,40,9,0,49
Grant,034-FRANKLIN 6,U.S. Senate,,MIKE BRAUN,REP,16,4,0,20
Grant,035-FRANKLIN 7,U.S. Senate,,MIKE BRAUN,REP,5,2,0,7
Grant,037-GREEN,U.S. Senate,,MIKE BRAUN,REP,24,1,0,25
Grant,038-JEFFERSON 1,U.S. Senate,,MIKE BRAUN,REP,47,11,0,58
Grant,039-JEFFERSON 2,U.S. Senate,,MIKE BRAUN,REP,51,3,0,54
Grant,040-JEFFERSON 3,U.S. Senate,,MIKE BRAUN,REP,24,4,0,28
Grant,041-LIBERTY,U.S. Senate,,MIKE BRAUN,REP,43,10,0,53
Grant,042-MILL 1,U.S. Senate,,MIKE BRAUN,REP,24,9,0,33
Grant,043-MILL 2,U.S. Senate,,MIKE BRAUN,REP,21,8,0,29
Grant,044-MILL 3,U.S. Senate,,MIKE BRAUN,REP,39,11,0,50
Grant,045-MILL 4,U.S. Senate,,MIKE BRAUN,REP,28,9,0,37
Grant,046-MILL 5,U.S. Senate,,MIKE BRAUN,REP,35,4,0,39
Grant,047-MILL 6,U.S. Senate,,MIKE BRAUN,REP,24,6,0,30
Grant,048-MILL 7,U.S. Senate,,MIKE BRAUN,REP,35,4,0,39
Grant,049-M1LL 8,U.S. Senate,,MIKE BRAUN,REP,13,0,0,13
Grant,050-MILL 9,U.S. Senate,,MIKE BRAUN,REP,9,0,0,9
Grant,051-MILL 10,U.S. Senate,,MIKE BRAUN,REP,24,5,0,29
Grant,052-MILL 11,U.S. Senate,,MIKE BRAUN,REP,0,0,0,0
Grant,053-MONROE 1,U.S. Senate,,MIKE BRAUN,REP,51,16,0,67
Grant,055-PLEASANT 1,U.S. Senate,,MIKE BRAUN,REP,45,14,0,59
Grant,056-PLEASANT 2,U.S. Senate,,MIKE BRAUN,REP,45,13,0,58
Grant,057-PLEASANT 3,U.S. Senate,,MIKE BRAUN,REP,52,19,0,71
Grant,058-PLEASANT 4,U.S. Senate,,MIKE BRAUN,REP,22,12,0,34
Grant,059-PLEASANT 5,U.S. Senate,,MIKE BRAUN,REP,26,5,0,31
Grant,060-PLEASANT 6,U.S. Senate,,MIKE BRAUN,REP,35,9,0,44
Grant,061-PLEASANT 7,U.S. Senate,,MIKE BRAUN,REP,25,9,0,34
Grant,062-RICHLAND,U.S. Senate,,MIKE BRAUN,REP,27,9,0,36
Grant,063-SIMS,U.S. Senate,,MIKE BRAUN,REP,74,15,0,89
Grant,064-VAN BUREN,U.S. Senate,,MIKE BRAUN,REP,80,11,0,91
Grant,065-WASHINGTON 1,U.S. Senate,,MIKE BRAUN,REP,21,5,0,26
Grant,066-WASHINGTON 2,U.S. Senate,,MIKE BRAUN,REP,21,3,0,24
Grant,067-WASHINGTON 3,U.S. Senate,,MIKE BRAUN,REP,46,11,0,57
Grant,068-WASHINGTON 4,U.S. Senate,,MIKE BRAUN,REP,36,1,0,37
Grant,Total,U.S. Senate,,MIKE BRAUN,REP,1750,448,0,2198
Grant,001-CENTER 1,U.S. Senate,,LUKE MESSER,REP,18,4,0,22
Grant,002-CENTER 2,U.S. Senate,,LUKE MESSER,REP,22,9,0,31
Grant,003-CENTER 3,U.S. Senate,,LUKE MESSER,REP,7,3,0,10
Grant,004-CENTER 4,U.S. Senate,,LUKE MESSER,REP,15,7,0,22
Grant,005-CENTER 5,U.S. Senate,,LUKE MESSER,REP,19,3,0,22
Grant,006-CENTER 6,U.S. Senate,,LUKE MESSER,REP,13,5,0,18
Grant,007-CENTER 7,U.S. Senate,,LUKE MESSER,REP,20,4,0,24
Grant,008-CENTER 8,U.S. Senate,,LUKE MESSER,REP,15,2,0,17
Grant,009-CENTER 9,U.S. Senate,,LUKE MESSER,REP,13,5,0,18
Grant,010-CENTER 10,U.S. Senate,,LUKE MESSER,REP,47,4,0,51
Grant,011-CENTER 11,U.S. Senate,,LUKE MESSER,REP,31,10,0,41
Grant,012-CENTER 12,U.S. Senate,,LUKE MESSER,REP,48,15,0,63
Grant,013-CENTER 13,U.S. Senate,,LUKE MESSER,REP,26,5,0,31
Grant,014-CENTER 14,U.S. Senate,,LUKE MESSER,REP,25,1,0,26
Grant,015-CENTER 15,U.S. Senate,,LUKE MESSER,REP,18,6,0,24
Grant,016-CENTER 16,U.S. Senate,,LUKE MESSER,REP,8,0,0,8
Grant,017-CENTER 17,U.S. Senate,,LUKE MESSER,REP,25,21,0,46
Grant,018-CENTER 18,U.S. Senate,,LUKE MESSER,REP,69,22,0,91
