precinct,office,district,candidate,party,votes,election_day,absentee,provisional
0001 BIGGER,Registered Voters,,,,416,,,
0001 BIGGER,BALLOTS CAST - TOTAL,,,,226,171,55,0
0001 BIGGER,PUBLIC QUESTION #1,,YES,,109,82,27,0
0001 BIGGER,PUBLIC QUESTION #1,,NO,,53,43,10,0
0001 BIGGER,STRAIGHT PARTY,,REPUBLICAN,REP,51,41,10,0
0001 BIGGER,STRAIGHT PARTY,,DEMOCRATIC,DEM,12,8,4,0
0001 BIGGER,STRAIGHT PARTY,,LIBERTARIAN,LIB,2,2,0,0
0001 BIGGER,U.S. Senate,,MIKE BRAUN,REP,163,124,39,0
0001 BIGGER,U.S. Senate,,JOE DONNELLY,DEM,49,37,12,0
0001 BIGGER,U.S. Senate,,LUCY M. BRENTON,LIB,10,7,3,0
0001 BIGGER,U.S. Senate,,Write-ins,,0,0,0,0
0001 BIGGER,SECRETARY OF STATE,,CONNIE LAWSON,REP,163,126,37,0
0001 BIGGER,SECRETARY OF STATE,,JIM HARPER,DEM,49,33,16,0
0001 BIGGER,SECRETARY OF STATE,,MARK W. RUTHERFORD,LIB,6,5,1,0
0001 BIGGER,SECRETARY OF STATE,,Write-ins,,0,0,0,0
0001 BIGGER,AUDITOR OF STATE,,TERA KLUTZ,REP,161,122,39,0
0001 BIGGER,AUDITOR OF STATE,,JOSELYN WHITTICKER,DEM,45,31,14,0
0001 BIGGER,AUDITOR OF STATE,,JOHN SCHICK,LIB,8,8,0,0
0001 BIGGER,TREASURER OF STATE,,KELLY MITCHELL,REP,164,124,40,0
0001 BIGGER,TREASURER OF STATE,,JOHN C. AGUILERA,DEM,47,33,14,0
0001 BIGGER,U.S. House,6,GREG PENCE,REP,171,131,40,0
0001 BIGGER,U.S. House,6,JEANNINE LEE LAKE,DEM,44,31,13,0
0001 BIGGER,U.S. House,6,TOM FERKINHOFF,LIB,4,3,1,0
0001 BIGGER,U.S. House,6,Write-ins,,0,0,0,0
0001 BIGGER,State Senate,43,"CLYDE A. (CHIP) PERFECT, JR.",REP,185,140,45,0
0001 BIGGER,State Representative,67,RANDY FRYE,REP,174,134,40,0
0001 BIGGER,State Representative,67,CORDELLE FEUSTON,DEM,44,30,14,0
0001 BIGGER,PROSECUTING ATTORNEY,,BRIAN J. BELDING,REP,189,142,47,0
0001 BIGGER,CIRCUIT COURT CLERK,,AMY GWIN THOMPSON,REP,144,115,29,0
0001 BIGGER,CIRCUIT COURT CLERK,,RACHAEL SHAW,DEM,72,48,24,0
0001 BIGGER,COUNTY AUDITOR,,TESSIA SALSMAN,REP,136,102,34,0
0001 BIGGER,COUNTY AUDITOR,,KAY SUE VANCE,DEM,83,63,20,0
0001 BIGGER,COUNTY RECORDER,,MARY DORSETT KILGORE,REP,140,106,34,0
0001 BIGGER,COUNTY RECORDER,,SANDRA L. (SANDY) VANCE,DEM,78,58,20,0
0001 BIGGER,COUNTY SHERIFF,,WM. KENNY FREEMAN,REP,114,86,28,0
0001 BIGGER,COUNTY SHERIFF,,GARY M. DRIVER,DEM,111,84,27,0
