candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes,
,Registered Voters,,,Wells,Bluffton Lancaster East,,,,1153,
,Ballots Cast (# of Machine Ballots),,,Wells,Bluffton Lancaster East,,,,154,
Mike Braun,U.S. Senate,,,Wells,Bluffton Lancaster East,119,179,0,298,
Joe Donnelly,U.S. Senate,,,Wells,Bluffton Lancaster East,27,87,0,114,
Lucy M Brenton,U.S. Senate,,,Wells,Bluffton Lancaster East,3,7,0,10,
Connie Lawson,Secretary of State,,,Wells,Bluffton Lancaster East,127,195,0,322,
Jim Harper,Secretary of State,,,Wells,Bluffton Lancaster East,19,69,0,88,
Mark W. Rutherford,Secretary of State,,,Wells,Bluffton Lancaster East,3,3,0,6,
Tera Klutz,Auditor of State,,,Wells,Bluffton Lancaster East,127,182,0,309,
Joselyn Whitticker,Auditor of State,,,Wells,Bluffton Lancaster East,18,78,0,96,
John Schick,Auditor of State,,,Wells,Bluffton Lancaster East,1,8,0,9,
Kelly Mitchell,Treasurer of State,,,Wells,Bluffton Lancaster East,129,196,0,325,
John C. Aguilera,Treasurer of State,,,Wells,Bluffton Lancaster East,19,73,0,92,
Jim Banks,U.S. House,3,,Wells,Bluffton Lancaster East,128,190,0,318,
Courtney Tritch,U.S. House,3,,Wells,Bluffton Lancaster East,21,82,0,103,
Travis Holdman,State Senate,19,,Wells,Bluffton Lancaster East,131,216,0,347,
Matthew S. Lehman,State Representative,79,,Wells,Bluffton Lancaster East,132,215,0,347,
,Registered Voters,,,Wells,Bluffton 2,,,,894,
,Ballots Cast (# of Machine Ballots),,,Wells,Bluffton 2,,,,233,
Mike Braun,U.S. Senate,,,Wells,Bluffton 2,158,104,0,262,
Joe Donnelly,U.S. Senate,,,Wells,Bluffton 2,63,56,0,119,
Lucy M Brenton,U.S. Senate,,,Wells,Bluffton 2,11,3,0,14,
Connie Lawson,Secretary of State,,,Wells,Bluffton 2,173,108,0,281,
Jim Harper,Secretary of State,,,Wells,Bluffton 2,49,49,0,98,
Mark W. Rutherford,Secretary of State,,,Wells,Bluffton 2,9,2,0,11,
Tera Klutz,Auditor of State,,,Wells,Bluffton 2,161,106,0,267,
Joselyn Whitticker,Auditor of State,,,Wells,Bluffton 2,61,50,0,111,
John Schick,Auditor of State,,,Wells,Bluffton 2,8,3,0,11,
Kelly Mitchell,Treasurer of State,,,Wells,Bluffton 2,173,109,0,282,
John C. Aguilera,Treasurer of State,,,Wells,Bluffton 2,57,48,0,105,
Jim Banks,U.S. House,3,,Wells,Bluffton 2,172,112,0,284,
Courtney Tritch,U.S. House,3,,Wells,Bluffton 2,57,49,0,106,
Travis Holdman,State Senate,19,,Wells,Bluffton 2,203,131,0,334,
Matthew S. Lehman,State Representative,79,,Wells,Bluffton 2,200,128,0,328,
,Registered Voters,,,Wells,Bluffton 3,,,,690,
,Ballots Cast (# of Machine Ballots),,,Wells,Bluffton 3,,,,173,
Mike Braun,U.S. Senate,,,Wells,Bluffton 3,126,77,0,203,
Joe Donnelly,U.S. Senate,,,Wells,Bluffton 3,40,45,0,85,
Lucy M Brenton,U.S. Senate,,,Wells,Bluffton 3,7,7,0,14,
Connie Lawson,Secretary of State,,,Wells,Bluffton 3,130,88,0,218,
Jim Harper,Secretary of State,,,Wells,Bluffton 3,34,37,0,71,
Mark W. Rutherford,Secretary of State,,,Wells,Bluffton 3,5,2,0,7,
Tera Klutz,Auditor of State,,,Wells,Bluffton 3,126,86,0,212,
Joselyn Whitticker,Auditor of State,,,Wells,Bluffton 3,35,38,0,73,
John Schick,Auditor of State,,,Wells,Bluffton 3,6,2,0,8,
Kelly Mitchell,Treasurer of State,,,Wells,Bluffton 3,134,87,0,221,
John C. Aguilera,Treasurer of State,,,Wells,Bluffton 3,32,38,0,70,
Jim Banks,U.S. House,3,,Wells,Bluffton 3,131,87,0,218,
Courtney Tritch,U.S. House,3,,Wells,Bluffton 3,40,41,0,81,
Travis Holdman,State Senate,19,,Wells,Bluffton 3,147,97,0,244,
Matthew S. Lehman,State Representative,79,,Wells,Bluffton 3,147,104,0,251,
,Registered Voters,,,Wells,Bluffton 4,,,,736,
,Ballots Cast (# of Machine Ballots),,,Wells,Bluffton 4,,,,204,
Mike Braun,U.S. Senate,,,Wells,Bluffton 4,134,95,0,229,
Joe Donnelly,U.S. Senate,,,Wells,Bluffton 4,50,50,0,100,
Lucy M Brenton,U.S. Senate,,,Wells,Bluffton 4,18,11,0,29,
Connie Lawson,Secretary of State,,,Wells,Bluffton 4,150,113,0,263,
Jim Harper,Secretary of State,,,Wells,Bluffton 4,36,39,0,75,
Mark W. Rutherford,Secretary of State,,,Wells,Bluffton 4,12,2,0,14,
Tera Klutz,Auditor of State,,,Wells,Bluffton 4,141,108,0,249,
Joselyn Whitticker,Auditor of State,,,Wells,Bluffton 4,42,41,0,83,
John Schick,Auditor of State,,,Wells,Bluffton 4,12,3,0,15,
Kelly Mitchell,Treasurer of State,,,Wells,Bluffton 4,158,108,0,266,
John C. Aguilera,Treasurer of State,,,Wells,Bluffton 4,40,44,0,84,
Jim Banks,U.S. House,3,,Wells,Bluffton 4,153,112,0,265,
Courtney Tritch,U.S. House,3,,Wells,Bluffton 4,47,42,0,89,
Travis Holdman,State Senate,19,,Wells,Bluffton 4,168,129,0,297,
Matthew S. Lehman,State Representative,79,,Wells,Bluffton 4,169,131,0,300,
,Registered Voters,,,Wells,Bluffton 5,,,,698,
,Ballots Cast (# of Machine Ballots),,,Wells,Bluffton 5,,,,218,
Mike Braun,U.S. Senate,,,Wells,Bluffton 5,144,79,0,223,
Joe Donnelly,U.S. Senate,,,Wells,Bluffton 5,61,52,0,113,
Lucy M Brenton,U.S. Senate,,,Wells,Bluffton 5,9,4,0,13,
Connie Lawson,Secretary of State,,,Wells,Bluffton 5,152,81,0,233,
Jim Harper,Secretary of State,,,Wells,Bluffton 5,55,51,0,106,
Mark W. Rutherford,Secretary of State,,,Wells,Bluffton 5,5,4,0,9,
Tera Klutz,Auditor of State,,,Wells,Bluffton 5,150,83,0,233,
Joselyn Whitticker,Auditor of State,,,Wells,Bluffton 5,54,50,0,104,
John Schick,Auditor of State,,,Wells,Bluffton 5,7,4,0,11,
Kelly Mitchell,Treasurer of State,,,Wells,Bluffton 5,156,84,0,240,
John C. Aguilera,Treasurer of State,,,Wells,Bluffton 5,55,52,0,107,
Jim Banks,U.S. House,3,,Wells,Bluffton 5,159,85,0,244,
Courtney Tritch,U.S. House,3,,Wells,Bluffton 5,58,50,0,108,
Travis Holdman,State Senate,19,,Wells,Bluffton 5,183,105,0,288,
Matthew S. Lehman,State Representative,79,,Wells,Bluffton 5,182,103,0,285,
,Registered Voters,,,Wells,Bluffton 6,,,,1117,
,Ballots Cast (# of Machine Ballots),,,Wells,Bluffton 6,,,,369,
Mike Braun,U.S. Senate,,,Wells,Bluffton 6,271,244,0,515,
Joe Donnelly,U.S. Senate,,,Wells,Bluffton 6,85,145,0,230,
Lucy M Brenton,U.S. Senate,,,Wells,Bluffton 6,10,16,0,26,
Connie Lawson,Secretary of State,,,Wells,Bluffton 6,282,283,0,565,
Jim Harper,Secretary of State,,,Wells,Bluffton 6,69,107,0,176,
Mark W. Rutherford,Secretary of State,,,Wells,Bluffton 6,7,12,0,19,
Tera Klutz,Auditor of State,,,Wells,Bluffton 6,273,270,0,543,
Joselyn Whitticker,Auditor of State,,,Wells,Bluffton 6,74,117,0,191,
John Schick,Auditor of State,,,Wells,Bluffton 6,7,12,0,19,
Kelly Mitchell,Treasurer of State,,,Wells,Bluffton 6,285,277,0,562,
John C. Aguilera,Treasurer of State,,,Wells,Bluffton 6,66,122,0,188,
Jim Banks,U.S. House,3,,Wells,Bluffton 6,287,276,0,563,
Courtney Tritch,U.S. House,3,,Wells,Bluffton 6,76,128,0,204,
Travis Holdman,State Senate,19,,Wells,Bluffton 6,309,318,0,627,
Matthew S. Lehman,State Representative,79,,Wells,Bluffton 6,318,330,0,648,
,Registered Voters,,,Wells,Bluffton Lancaster West,,,,720,
,Ballots Cast (# of Machine Ballots),,,Wells,Bluffton Lancaster West,,,,78,
Mike Braun,U.S. Senate,,,Wells,Bluffton Lancaster West,51,109,0,160,
Joe Donnelly,U.S. Senate,,,Wells,Bluffton Lancaster West,21,65,0,86,
Lucy M Brenton,U.S. Senate,,,Wells,Bluffton Lancaster West,6,4,0,10,
Connie Lawson,Secretary of State,,,Wells,Bluffton Lancaster West,52,120,0,172,
Jim Harper,Secretary of State,,,Wells,Bluffton Lancaster West,18,56,0,74,
Mark W. Rutherford,Secretary of State,,,Wells,Bluffton Lancaster West,5,1,0,6,
Tera Klutz,Auditor of State,,,Wells,Bluffton Lancaster West,49,119,0,168,
Joselyn Whitticker,Auditor of State,,,Wells,Bluffton Lancaster West,21,56,0,77,
John Schick,Auditor of State,,,Wells,Bluffton Lancaster West,6,1,0,7,
Kelly Mitchell,Treasurer of State,,,Wells,Bluffton Lancaster West,56,117,0,173,
John C. Aguilera,Treasurer of State,,,Wells,Bluffton Lancaster West,17,59,0,76,
Jim Banks,U.S. House,3,,Wells,Bluffton Lancaster West,48,118,0,166,
Courtney Tritch,U.S. House,3,,Wells,Bluffton Lancaster West,29,59,0,88,
Travis Holdman,State Senate,19,,Wells,Bluffton Lancaster West,63,128,0,191,
Matthew S. Lehman,State Representative,79,,Wells,Bluffton Lancaster West,63,136,0,199,
,Registered Voters,,,Wells,Chester,,,,620,
,Ballots Cast (# of Machine Ballots),,,Wells,Chester,,,,289,
Mike Braun,U.S. Senate,,,Wells,Chester,217,65,0,282,
