candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Huntington,JACKSON 1,,,,801
,Ballots Cast,,,Huntington,JACKSON 1,242,270,0,512
Mike Braun,U.S. Senate,,R,Huntington,JACKSON 1,165,178,0,343
Joe Donnelly,U.S. Senate,,D,Huntington,JACKSON 1,67,82,0,149
Lucy M Brenton,U.S. Senate,,L,Huntington,JACKSON 1,9,10,0,19
Write in,U.S. Senate,,,Huntington,JACKSON 1,0,0,0,0
Connie Lawson,Secretary of State,,R,Huntington,JACKSON 1,175,192,0,367
Jim Harper,Secretary of State,,D,Huntington,JACKSON 1,55,65,0,120
Mark W. Rutherford,Secretary of State,,L,Huntington,JACKSON 1,9,8,0,17
Write in,Secretary of State,,,Huntington,JACKSON 1,0,0,0,0
Tera Klutz,Auditor of State,,R,Huntington,JACKSON 1,178,190,0,366
Joselyn Whitticker,Auditor of State,,D,Huntington,JACKSON 1,53,67,0,120
John Schick,Auditor of State,,L,Huntington,JACKSON 1,8,4,0,12
Kelly Mitchell,Treasurer of State,,R,Huntington,JACKSON 1,181,198,0,379
John C. Aguilera,Treasurer of State,,D,Huntington,JACKSON 1,52,63,0,115
Jim Banks,U.S. House,3,R,Huntington,JACKSON 1,177,193,0,370
Courtney Tritch,U.S. House,3,D,Huntington,JACKSON 1,61,71,0,132
Write in,US House,3,,Huntington,JACKSON 1,0,0,0,0
Travis Holdman,State Senate,19,R,Huntington,JACKSON 1,196,207,0,403
Daniel J (Dan) Leonard,State Representative,50,R,Huntington,JACKSON 1,188,194,0,382
Jorge Fernandez,State Representative,50,D,Huntington,JACKSON 1,47,71,0,118
,Registered Voters,,,Huntington,JACKSON 2,,,,945
,Ballots Cast,,,Huntington,JACKSON 2,304,287,0,591
Mike Braun,U.S. Senate,,R,Huntington,JACKSON 2,225,197,0,422
Joe Donnelly,U.S. Senate,,D,Huntington,JACKSON 2,68,80,0,148
Lucy M Brenton,U.S. Senate,,L,Huntington,JACKSON 2,9,8,0,17
Write in,U.S. Senate,,,Huntington,JACKSON 2,0,0,0,0
Connie Lawson,Secretary of State,,R,Huntington,JACKSON 2,236,223,0,458
Jim Harper,Secretary of State,,D,Huntington,JACKSON 2,54,54,0,108
Mark W. Rutherford,Secretary of State,,L,Huntington,JACKSON 2,10,5,0,15
Write in,Secretary of State,,,Huntington,JACKSON 2,0,0,0,0
Tera Klutz,Auditor of State,,R,Huntington,JACKSON 2,235,217,0,452
Joselyn Whitticker,Auditor of State,,D,Huntington,JACKSON 2,48,54,0,102
John Schick,Auditor of State,,L,Huntington,JACKSON 2,14,8,0,22
Kelly Mitchell,Treasurer of State,,R,Huntington,JACKSON 2,239,224,0,463
John C. Aguilera,Treasurer of State,,D,Huntington,JACKSON 2,59,57,0,116
Jim Banks,U.S. House,3,R,Huntington,JACKSON 2,239,222,0,461
Courtney Tritch,U.S. House,3,D,Huntington,JACKSON 2,61,62,0,123
Write in,US House,3,,Huntington,JACKSON 2,0,1,0,1
Travis Holdman,State Senate,19,R,Huntington,JACKSON 2,261,233,0,494
Daniel J (Dan) Leonard,State Representative,50,R,Huntington,JACKSON 2,249,226,0,475
Jorge Fernandez,State Representative,50,D,Huntington,JACKSON 2,52,56,0,108
,Registered Voters,,,Huntington,JACKSON 3,,,,643
,Ballots Cast,,,Huntington,JACKSON 3,227,183,0,410
Mike Braun,U.S. Senate,,R,Huntington,JACKSON 3,144,99,0,243
Joe Donnelly,U.S. Senate,,D,Huntington,JACKSON 3,73,77,0,150
Lucy M Brenton,U.S. Senate,,L,Huntington,JACKSON 3,8,4,0,12
Write in,U.S. Senate,,,Huntington,JACKSON 3,1,0,0,1
Connie Lawson,Secretary of State,,R,Huntington,JACKSON 3,148,103,0,251
Jim Harper,Secretary of State,,D,Huntington,JACKSON 3,65,66,0,131
Mark W. Rutherford,Secretary of State,,L,Huntington,JACKSON 3,9,5,0,14
Write in,Secretary of State,,,Huntington,JACKSON 3,0,0,0,0
Tera Klutz,Auditor of State,,R,Huntington,JACKSON 3,147,101,0,248
Joselyn Whitticker,Auditor of State,,D,Huntington,JACKSON 3,55,62,0,117
John Schick,Auditor of State,,L,Huntington,JACKSON 3,16,8,0,24
Kelly Mitchell,Treasurer of State,,R,Huntington,JACKSON 3,153,104,0,257
John C. Aguilera,Treasurer of State,,D,Huntington,JACKSON 3,60,68,0,128
