candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Ballots Cast,,,Blackford,Harrison 1,294,108,0,402
Mike Braun,U.S. Senate,,,Blackford,Harrison 1,147,59,0,206
Joe Donnelly,U.S. Senate,,,Blackford,Harrison 1,107,35,0,142
Lucy M Brenton,U.S. Senate,,,Blackford,Harrison 1,28,12,0,40
Connie Lawson,Secretary of State,,,Blackford,Harrison 1,165,70,0,235
Jim Harper,Secretary of State,,,Blackford,Harrison 1,98,33,0,131
Mark W. Rutherford,Secretary of State,,,Blackford,Harrison 1,16,3,0,19
Tera Klutz,Auditor of State,,,Blackford,Harrison 1,155,64,0,219
Joselyn Whitticker,Auditor of State,,,Blackford,Harrison 1,104,34,0,138
John Schick,Auditor of State,,,Blackford,Harrison 1,19,7,0,26
Kelly Mitchell,Treasurer of State,,,Blackford,Harrison 1,181,69,0,250
John C. Aguilera,Treasurer of State,,,Blackford,Harrison 1,99,36,0,135
Jim Banks,U.S. House,3,,Blackford,Harrison 1,173,64,0,237
Courtney Tritch,U.S. House,3,,Blackford,Harrison 1,107,41,0,148
Travis Holdman,State Senate,19,,Blackford,Harrison 1,200,77,0,277
Kevin A. Mahan,State Representative,31,,Blackford,Harrison 1,190,78,0,268
Lynn Johnson,State Representative,31,,Blackford,Harrison 1,96,28,0,124
,Ballots Cast,,,Blackford,Harrison 2,221,118,0,339
Mike Braun,U.S. Senate,,,Blackford,Harrison 2,159,72,0,231
Joe Donnelly,U.S. Senate,,,Blackford,Harrison 2,45,40,0,85
Lucy M Brenton,U.S. Senate,,,Blackford,Harrison 2,12,6,0,18
Connie Lawson,Secretary of State,,,Blackford,Harrison 2,169,83,0,252
Jim Harper,Secretary of State,,,Blackford,Harrison 2,38,29,0,67
Mark W. Rutherford,Secretary of State,,,Blackford,Harrison 2,8,3,0,11
Tera Klutz,Auditor of State,,,Blackford,Harrison 2,158,80,0,238
Joselyn Whitticker,Auditor of State,,,Blackford,Harrison 2,47,28,0,75
John Schick,Auditor of State,,,Blackford,Harrison 2,8,4,0,12
Kelly Mitchell,Treasurer of State,,,Blackford,Harrison 2,173,82,0,255
John C. Aguilera,Treasurer of State,,,Blackford,Harrison 2,41,32,0,73
Jim Banks,U.S. House,3,,Blackford,Harrison 2,176,83,0,259
Courtney Tritch,U.S. House,3,,Blackford,Harrison 2,40,32,0,72
Travis Holdman,State Senate,19,,Blackford,Harrison 2,188,81,0,269
Kevin A. Mahan,State Representative,31,,Blackford,Harrison 2,169,78,0,247
Lynn Johnson,State Representative,31,,Blackford,Harrison 2,48,35,0,83
,Ballots Cast,,,Blackford,Jackson 1,14,10,0,24
Mike Braun,U.S. Senate,,,Blackford,Jackson 1,8,1,0,9
Joe Donnelly,U.S. Senate,,,Blackford,Jackson 1,4,9,0,13
Lucy M Brenton,U.S. Senate,,,Blackford,Jackson 1,1,0,0,1
Connie Lawson,Secretary of State,,,Blackford,Jackson 1,8,3,0,11
Jim Harper,Secretary of State,,,Blackford,Jackson 1,5,7,0,12
Mark W. Rutherford,Secretary of State,,,Blackford,Jackson 1,1,0,0,1
Tera Klutz,Auditor of State,,,Blackford,Jackson 1,7,2,0,9
Joselyn Whitticker,Auditor of State,,,Blackford,Jackson 1,4,7,0,11
John Schick,Auditor of State,,,Blackford,Jackson 1,3,1,0,4
Kelly Mitchell,Treasurer of State,,,Blackford,Jackson 1,10,3,0,13
John C. Aguilera,Treasurer of State,,,Blackford,Jackson 1,4,7,0,11
Susan W. Brooks,U.S. House,5,,Blackford,Jackson 1,10,1,0,11
Dee Thornton,U.S. House,5,,Blackford,Jackson 1,4,9,0,13
Travis Holdman,State Senate,19,,Blackford,Jackson 1,11,5,0,16
John (J.D.) Prescott,State Representative,33,,Blackford,Jackson 1,8,2,0,10
Shon Byrum,State Representative,33,,Blackford,Jackson 1,5,8,0,13
Dale Arnett,State Representative,33,,Blackford,Jackson 1,1,0,0,1
,Ballots Cast,,,Blackford,Jackson 2,201,216,0,417
Mike Braun,U.S. Senate,,,Blackford,Jackson 2,137,134,0,271
Joe Donnelly,U.S. Senate,,,Blackford,Jackson 2,52,58,0,110
Lucy M Brenton,U.S. Senate,,,Blackford,Jackson 2,8,19,0,27
Connie Lawson,Secretary of State,,,Blackford,Jackson 2,155,147,0,302
Jim Harper,Secretary of State,,,Blackford,Jackson 2,35,56,0,91
Mark W. Rutherford,Secretary of State,,,Blackford,Jackson 2,8,7,0,15
Tera Klutz,Auditor of State,,,Blackford,Jackson 2,150,143,0,293
Joselyn Whitticker,Auditor of State,,,Blackford,Jackson 2,38,59,0,97
John Schick,Auditor of State,,,Blackford,Jackson 2,8,9,0,17
Kelly Mitchell,Treasurer of State,,,Blackford,Jackson 2,157,151,0,308
John C. Aguilera,Treasurer of State,,,Blackford,Jackson 2,39,58,0,97
Susan W. Brooks,U.S. House,5,,Blackford,Jackson 2,161,153,0,314
Dee Thornton,U.S. House,5,,Blackford,Jackson 2,35,56,0,91
Travis Holdman,State Senate,19,,Blackford,Jackson 2,166,158,0,324
Kevin A. Mahan,State Representative,31,,Blackford,Jackson 2,147,146,0,293
Lynn Johnson,State Representative,31,,Blackford,Jackson 2,46,63,0,109
,Ballots Cast,,,Blackford,Licking 1,246,306,0,552
Mike Braun,U.S. Senate,,,Blackford,Licking 1,151,138,0,289
Joe Donnelly,U.S. Senate,,,Blackford,Licking 1,71,142,0,213
Lucy M Brenton,U.S. Senate,,,Blackford,Licking 1,23,17,0,40
Connie Lawson,Secretary of State,,,Blackford,Licking 1,173,163,0,336
Jim Harper,Secretary of State,,,Blackford,Licking 1,56,124,0,180
Mark W. Rutherford,Secretary of State,,,Blackford,Licking 1,12,5,0,17
Tera Klutz,Auditor of State,,,Blackford,Licking 1,163,147,0,310
Joselyn Whitticker,Auditor of State,,,Blackford,Licking 1,60,130,0,190
John Schick,Auditor of State,,,Blackford,Licking 1,16,10,0,26
Kelly Mitchell,Treasurer of State,,,Blackford,Licking 1,175,167,0,342
John C. Aguilera,Treasurer of State,,,Blackford,Licking 1,61,127,0,188
Susan W. Brooks,U.S. House,5,,Blackford,Licking 1,181,175,0,356
Dee Thornton,U.S. House,5,,Blackford,Licking 1,60,122,0,182
Travis Holdman,State Senate,19,,Blackford,Licking 1,190,187,0,377
Kevin A. Mahan,State Representative,31,,Blackford,Licking 1,177,188,0,365
Lynn Johnson,State Representative,31,,Blackford,Licking 1,65,110,0,175
,Ballots Cast,,,Blackford,Licking 2,232,203,0,435
Mike Braun,U.S. Senate,,,Blackford,Licking 2,145,89,0,234
Joe Donnelly,U.S. Senate,,,Blackford,Licking 2,62,97,0,159
Lucy M Brenton,U.S. Senate,,,Blackford,Licking 2,22,14,0,36
Connie Lawson,Secretary of State,,,Blackford,Licking 2,155,105,0,260
Jim Harper,Secretary of State,,,Blackford,Licking 2,58,87,0,145
Mark W. Rutherford,Secretary of State,,,Blackford,Licking 2,12,6,0,18
Tera Klutz,Auditor of State,,,Blackford,Licking 2,139,99,0,238
Joselyn Whitticker,Auditor of State,,,Blackford,Licking 2,67,94,0,161
John Schick,Auditor of State,,,Blackford,Licking 2,17,4,0,21
Kelly Mitchell,Treasurer of State,,,Blackford,Licking 2,164,109,0,273
John C. Aguilera,Treasurer of State,,,Blackford,Licking 2,58,89,0,147
Susan W. Brooks,U.S. House,5,,Blackford,Licking 2,163,108,0,271
Dee Thornton,U.S. House,5,,Blackford,Licking 2,61,87,0,148
Travis Holdman,State Senate,19,,Blackford,Licking 2,177,119,0,296
Kevin A. Mahan,State Representative,31,,Blackford,Licking 2,161,118,0,279
Lynn Johnson,State Representative,31,,Blackford,Licking 2,66,80,0,146
,Ballots Cast,,,Blackford,Licking 3,155,212,0,367
