county,precinct,office,district,candidate,party,votes,absentee,election_day,provisional
Marshall,BOURBON 1,Registered Voters,,,,908,,,
Marshall,BOURBON 1,Ballots Cast,,,,363,,,
Marshall,BOURBON 1,U.S. Senate,,Mike Braun,R,338,86,252,0
Marshall,BOURBON 1,U.S. Senate,,Joe Donnelly,D,128,31,97,0
Marshall,BOURBON 1,U.S. Senate,,Lucy M Brenton,L,15,3,12,0
Marshall,BOURBON 1,U.S. Senate,,Write in,,0,0,0,0
Marshall,BOURBON 1,Secretary of State,,Connie Lawson,R,374,90,284,0
Marshall,BOURBON 1,Secretary of State,,Jim Harper,D,85,23,62,0
Marshall,BOURBON 1,Secretary of State,,Mark W. Rutherford,L,15,3,12,0
Marshall,BOURBON 1,Secretary of State,,Write in,,0,0,0,0
Marshall,BOURBON 1,Auditor of State,,Tera Klutz,R,357,88,269,0
Marshall,BOURBON 1,Auditor of State,,Joselyn Whitticker,D,102,25,77,0
Marshall,BOURBON 1,Auditor of State,,John Schick,L,12,2,10,0
Marshall,BOURBON 1,Treasurer of State,,Kelly Mitchell,R,376,87,289,0
Marshall,BOURBON 1,Treasurer of State,,John C. Aguilera,D,92,25,67,0
Marshall,BOURBON 1,U.S. House,2,Jackie Walorski,R,359,90,269,0
Marshall,BOURBON 1,U.S. House,2,Mel Hall,D,119,28,91,0
Marshall,BOURBON 1,U.S. House,2,Write in,,0,0,0,0
Marshall,BOURBON 1,State Representative,17,Jack Jordan,R,364,86,278,0
Marshall,BOURBON 1,State Representative,17,Michelle Livinghouse,D,106,28,78,0
Marshall,BOURBON 2,Registered Voters,,,,886,,,
Marshall,BOURBON 2,Ballots Cast,,,,370,,,
Marshall,BOURBON 2,U.S. Senate,,Mike Braun,R,336,65,271,0
Marshall,BOURBON 2,U.S. Senate,,Joe Donnelly,D,115,30,85,0
Marshall,BOURBON 2,U.S. Senate,,Lucy M Brenton,L,12,1,11,0
Marshall,BOURBON 2,U.S. Senate,,Write in,,0,0,0,0
Marshall,BOURBON 2,Secretary of State,,Connie Lawson,R,358,70,288,0
Marshall,BOURBON 2,Secretary of State,,Jim Harper,D,86,23,63,0
Marshall,BOURBON 2,Secretary of State,,Mark W. Rutherford,L,16,2,14,0
Marshall,BOURBON 2,Secretary of State,,Write in,,0,0,0,0
Marshall,BOURBON 2,Auditor of State,,Tera Klutz,R,348,66,282,0
Marshall,BOURBON 2,Auditor of State,,Joselyn Whitticker,D,97,27,70,0
Marshall,BOURBON 2,Auditor of State,,John Schick,L,14,2,12,0
Marshall,BOURBON 2,Treasurer of State,,Kelly Mitchell,R,373,72,301,0
Marshall,BOURBON 2,Treasurer of State,,John C. Aguilera,D,87,24,63,0
Marshall,BOURBON 2,U.S. House,2,Jackie Walorski,R,335,69,266,0
Marshall,BOURBON 2,U.S. House,2,Mel Hall,D,124,27,97,0
Marshall,BOURBON 2,U.S. House,2,Write in,,1,0,1,0
Marshall,BOURBON 2,State Representative,17,Jack Jordan,R,362,67,295,0
Marshall,BOURBON 2,State Representative,17,Michelle Livinghouse,D,98,27,71,0
Marshall,CENTER 1,Registered Voters,,,,1073,,,
Marshall,CENTER 1,Ballots Cast,,,,243,,,
Marshall,CENTER 1,U.S. Senate,,Mike Braun,R,184,69,115,0
Marshall,CENTER 1,U.S. Senate,,Joe Donnelly,D,165,58,107,0
Marshall,CENTER 1,U.S. Senate,,Lucy M Brenton,L,16,1,15,0
Marshall,CENTER 1,U.S. Senate,,Write in,,0,0,0,0
Marshall,CENTER 1,Secretary of State,,Connie Lawson,R,204,76,128,0
Marshall,CENTER 1,Secretary of State,,Jim Harper,D,145,49,96,0
Marshall,CENTER 1,Secretary of State,,Mark W. Rutherford,L,12,1,11,0
Marshall,CENTER 1,Secretary of State,,Write in,,0,0,0,0
Marshall,CENTER 1,Auditor of State,,Tera Klutz,R,203,79,124,0
Marshall,CENTER 1,Auditor of State,,Joselyn Whitticker,D,142,44,98,0
Marshall,CENTER 1,Auditor of State,,John Schick,L,12,1,11,0
Marshall,CENTER 1,Treasurer of State,,Kelly Mitchell,R,216,79,137,0
Marshall,CENTER 1,Treasurer of State,,John C. Aguilera,D,142,46,96,0
Marshall,CENTER 1,U.S. House,2,Jackie Walorski,R,177,68,109,0
Marshall,CENTER 1,U.S. House,2,Mel Hall,D,186,59,127,0
Marshall,CENTER 1,U.S. House,2,Write in,,1,1,0,0
Marshall,CENTER 1,State Representative,17,Jack Jordan,R,205,76,129,0
Marshall,CENTER 1,State Representative,17,Michelle Livinghouse,D,156,0,106,0
Marshall,CENTER 2,Registered Voters,,,,1382,,,
Marshall,CENTER 2,Ballots Cast,,,,373,,,
Marshall,CENTER 2,U.S. Senate,,Mike Braun,R,296,116,180,0
Marshall,CENTER 2,U.S. Senate,,Joe Donnelly,D,291,124,167,0
Marshall,CENTER 2,U.S. Senate,,Lucy M Brenton,L,35,10,25,0
